STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,161,5504,9920,15757,16997,20286,26306,94931,3.59%
VIC,214,6906,14054,17986,16772,15848,15975,87755,4.49%
QLD,185,5488,10329,14592,15309,16612,17076,79591,5.17%
SA,4075,3463,3549,4991,5554,6348,8258,36238,5.96%
WA,128,4552,7793,10766,10734,10499,10287,54759,6.95%
TAS,23,660,1159,1583,1846,1977,1872,9120,4.89%
NT,4,125,400,525,426,363,181,2024,2.56%
ACT,22,565,1183,1333,1101,1073,907,6184,4.88%
Other,0,0,1,0,2,1,1,5,0.00%
TOTAL,4812,27263,48388,67533,68741,73007,80863,370607,4.68%
