STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,279,8848,18299,23358,23425,25942,27640,127791,4.70%
VIC,518,14554,25814,26801,23028,20589,18021,129325,6.33%
QLD,444,11474,20253,22659,21897,20584,17203,114514,7.33%
SA,3976,5711,6529,7652,7609,8448,9030,48955,7.78%
WA,240,9923,15518,16568,15296,13156,10929,81630,10.29%
TAS,57,1510,2292,2640,2775,2551,2011,13836,7.08%
NT,16,361,807,753,571,346,170,3024,4.31%
ACT,61,1203,2205,1882,1630,1371,1027,9379,7.13%
TOTAL,0,0,1,4,2,3,0,10,0.00%
,5591,53584,91718,102317,96233,92990,86031,528464,6.49%
