STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,231,9148,19196,24169,24217,26585,28424,131970,4.85%
VIC,519,15506,27165,27914,23804,21133,18552,134593,6.59%
QLD,436,12083,21583,23892,23102,21529,17952,120577,7.72%
SA,4354,6173,7028,8048,7953,8752,9305,51613,8.20%
WA,226,10507,16486,17450,15943,13668,11267,85547,10.78%
TAS,65,1584,2404,2744,2893,2648,2080,14418,7.38%
NT,21,378,847,790,608,368,177,3189,4.54%
ACT,68,1279,2351,1974,1687,1454,1069,9882,7.52%
Other,0,0,1,4,2,3,0,10,0.00%
TOTAL,5920,56658,97061,106985,100209,96140,88826,551799,6.78%
