STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,122,5587,10222,16171,17417,20718,26953,97190,3.68%
VIC,196,7179,14610,18644,17247,16200,16402,90478,4.63%
QLD,150,5714,10806,15330,16053,17309,17765,83127,5.40%
SA,4439,3703,3738,5228,5763,6536,8515,37922,6.23%
WA,115,4735,8213,11240,11110,10844,10590,56847,7.21%
TAS,18,677,1212,1645,1901,2049,1933,9435,5.06%
NT,2,127,420,541,452,390,188,2120,2.68%
ACT,18,599,1240,1387,1152,1116,932,6444,5.08%
Other,0,0,1,0,2,1,1,5,0.00%
TOTAL,5060,28321,50462,70186,71097,75163,83279,383568,4.84%
