STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,221,9270,19514,24582,24499,26853,28765,133704,4.92%
VIC,512,15835,27736,28452,24217,21388,18795,136935,6.70%
QLD,444,12394,22159,24435,23696,21966,18274,123368,7.90%
SA,4487,6482,7230,8216,8146,8896,9448,52905,8.40%
WA,221,10731,16874,17751,16219,13846,11421,87063,10.97%
TAS,67,1622,2442,2803,2919,2697,2104,14654,7.50%
NT,22,380,871,807,623,373,180,3256,4.64%
ACT,65,1312,2408,2021,1727,1485,1092,10110,7.69%
Other,0,0,1,6,2,3,0,12,0.00%
TOTAL,6039,58026,99235,109073,102048,97507,90079,562007,6.90%
