STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,106,5613,10328,16412,17567,20898,27251,98175,3.71%
VIC,185,7273,14854,18935,17482,16344,16603,91676,4.69%
QLD,152,5780,11062,15686,16389,17644,18096,84809,5.51%
SA,4552,3830,3849,5361,5876,6625,8651,38744,6.37%
WA,107,4817,8401,11428,11247,10965,10736,57701,7.32%
TAS,17,688,1232,1674,1914,2065,1963,9553,5.13%
NT,2,128,428,559,456,396,193,2162,2.74%
ACT,15,614,1268,1424,1174,1136,954,6585,5.19%
Other,0,0,1,0,2,1,1,5,0.00%
TOTAL,5136,28743,51423,71479,72107,76074,84448,389410,4.91%
