STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,106863,252640,262215,222195,144003,110923,1098839,40.42%
VIC,27822,79238,66503,54641,36400,27989,292593,14.32%
QLD,71328,93922,80735,52321,31490,17535,347331,22.24%
SA,37557,68937,66617,60670,41313,29448,304542,48.37%
WA,13699,66020,76782,62773,41236,31542,292052,36.80%
TAS,3392,18506,21811,20346,13193,11106,88354,45.20%
NT,498,1741,1777,1245,721,203,6185,8.81%
ACT,1669,4826,4516,3526,2469,1446,18452,14.04%
Other,2,7,26,30,14,6,85,0.00%
TOTAL,262830,585837,580982,477747,310839,230198,2448433,30.06%
