STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,105062,251761,262478,222415,144625,111575,1097916,40.39%
VIC,27260,79014,66532,54640,36574,28127,292147,14.30%
QLD,70476,93715,80954,52440,31624,17639,346848,22.21%
SA,37490,69173,66756,60722,41573,29622,305336,48.50%
WA,13324,65446,76720,62666,41294,31724,291174,36.69%
TAS,3302,18392,21801,20341,13247,11150,88233,45.13%
NT,496,1726,1785,1247,720,204,6178,8.80%
ACT,1657,4819,4538,3538,2473,1451,18476,14.05%
Other,1,8,25,31,14,6,85,0.00%
TOTAL,259068,584054,581589,478040,312144,231498,2446393,30.04%
