STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,101536,228580,250534,226337,160949,147099,1115035,42.16%
VIC,18353,48649,45362,41029,28720,25115,207228,10.61%
QLD,71284,97201,81174,52853,33485,21935,357932,23.26%
SA,35583,56131,58314,57224,43561,38317,289130,47.51%
WA,9905,52870,65964,58432,42445,40111,269727,34.21%
TAS,2377,16040,19873,19480,14064,14286,86120,46.21%
NT,183,805,1300,1025,702,285,4300,5.44%
ACT,747,2671,3238,2742,2047,1384,12829,10.12%
Other,0,6,21,27,17,4,75,0.00%
TOTAL,239968,502953,525780,459149,325990,288536,2342376,29.55%
