STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,102806,250565,262324,222492,144886,112175,1095248,40.29%
VIC,26534,78658,66592,54581,36714,28252,291331,14.26%
QLD,69437,93253,80993,52451,31637,17759,345530,22.12%
SA,36791,68738,66555,60643,41619,29731,304077,48.30%
WA,12785,64656,76410,62435,41270,31829,289385,36.47%
TAS,3164,18229,21711,20319,13247,11186,87856,44.94%
NT,484,1706,1779,1250,716,206,6141,8.75%
ACT,1606,4779,4490,3503,2462,1449,18289,13.91%
Other,1,8,25,31,14,6,85,0.00%
TOTAL,253608,580592,580879,477705,312565,232593,2437942,29.94%
