STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,100924,249750,262363,222895,145349,112866,1094147,40.25%
VIC,26014,78524,66646,54625,36856,28415,291080,14.25%
QLD,68682,93105,81129,52635,31726,17896,345173,22.10%
SA,36667,68950,66647,60724,41864,29917,304769,48.41%
WA,12434,64128,76338,62400,41344,32015,288659,36.37%
TAS,3069,18096,21684,20330,13262,11241,87682,44.85%
NT,481,1684,1783,1249,719,209,6125,8.73%
ACT,1589,4779,4495,3512,2470,1456,18301,13.92%
Other,1,8,24,32,14,6,85,0.00%
TOTAL,249861,579024,581109,478402,313604,234021,2436021,29.91%
