STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,97816,227173,250337,226987,161787,148608,1112708,42.08%
VIC,17552,48621,45227,41080,28979,25337,206796,10.59%
QLD,69527,96794,81634,53028,33666,22243,356892,23.20%
SA,34990,56103,58267,57290,43745,38668,289063,47.50%
WA,9200,52158,65680,58360,42542,40455,268395,34.04%
TAS,2208,15811,19800,19440,14123,14389,85771,46.02%
NT,180,783,1300,1037,698,292,4290,5.43%
ACT,718,2627,3222,2733,2049,1385,12734,10.04%
Other,0,6,21,27,16,5,75,0.00%
TOTAL,232191,500076,525488,459982,327605,291382,2336724,29.48%
