STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,98979,248466,262206,223085,145760,113492,"1,091,988",40.17%
VIC,25326,78097,66562,54583,36957,28547,"290,072",14.20%
QLD,67738,92612,81054,52638,31811,17990,"343,843",22.01%
SA,36522,68936,66600,60793,41996,30082,"304,929",48.44%
WA,11974,63456,76086,62242,41359,32144,"287,261",36.20%
TAS,2947,17931,21622,20318,13287,11295,"87,400",44.71%
NT,475,1677,1781,1249,719,213,"6,114",8.71%
ACT,1546,4741,4504,3506,2476,1460,"18,233",13.87%
Other,1,8,24,32,14,6,85,0.00%
TOTAL,245508,575924,580439,478446,314379,235229,"2,429,925",29.84%
