STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,96071,226197,250269,227246,162256,149390,1111429,42.03%
VIC,17166,48443,45103,41134,29055,25431,206332,10.56%
QLD,68621,96544,81710,53121,33716,22403,356115,23.14%
SA,34878,56140,58248,57360,43908,38842,289376,47.55%
WA,8843,51743,65451,58391,42591,40643,267662,33.95%
TAS,2104,15693,19780,19425,14146,14450,85598,45.93%
NT,181,764,1298,1049,692,297,4281,5.42%
ACT,703,2605,3219,2738,2063,1391,12719,10.03%
Other,0,5,22,27,16,5,75,0.00%
TOTAL,228567,498134,525100,460491,328443,292852,2333587,29.44%
