STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,94488,225383,250153,227611,162776,150175,1110586,42.00%
VIC,16811,48337,45106,41186,29162,25528,206130,10.55%
QLD,67765,96435,81795,53275,33801,22561,355632,23.11%
SA,34850,56271,58316,57393,44112,39017,289959,47.65%
WA,8538,51318,65342,58476,42661,40840,267175,33.89%
TAS,2005,15624,19727,19439,14202,14519,85516,45.88%
NT,178,758,1291,1066,694,300,4287,5.43%
ACT,683,2589,3208,2733,2073,1395,12681,10.00%
Other,0,5,22,26,17,5,75,0.00%
TOTAL,225318,496720,524960,461205,329498,294340,2332041,29.42%
