,Female,,,,,,,
STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,25211,200010,238848,221689,161168,135431,982357,33.32%
VIC,5281,59952,60453,52787,38891,31508,248872,10.96%
QLD,25308,86753,77199,53541,33414,21369,297584,16.57%
SA,24766,58258,57545,56591,43862,35530,276552,40.75%
WA,2222,35438,57614,54452,40831,34095,224652,24.86%
TAS,514,10414,16956,17822,13187,12192,71085,34.45%
NT,179,920,1278,994,590,229,4190,5.01%
ACT,554,3115,3700,3071,2158,1596,14194,9.75%
TOTAL,84035,454860,513593,460947,334101,271950,2119486,23.46%
