,Male,,,,,,,
STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,20265,194206,234800,228040,180420,169832,1027563,36.03%
VIC,2318,40886,42066,40534,30890,27558,184252,8.37%
QLD,22642,96889,84392,57429,36050,25987,323389,18.27%
SA,25798,60587,58324,57101,47714,43712,293236,44.92%
WA,1098,31049,55882,54116,43138,39393,224676,24.28%
TAS,214,9126,16801,17351,14495,14509,72496,36.81%
NT,64,404,974,898,614,288,3242,3.58%
ACT,262,1605,2728,2407,1879,1423,10304,7.23%
TOTAL,72661,434752,495967,457876,355200,322702,2139158,24.22%
