,Male,,,,,,,
STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,15110,192204,234113,227934,181780,174832,1025973,35.98%
VIC,1949,40065,42199,40221,30951,28248,183633,8.34%
QLD,19197,97347,85011,58139,36402,26865,322961,18.24%
SA,25952,61584,59030,57363,48249,45217,297395,45.56%
WA,986,29494,55441,54017,43359,40481,223778,24.18%
TAS,191,8624,16759,17322,14552,14910,72358,36.74%
NT,62,394,953,909,597,304,3219,3.56%
ACT,235,1572,2728,2415,1869,1474,10293,7.22%
TOTAL,63682,431284,496234,458320,357759,332331,2139610,24.23%
