table,table_title,row_group_1,row_group_2,row_label,column,value
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2016,Total prisoners (d) - Number,12629
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2016,Males,11691
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2016,Females,944
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2016,Aboriginal and Torres Strait Islander,3037
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2016,Non-Indigenous,9586
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2016,Known prior imprisonment - Proportion (%),51.6
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2016,Unsentenced,32.9
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2016,Male imprisonment rate (e),398.2
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2016,Female imprisonment rate (e),31
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2016,Total imprisonment rate (e),211
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2017,Total prisoners (d) - Number,13149
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2017,Males,12145
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2017,Females,1004
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2017,Aboriginal and Torres Strait Islander,3197
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2017,Non-Indigenous,9940
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2017,Known prior imprisonment - Proportion (%),51.7
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2017,Unsentenced,32.5
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2017,Male imprisonment rate (e),406.3
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2017,Female imprisonment rate (e),32.4
