table,table_title,rows
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",288
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",900
Table 17,"Table 17 Prisoners, Sex by Indigenous status and state/territory, 2025",270
Table 18,"Table 18 Crude imprisonment rate, Indigenous status by state/territory, 2016–2025",270
Table 19,"Table 19 Age standardised imprisonment rate, Indigenous status by state/territory, 2016–2025",270
Table 20,"Table 20 Prisoners, Indigenous status and most serious offence/charge by state/territory, 2025",486
Table 21,"Table 21 Prisoners, Indigenous status, Sex and age by state/territory, 2025",1350
Table 22,"Table 22 Prisoners, Selected country of birth by state/territory, 2025",340
Table 23,"Table 23 Sentenced prisoners, Selected most serious offence by state/territory, 2025",513
Table 24,"Table 24 Sentenced prisoners, State/territory and most serious offence by aggregate sentence, 2025",459
Table 25,"Table 25 Sentenced prisoners, State/territory and most serious offence by expected time to serve, 2025",459
Table 26,"Table 26 Sentenced prisoners, Indigenous status and aggregate sentence length by state/territory, 2025",378
Table 27,"Table 27 Sentenced prisoners, State/territory by aggregate sentence length, 2016–2025",630
Table 28,"Table 28 Sentenced prisoners, Indigenous status and expected time to serve by state/territory, 2025",378
Table 29,"Table 29 Prisoners, Indigenous status, Sex and prior imprisonment by state/territory, 2025",243
Table 30,"Table 30 Prisoners, Indigenous status, Sex and legal status by state/territory, 2025",243
Table 31,"Table 31 Unsentenced prisoners, Selected most serious offence by state/territory, 2025",522
Table 32,"Table 32 Unsentenced prisoners, Time on remand by state/territory, 2025",153
Table 33,"Table 33 Prisoners, State/territory and sex by security classification, 2025",135
Table 34,"Table 34 Prisoners, Prison location by sex, 2025",159
Table 35,"Table 35 Prisoners, State/territory and level of court by legal status and time on remand, 2025",162
