lga_code,lga_name,state_name,year,erp,is_total_row
10050,Albury,New South Wales,2001,45265,False
10050,Albury,New South Wales,2002,45816,False
10050,Albury,New South Wales,2003,46180,False
10050,Albury,New South Wales,2004,46505,False
10050,Albury,New South Wales,2005,47004,False
10050,Albury,New South Wales,2006,47566,False
10050,Albury,New South Wales,2007,48140,False
10050,Albury,New South Wales,2008,48518,False
10050,Albury,New South Wales,2009,48814,False
10050,Albury,New South Wales,2010,49222,False
10050,Albury,New South Wales,2011,49451,False
10050,Albury,New South Wales,2012,49785,False
10050,Albury,New South Wales,2013,50338,False
10050,Albury,New South Wales,2014,50990,False
10050,Albury,New South Wales,2015,51486,False
10050,Albury,New South Wales,2016,52171,False
10050,Albury,New South Wales,2017,53056,False
10050,Albury,New South Wales,2018,53922,False
10050,Albury,New South Wales,2019,54657,False
10050,Albury,New South Wales,2020,55466,False
10050,Albury,New South Wales,2021,56067,False
10050,Albury,New South Wales,2022,57024,False
10050,Albury,New South Wales,2023,57880,False
10050,Albury,New South Wales,2024,58768,False
10050,Albury,New South Wales,2025,59538,False
10180,Armidale,New South Wales,2001,27906,False
10180,Armidale,New South Wales,2002,27774,False
10180,Armidale,New South Wales,2003,27610,False
10180,Armidale,New South Wales,2004,27410,False
10180,Armidale,New South Wales,2005,27350,False
10180,Armidale,New South Wales,2006,27377,False
10180,Armidale,New South Wales,2007,27468,False
10180,Armidale,New South Wales,2008,27788,False
10180,Armidale,New South Wales,2009,28156,False
10180,Armidale,New South Wales,2010,28409,False
10180,Armidale,New South Wales,2011,28573,False
10180,Armidale,New South Wales,2012,28748,False
10180,Armidale,New South Wales,2013,28895,False
10180,Armidale,New South Wales,2014,29015,False
10180,Armidale,New South Wales,2015,29160,False
10180,Armidale,New South Wales,2016,29310,False
10180,Armidale,New South Wales,2017,29519,False
10180,Armidale,New South Wales,2018,29631,False
10180,Armidale,New South Wales,2019,29701,False
10180,Armidale,New South Wales,2020,29600,False
10180,Armidale,New South Wales,2021,29332,False
10180,Armidale,New South Wales,2022,29433,False
10180,Armidale,New South Wales,2023,29639,False
10180,Armidale,New South Wales,2024,29686,False
10180,Armidale,New South Wales,2025,29652,False
10250,Ballina,New South Wales,2001,37856,False
10250,Ballina,New South Wales,2002,38417,False
10250,Ballina,New South Wales,2003,38870,False
10250,Ballina,New South Wales,2004,39120,False
10250,Ballina,New South Wales,2005,39305,False
10250,Ballina,New South Wales,2006,39537,False
10250,Ballina,New South Wales,2007,39824,False
10250,Ballina,New South Wales,2008,40020,False
10250,Ballina,New South Wales,2009,40295,False
10250,Ballina,New South Wales,2010,40571,False
10250,Ballina,New South Wales,2011,40747,False
10250,Ballina,New South Wales,2012,41118,False
10250,Ballina,New South Wales,2013,41510,False
10250,Ballina,New South Wales,2014,41881,False
10250,Ballina,New South Wales,2015,42336,False
10250,Ballina,New South Wales,2016,42993,False
10250,Ballina,New South Wales,2017,43652,False
10250,Ballina,New South Wales,2018,44385,False
10250,Ballina,New South Wales,2019,44997,False
10250,Ballina,New South Wales,2020,45663,False
10250,Ballina,New South Wales,2021,46196,False
10250,Ballina,New South Wales,2022,47002,False
10250,Ballina,New South Wales,2023,47423,False
10250,Ballina,New South Wales,2024,48135,False
10250,Ballina,New South Wales,2025,48603,False
10300,Balranald,New South Wales,2001,2751,False
10300,Balranald,New South Wales,2002,2703,False
10300,Balranald,New South Wales,2003,2661,False
10300,Balranald,New South Wales,2004,2596,False
10300,Balranald,New South Wales,2005,2545,False
10300,Balranald,New South Wales,2006,2507,False
10300,Balranald,New South Wales,2007,2473,False
10300,Balranald,New South Wales,2008,2433,False
10300,Balranald,New South Wales,2009,2404,False
10300,Balranald,New South Wales,2010,2381,False
10300,Balranald,New South Wales,2011,2353,False
10300,Balranald,New South Wales,2012,2363,False
10300,Balranald,New South Wales,2013,2381,False
10300,Balranald,New South Wales,2014,2376,False
10300,Balranald,New South Wales,2015,2364,False
10300,Balranald,New South Wales,2016,2330,False
10300,Balranald,New South Wales,2017,2338,False
10300,Balranald,New South Wales,2018,2308,False
10300,Balranald,New South Wales,2019,2287,False
10300,Balranald,New South Wales,2020,2257,False
10300,Balranald,New South Wales,2021,2208,False
10300,Balranald,New South Wales,2022,2236,False
10300,Balranald,New South Wales,2023,2224,False
10300,Balranald,New South Wales,2024,2256,False
10300,Balranald,New South Wales,2025,2244,False
10470,Bathurst,New South Wales,2001,35504,False
10470,Bathurst,New South Wales,2002,35831,False
10470,Bathurst,New South Wales,2003,36084,False
10470,Bathurst,New South Wales,2004,36245,False
10470,Bathurst,New South Wales,2005,36547,False
10470,Bathurst,New South Wales,2006,36916,False
10470,Bathurst,New South Wales,2007,37272,False
10470,Bathurst,New South Wales,2008,37904,False
10470,Bathurst,New South Wales,2009,38848,False
10470,Bathurst,New South Wales,2010,39484,False
10470,Bathurst,New South Wales,2011,39960,False
10470,Bathurst,New South Wales,2012,40301,False
10470,Bathurst,New South Wales,2013,40727,False
10470,Bathurst,New South Wales,2014,41157,False
10470,Bathurst,New South Wales,2015,41694,False
10470,Bathurst,New South Wales,2016,42244,False
10470,Bathurst,New South Wales,2017,42583,False
10470,Bathurst,New South Wales,2018,42882,False
10470,Bathurst,New South Wales,2019,43207,False
10470,Bathurst,New South Wales,2020,43444,False
10470,Bathurst,New South Wales,2021,43674,False
10470,Bathurst,New South Wales,2022,44200,False
10470,Bathurst,New South Wales,2023,44675,False
10470,Bathurst,New South Wales,2024,44999,False
10470,Bathurst,New South Wales,2025,45359,False
10500,Bayside (NSW),New South Wales,2001,129075,False
10500,Bayside (NSW),New South Wales,2002,129377,False
10500,Bayside (NSW),New South Wales,2003,130598,False
10500,Bayside (NSW),New South Wales,2004,131144,False
10500,Bayside (NSW),New South Wales,2005,132112,False
10500,Bayside (NSW),New South Wales,2006,133205,False
10500,Bayside (NSW),New South Wales,2007,135831,False
10500,Bayside (NSW),New South Wales,2008,139556,False
10500,Bayside (NSW),New South Wales,2009,142527,False
10500,Bayside (NSW),New South Wales,2010,144295,False
10500,Bayside (NSW),New South Wales,2011,144985,False
10500,Bayside (NSW),New South Wales,2012,148028,False
10500,Bayside (NSW),New South Wales,2013,151309,False
10500,Bayside (NSW),New South Wales,2014,154980,False
10500,Bayside (NSW),New South Wales,2015,159222,False
10500,Bayside (NSW),New South Wales,2016,164534,False
10500,Bayside (NSW),New South Wales,2017,168779,False
10500,Bayside (NSW),New South Wales,2018,171377,False
10500,Bayside (NSW),New South Wales,2019,173913,False
10500,Bayside (NSW),New South Wales,2020,176184,False
10500,Bayside (NSW),New South Wales,2021,176229,False
10500,Bayside (NSW),New South Wales,2022,178276,False
10500,Bayside (NSW),New South Wales,2023,183255,False
10500,Bayside (NSW),New South Wales,2024,186061,False
10500,Bayside (NSW),New South Wales,2025,187770,False
10550,Bega Valley,New South Wales,2001,30425,False
10550,Bega Valley,New South Wales,2002,30790,False
10550,Bega Valley,New South Wales,2003,31056,False
10550,Bega Valley,New South Wales,2004,31406,False
10550,Bega Valley,New South Wales,2005,31608,False
10550,Bega Valley,New South Wales,2006,31829,False
10550,Bega Valley,New South Wales,2007,32183,False
10550,Bega Valley,New South Wales,2008,32367,False
10550,Bega Valley,New South Wales,2009,32620,False
10550,Bega Valley,New South Wales,2010,32962,False
10550,Bega Valley,New South Wales,2011,33128,False
10550,Bega Valley,New South Wales,2012,33288,False
10550,Bega Valley,New South Wales,2013,33430,False
10550,Bega Valley,New South Wales,2014,33562,False
10550,Bega Valley,New South Wales,2015,33713,False
10550,Bega Valley,New South Wales,2016,33941,False
10550,Bega Valley,New South Wales,2017,34287,False
10550,Bega Valley,New South Wales,2018,34674,False
10550,Bega Valley,New South Wales,2019,35026,False
10550,Bega Valley,New South Wales,2020,35428,False
10550,Bega Valley,New South Wales,2021,35770,False
10550,Bega Valley,New South Wales,2022,36080,False
10550,Bega Valley,New South Wales,2023,36374,False
10550,Bega Valley,New South Wales,2024,36700,False
10550,Bega Valley,New South Wales,2025,36921,False
10600,Bellingen,New South Wales,2001,12634,False
10600,Bellingen,New South Wales,2002,12673,False
10600,Bellingen,New South Wales,2003,12705,False
10600,Bellingen,New South Wales,2004,12672,False
10600,Bellingen,New South Wales,2005,12682,False
10600,Bellingen,New South Wales,2006,12716,False
10600,Bellingen,New South Wales,2007,12773,False
10600,Bellingen,New South Wales,2008,12787,False
10600,Bellingen,New South Wales,2009,12837,False
10600,Bellingen,New South Wales,2010,12891,False
10600,Bellingen,New South Wales,2011,12923,False
10600,Bellingen,New South Wales,2012,12909,False
10600,Bellingen,New South Wales,2013,12920,False
