lga_code,lga_name,erp_2024,erp_2025,erp_change_no,erp_change_pct,natural_increase,net_internal_migration,net_overseas_migration,area_km2,population_density_2025,is_total_row
40070,Adelaide,29246,30173,927,3.2,5,-360,1282,15.6,1937.5,False
40120,Adelaide Hills,42448,42875,427,1,121,86,220,794.5,54,False
40150,Adelaide Plains,11307,11736,429,3.8,92,322,15,932.5,12.6,False
40220,Alexandrina,30946,31427,481,1.6,-146,546,81,1826.8,17.2,False
40250,Anangu Pitjantjatjara Yankunytjatjara,2653,2668,15,0.6,5,8,2,102348.1,0,False
40310,Barossa,26631,26817,186,0.7,-29,135,80,893.5,30,False
40430,Barunga West,2683,2688,5,0.2,-36,36,5,1590.4,1.7,False
40520,Berri Barmera,10773,10758,-15,-0.1,-24,-35,44,476.2,22.6,False
40700,Burnside,47928,48257,329,0.7,-41,-378,748,27.5,1753.6,False
40910,Campbelltown (SA),58097,58826,729,1.3,103,-247,873,24.3,2416,False
41010,Ceduna,3754,3757,3,0.1,18,-23,8,5420.3,0.7,False
41060,Charles Sturt,129441,130841,1400,1.1,201,-393,1592,54.8,2388.1,False
41140,Clare and Gilbert Valleys,9446,9467,21,0.2,-8,5,24,1892.4,5,False
41190,Cleve,1761,1771,10,0.6,5,2,3,5018.8,0.4,False
41330,Coober Pedy,1542,1526,-16,-1,-4,-19,7,77.7,19.6,False
41560,Copper Coast,16336,16601,265,1.6,-61,304,22,772.9,21.5,False
41750,Elliston,1054,1057,3,0.3,1,-1,3,6741.9,0.2,False
41830,Flinders Ranges,1678,1662,-16,-1,-6,-13,3,4070.5,0.4,False
41960,Franklin Harbour,1359,1367,8,0.6,-2,9,1,2755.6,0.5,False
42030,Gawler,27208,27564,356,1.3,-27,290,93,41.1,670,False
42110,Goyder,4145,4141,-4,-0.1,-20,12,4,6715.1,0.6,False
42250,Grant,9166,9223,57,0.6,14,21,22,1897.8,4.9,False
42600,Holdfast Bay,39351,39683,332,0.8,-152,-155,639,13.8,2885.6,False
42750,Kangaroo Island,5172,5212,40,0.8,-1,22,19,4400.9,1.2,False
43080,Karoonda East Murray,1030,1026,-4,-0.4,-8,-2,6,4415.8,0.2,False
43220,Kimba,1067,1064,-3,-0.3,3,-8,2,5697.1,0.2,False
43360,Kingston (SA),2417,2420,3,0.1,-4,4,3,3339.8,0.7,False
43650,Light,17053,17317,264,1.5,41,184,39,1276.8,13.6,False
43710,Lower Eyre,6226,6268,42,0.7,6,24,12,4721.4,1.3,False
43790,Loxton Waikerie,11980,11971,-9,-0.1,-54,10,35,7763.9,1.5,False
44000,Maralinga Tjarutja,102,102,0,0,0,0,0,105766.3,0,False
44060,Marion,100009,101229,1220,1.2,195,-445,1470,55.6,1819.3,False
44210,Mid Murray,9600,9674,74,0.8,-34,86,22,6271.6,1.5,False
44340,Mitcham,70585,71267,682,1,18,-220,884,75.5,943.3,False
44550,Mount Barker,43711,45111,1400,3.2,245,963,192,594.6,75.9,False
44620,Mount Gambier,28016,28057,41,0.1,-25,-16,82,33.9,827.8,False
44830,Mount Remarkable,2871,2861,-10,-0.3,-17,4,3,3422.8,0.8,False
45040,Murray Bridge,23322,23539,217,0.9,-29,60,186,1831.8,12.9,False
45090,Naracoorte Lucindale,8949,8930,-19,-0.2,20,-107,68,4519.7,2,False
45120,Northern Areas,4680,4688,8,0.2,-13,21,0,2986.2,1.6,False
45290,Norwood Payneham and St Peters,40184,40845,661,1.6,18,-210,853,15.1,2704.3,False
45340,Onkaparinga,183239,184827,1588,0.9,283,422,883,518.1,356.7,False
45400,Orroroo Carrieton,891,884,-7,-0.8,0,-8,1,3321.8,0.3,False
45540,Peterborough,1694,1701,7,0.4,-16,21,2,3020.1,0.6,False
45680,Playford,111433,115790,4357,3.9,897,2821,639,345.2,335.4,False
45890,Port Adelaide Enfield,141372,143022,1650,1.2,547,-1059,2162,91.8,1558.7,False
46090,Port Augusta,14458,14469,11,0.1,54,-99,56,1158,12.5,False
46300,Port Lincoln,15067,15065,-2,0,13,-47,32,30.4,496.1,False
46450,Port Pirie,17672,17664,-8,0,-33,-7,32,1760.7,10,False
46510,Prospect,23342,23459,117,0.5,66,-310,361,7.8,3010.8,False
46670,Renmark Paringa,10213,10274,61,0.6,19,-51,93,916.4,11.2,False
46860,Robe,1620,1621,1,0.1,12,-13,2,1091.7,1.5,False
46970,Roxby Downs,4099,4089,-10,-0.2,69,-108,29,110.5,37,False
47140,Salisbury,150637,151019,382,0.3,603,-2031,1810,159.8,944.8,False
47290,Southern Mallee,2018,2013,-5,-0.2,10,-29,14,5702.2,0.4,False
47490,Streaky Bay,2280,2292,12,0.5,0,8,4,6222.9,0.4,False
47630,Tatiara,7098,7088,-10,-0.1,10,-51,31,6527.2,1.1,False
47700,Tea Tree Gully,104590,105120,530,0.5,195,-392,727,95.2,1104.1,False
47800,Coorong,5633,5627,-6,-0.1,2,-18,10,8833.4,0.6,False
47910,Tumby Bay,2955,2963,8,0.3,-16,19,5,2669.1,1.1,False
47980,Unley,40436,40731,295,0.7,-196,-270,761,14.3,2854.2,False
48050,Victor Harbor,17154,17457,303,1.8,-112,378,37,384.6,45.4,False
48130,Wakefield,6996,6993,-3,0,-4,-12,13,3468.5,2,False
48260,Walkerville,8593,8673,80,0.9,-17,-59,156,3.5,2456.9,False
48340,Wattle Range,12367,12378,11,0.1,-25,16,20,3926.2,3.2,False
48410,West Torrens,65934,66547,613,0.9,64,-894,1443,37.1,1794.3,False
48540,Whyalla,21875,21720,-155,-0.7,20,-237,62,1071.3,20.3,False
48640,Wudinna,1169,1171,2,0.2,5,-6,3,5075.3,0.2,False
48750,Yankalilla,6211,6299,88,1.4,-25,101,12,751.3,8.4,False
48830,Yorke Peninsula,12161,12242,81,0.7,-76,148,9,5899.6,2.1,False
49399,Unincorporated SA,3030,3001,-29,-1,8,-50,13,619426.1,0,False
,Total South Australia,1882164,1902665,20501,1.1,2727,-1295,19069,984231.4,1.9,True
