table_code,table_title,n_data_rows,dimension_columns,financial_years_covered,has_south_australia,notes
HIST.CLIENTS,"Clients and support periods, by sex, states and territories(a), 2011–12 to 2024–25",81,state_territory; data_type; sex,"2011-12, 2012-13, 2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24, 2024-25",True,"(a)   Clients may access services in more than one state or territory. Therefore, the total will be less than the sum of jurisdictions. | Notes: | 1.   Data for 2011–12 to 2016–17 have been adjusted for non-response. Due to improvements in the rates of agency participation and SLK validity, 2017–18 data are not weighted. The removal of weighting does not constitute a break in time series and weighted data from 2011–12 to 2016–17 are comparable with unweighted data for 2017–18 onwards. | 2.   Totals may not add due to rounding. | 3.   Rates are crude rates based on the Australian estimated resident population at 30 June of the reference year, as detailed in the Explanatory Notes. | 4.   Number of support periods excluded nationally due to missing information, 2024–25:        0
      Number of support periods excluded nationally due to missing information, 2022–23:        0
      Number of support periods excluded nationally due to missing information, 2022–23:        0
      Number of support periods excluded nationally due to missing information, 2021–22:        0
      Number of support periods excluded nationally due to missing information, 2020–21:        0
      Number of support periods excluded nationally due to missing information, 2019–20:        0
      Number of support periods excluded nationally due to missing information, 2018–19:       53
      Number of support periods excluded nationally due to missing information, 2017–18:        0
      Number of support periods excluded nationally due to missing information, 2016–17:        1
      Number of support periods excluded nationally due to missing information, 2015–16:        0
      Number of support periods excluded nationally due to missing information, 2014–15:        8
      Number of support periods excluded nationally due to missing information, 2013–14:       11
      Number of support periods excluded nationally due to missing information, 2012–13:      739
      Number of support periods excluded nationally due to missing information, 2011–12:      490. | 5.   For an explanation of how average annual rates of change and population rates are calculated, refer to the Explanatory Notes. | 6.   For state/territory-specific data quality issues, refer to the data quality statements for each reporting year."
HIST.INDIGENOUS,"Clients and support periods, by sex, states and territories(a) and Indigenous status, 2011–12 to 2024–25",253,state_territory; data_type; indigenous_status; sex,"2011-12, 2012-13, 2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24, 2024-25",True,"(a)   Clients may access services in more than one state or territory. Therefore the total will be less than the sum of jurisdictions. | Notes: | 1.   Data for 2011–12 to 2016–17 have been adjusted for non-response. Due to improvements in the rates of agency participation and SLK validity, 2017–18 data are not weighted. The removal of weighting does not constitute a break in time series and weighted data from 2011–12 to 2016–17 are comparable with unweighted data for 2017–18 onwards. | 2.   Totals may not add due to rounding. | 3.   Support periods with missing age or sex information have been excluded. | 4.   Rates are directly aged-standardised to the Australian estimated resident population as at 30 June 2001, as detailed in the online technical information. | 5.   For an explanation of how average annual rates of change and population rates are calculated, refer to the Explanatory Notes. | 6.   For state/territory-specific data quality issues refer to the data quality statements for each reporting year. | . .      not applicable | n.p.   not publishable because of small numbers, confidentiality or other concerns about the quality of the data"
HIST.INDIGENOUS_REG,"Indigenous clients per 10,000 population, by Remoteness Area, 2017–18 to 2024–25",12,data_type; indigenous_status; remoteness_area,"2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24, 2024-25",False,"(a) Rate ratio is the Indigenous rate divided by the Non-Indigenous rate and is used to compare the 2 service use rates. | (b) Non-Indigenous population rates by Remoteness Area for 2024–25 are not yet available, and will be updated in a later edition of this report. | Notes | 1. Rates are directly aged-standardised to the Australian estimated resident population as at 30 June 2001, as detailed in the online technical information. | 2. For an explanation of how average annual rates of change and population rates are calculated, refer to the Explanatory Notes. | 3. Remoteness Area is assigned using the Australian Bureau of Statistics classification, Australian Statistical Geography Standard (ASGS), 2021. | 4. Agencies participating in the SHSC are assigned to a Statistical Area 2 (SA2) based on their postcode, suburb, and state. SA2 is then mapped to Remoteness Area using a second concordance. Clients are assigned a Remoteness Area based on the SHS agency where they first sought support."
HIST.REG,"Clients and support periods, by sex, states and territories(a) and Remoteness Area, 2011–12 to 2024–25",328,state_territory; data_type; remoteness_area; sex,"2011-12, 2012-13, 2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24, 2024-25",True,"(a)   Clients were assigned to each state/territory in which they received support during the reporting year. | Notes: | 1.   Agencies participating in the SHSC are assigned to a Statistical Area 2 (SA2) based on their postcode, suburb, and state. SA2 is then mapped to Remoteness Area using a second concordance. Clients are assigned a Remoteness Area based on the SHS agency where they first sought support. | 2.   Clients may access services in more than one state or territory. Therefore the total will be less than the sum of jurisdictions. | 3.   Data for 2011–12 to 2016–17 have been adjusted for non-response. Due to improvements in the rates of agency participation and SLK validity, 2017–18 data are not weighted. The removal of weighting does not constitute a break in time series and weighted data from 2011–12 to 2016–17 are comparable with unweighted data for 2017–18 onwards. | 4.   Totals may not add due to rounding. | 5.   Rates are crude rates based on the Australian estimated resident population at 30 June of the reference year, as detailed in the Explanatory Notes. | 6.   Remoteness area is assigned using the Australian Bureau of Statistics classification, Australian Statistical Geography Standard (ASGS).
       • Remoteness 2011 was used for SHSC data for 2011-12, 2012-13, 2013-14, 2014-15, and 2015-16
       • Remoteness 2016 was used for SHSC data for 2016-17, 2017-18, 2018-19, 2019-20, 2020-21 and 2021-22
       • Remoteness 2021 was used for SHSC data for 2022-23, 2023-24 and 2024-25. | 7.   Anomalies arise where clients present in multiple states /territories for support through the year, as clients are assigned to each state/territory in which they sought support but only to the remoteness classification of the agency where they first sought support. For example, clients are recorded in a number of areas which do not exist such as outer regional, remote and very remote areas in the ACT; major cities and inner regional areas in the NT; and major cities in TAS. | 8.   For an explanation of how average annual rates of change and population rates are calculated, refer to the Explanatory Notes.
9.   For state/territory-specific data quality issues refer to the data quality statements for each reporting year.
n.p.     not publishable because of small numbers, confidentiality or other concerns about the quality of the data
   —     nil or rounded to zero
   . .      not applicable"
HIST.YOUNG,"Children and young people receiving support alone, by sex, states and territories(a), 2011–12 to 2024–25",84,state_territory; data_type; sex,"2011-12, 2012-13, 2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24, 2024-25",True,"(a)   Clients may access services in more than one state or territory. Therefore the total will be less than the sum of jurisdictions. | Notes | 1.   Data for 2011–12 to 2016–17 have been adjusted for non-response. Due to improvements in the rates of agency participation and SLK validity, 2017–18 data are not weighted. The removal of weighting does not constitute a break in time series and weighted data from 2011–12 to 2016–17 are comparable with unweighted data for 2017–18 onwards. | 2.   Totals may not add due to rounding. | 3.   Rates are crude rates based on the Australian estimated resident population at 30 June of the reference year, as detailed in the Explanatory Notes. | 4.   Children and young people are defined as clients aged 15–24 who presented alone to a specialist homelessness agency in their first support period (2011–12 to 2023–24), and as clients aged 12–24 who presented alone to a specialist homelessness agency in their first support period for 2024–25. | 5.   In 2017–18, age and age-related variables were derived using a more robust calculation method. Data for previous years have been updated with the improved calculation method for age. As such, data prior to 2017–18 contained in the SHS Annual Report may not match that contained in the SHS Annual Report Historical Tables. | 6.   For an explanation of how average annual rates of change and population rates are calculated, refer to the Explanatory Notes. | 7.   For state/territory-specific data quality issues refer to the data quality statements for each reporting year. | . .      not applicable"
HIST.CPO,"Children with a care and protection order, by sex, states and territories(a), 2015–16 to 2024–25",84,state_territory; data_type; sex,"2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24, 2024-25",True,"(a)   Clients may access services in more than one state or territory. Therefore the total will be less than the sum of jurisdictions. | Notes | 1.   Data for 2011–12 to 2016–17 have been adjusted for non-response. Due to improvements in the rates of agency participation and SLK validity, 2017–18 data are not weighted. The removal of weighting does not constitute a break in time series and weighted data from 2011–12 to 2016–17 are comparable with unweighted data for 2017–18 onwards. | 2.   Totals may not add due to rounding. | 3.   Rates are crude rates based on the Australian estimated resident population at 30 June of the reference year, as detailed in the Explanatory Notes. | 4.   A client is identified as being under a care or protection order if they are aged under 18 and have provided any of the following information in any support period (any month within the support period) during the reporting period (either the week before, at the beginning of the support period or during support):
       They reported that they were under a care and protection order and that they had the following care arrangements: 
       • residential care
       • family group home
       • relatives/kin/friends who are reimbursed
       • foster care
       • other home-based care (reimbursed)
       • relatives/kin/friends who are not reimbursed
       • independent living
       • other living arrangements
       • parents; or
       They have reported 'Transition from foster care/child safety residential placements' as a reason for seeking assistance, or main reason for seeking assistance.
A new care and protection order data item was introduced in 2015–16. This constituted a break in statistical time series and hence it cannot be compared 
with previous care and protection data. Further information can be found in the 2016–17 SHSC Data Quality Statement. | 5.   In 2017–18, age and age-related variables were derived using a more robust calculation method. Data for previous years have been updated with the improved calculation method for age. As such, data prior to 2017–18 contained in the SHS Annual Report may not match that contained in the SHS Annual Report Historical Tables. | 6.   For an explanation of how average annual rates of change and population rates are calculated, refer to the Explanatory Notes. | 7.   For state/territory-specific data quality issues refer to the data quality statements for each reporting year. | . .      not applicable"
HIST.LCARE,"Clients leaving care, by sex, states and territories(a), 2011–12 to 2024–25",84,state_territory; data_type; sex,"2011-12, 2012-13, 2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24, 2024-25",True,"(a)   Clients may access services in more than one state or territory. Therefore the total will be less than the sum of jurisdictions. | Notes | 1.   Data for 2011–12 to 2016–17 have been adjusted for non-response. Due to improvements in the rates of agency participation and SLK validity, 2017–18 data are not weighted. The removal of weighting does not constitute a break in time series and weighted data from 2011–12 to 2016–17 are comparable with unweighted data for 2017–18 onwards. | 2.   Totals may not add due to rounding. | 3.   Rates are crude rates based on the Australian estimated resident population at 30 June of the reference year, as detailed in the Explanatory Notes. | 4.   A client is identified as transitioning from care arrangements if they have provided any of the following information at the beginning of support or in any support period during the reporting period (either the week before or at beginning of the support period): 
         Their dwelling type was recorded as: 
       • hospital (excluding psychiatric)
       • psychiatric hospital or unit
       • disability support
       • rehabilitation
       • aged care facility; or
         One of their reasons for seeking assistance was: 
       • transition from foster care/child safety residential placements
       • transition from other care arrangements. | 5.   For an explanation of how average annual rates of change and population rates are calculated, refer to the Explanatory Notes. | 6.   For state/territory-specific data quality issues refer to the data quality statements for each reporting year. | . .      not applicable"
HIST.EXIT,"Clients exiting custodial arrangements, by sex, states and territories(a), 2011–12 to 2024–25",84,state_territory; data_type; sex,"2011-12, 2012-13, 2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24, 2024-25",True,"(a)   Clients may access services in more than one state or territory. Therefore the total will be less than the sum of jurisdictions. | Notes | 1.   Data for 2011–12 to 2016–17 have been adjusted for non-response. Due to improvements in the rates of agency participation and SLK validity, 2017–18 data are not weighted. The removal of weighting does not constitute a break in time series and weighted data from 2011–12 to 2016–17 are comparable with unweighted data for 2017–18 onwards. | 2.   Totals may not add due to rounding. | 3.   Rates are crude rates based on the Australian estimated resident population at 30 June of the reference year, as detailed in the Explanatory Notes. | 4.   A client is identified as transitioning from a custodial setting if they are aged 10 years or older and have provided any of the following information at the beginning of support or in any support period during the reporting period (either the week before or at beginning of the support period):
         Their dwelling type was recorded as: 
       • adult correctional facility
       • youth or juvenile justice correctional centre 
       • immigration detention centre; or
       • They have reported 'Transition from a custodial arrangements' as a reason for seeking assistance, or main reason for seeking assistance; or 
         Their formal referral source to the specialist homelessness agency was:
       • youth or juvenile justice correctional centre, or
       • adult correctional facility. | 5.   In 2017–18, age and age-related variables were derived using a more robust calculation method. Data for previous years have been updated with the improved calculation method for age. As such, data prior to 2017–18 contained in the SHS Annual Report may not match that contained in the SHS Annual Report Historical Tables. | 6.   For an explanation of how average annual rates of change and population rates are calculated, refer to the Explanatory Notes. | 7.   For state/territory-specific data quality issues refer to the data quality statements for each reporting year. | . .      not applicable"
HIST.OLDER,"Older clients, by sex, states and territories(a), 2011–12 to 2024–25",84,state_territory; data_type; sex,"2011-12, 2012-13, 2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24, 2024-25",True,"(a)   Clients may access services in more than one state or territory. Therefore the total will be less than the sum of jurisdictions. | Notes | 1.   Data for 2011–12 to 2016–17 have been adjusted for non-response. Due to improvements in the rates of agency participation and SLK validity, 2017–18 data are not weighted. The removal of weighting does not constitute a break in time series and weighted data from 2011–12 to 2016–17 are comparable with unweighted data for 2017–18 onwards. | 2.   Totals may not add due to rounding. | 3.   Rates are crude rates based on the Australian estimated resident population at 30 June of the reference year, as detailed in the Explanatory Notes. | 4.   Older clients are defined as any client aged 55 years or older. | 5.   In 2017–18, age and age-related variables were derived using a more robust calculation method. Data for previous years have been updated with the improved calculation method for age. As such, data prior to 2017–18 contained in the SHS Annual Report may not match that contained in the SHS Annual Report Historical Tables. | 6.   For an explanation of how average annual rates of change and population rates are calculated, refer to the Explanatory Notes. | 7.   For state/territory-specific data quality issues refer to the data quality statements for each reporting year. | . .      not applicable"
HIST.ADF,"Clients who are current or former members of the Australian Defence Force, by sex, states and territories(a), 2017–18 to 2024–25",84,state_territory; data_type; sex,"2017-18, 2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24, 2024-25",True,"(a)   Clients may access services in more than one state or territory. Therefore the total will be less than the sum of jurisdictions. | Notes | 1.   Totals may not add due to rounding. | 2.   Rates are crude rates based on the Australian estimated resident population at 30 June of the reference year, as detailed in the Explanatory Notes. | 3.   The Australian Defence Force (ADF) indicator was introduced into the Specialist Homelessness Services Collection (SHSC) in July 2017. | 4.   In order to apply the ADF indicator, an agency records whether the client is a current or former ADF member, either on a full or part-time basis. | 5.   The ADF indicator is not applicable to clients who may have served in non-Australian defence forces or reservists who have never served as a permanent ADF member. | 6.   The ADF question is not asked of clients under the age of 18. | 7.   For an explanation of how average annual rates of change and population rates are calculated, refer to the Explanatory Notes. | 8.   For state/territory-specific data quality issues refer to the data quality statements for each reporting year."
