state_territory,data_type,sex,fy_2011-12,fy_2012-13,fy_2013-14,fy_2014-15,fy_2015-16,fy_2016-17,fy_2017-18,fy_2018-19,fy_2019-20,fy_2020-21,fy_2021-22,fy_2022-23,fy_2023-24,fy_2024-25,avg_annual_change_pct__average_annual_change_per_cent_2011_12_to_2024_25
National,Clients (number),Males,96798,101122,104547,103951,113431,115744,113163,116669,115789,110887,108263,111202,112873,115280,1.4
National,Clients (number),Females,139630,143054,149455,151707,165765,172530,175632,173648,174673,167388,164431,162446,167205,173690,1.7
National,Clients (number),All clients,236429,244176,254001,255657,279196,288273,288795,290317,290462,278275,272694,273648,280078,288970,1.6
National,Support periods (number),Males,164277,173174,177854,178793,194286,199784,197473,199037,199731,199581,190809,191326,191842,192484,1.2
National,Support periods (number),Females,223999,238701,250076,258203,283545,298719,315211,310641,315294,307369,297871,288045,293778,299333,2.3
National,Support periods (number),All clients,388276,411875,427930,436996,477831,498502,512684,509678,515025,506950,488680,479371,485620,491817,1.8
National,"Clients (per 10,000 ERP)",Males,87.1,89.4,90.9,89.1,95.9,96.4,92.7,94.2,92.1,87.1,84.9,86.1,85.3,85.4,-0.2
National,"Clients (per 10,000 ERP)",Females,124.4,125.3,128.6,128.5,138.3,141.6,141.8,138.1,136.9,129.6,127.1,124,124.6,126.9,0.2
National,"Clients (per 10,000 ERP)",All clients,105.8,107.4,109.8,108.9,117.2,119.2,117.4,116.3,114.6,108.5,106.2,105.2,105.1,106.3,0
New South Wales,Clients (number),Males,22335,22342,21880,20362,29872,31912,30467,31033,29265,29175,27516,27878,27486,26728,1.4
New South Wales,Clients (number),Females,29770,29611,29907,27899,39843,42304,41161,42516,41107,41413,40957,40510,40405,41096,2.5
New South Wales,Clients (number),All clients,52105,51953,51786,48262,69715,74216,71628,73549,70372,70588,68473,68388,67891,67824,2
New South Wales,Support periods (number),Males,32457,34466,32902,32856,45944,49558,48902,45602,41155,40896,37330,38651,38009,36325,0.9
New South Wales,Support periods (number),Females,42213,42932,42079,40357,57795,61953,63057,62631,59234,60418,58453,58964,58294,58311,2.5
New South Wales,Support periods (number),All clients,74670,77398,74981,73213,103739,111512,111959,108233,100389,101314,95783,97615,96303,94636,1.8
New South Wales,"Clients (per 10,000 ERP)",Males,62.3,61.6,59.5,54.7,79.1,83.2,78.2,78.5,73.2,72.4,68.4,68.5,66.1,63.2,0.1
New South Wales,"Clients (per 10,000 ERP)",Females,81.9,80.5,80.2,73.7,103.8,108.5,104,106.2,101.6,101.5,100.6,98.5,96.3,96.3,1.3
New South Wales,"Clients (per 10,000 ERP)",All clients,72.2,71.1,69.9,64.3,91.5,96,91.2,92.5,87.5,87,84.6,83.6,81.2,79.9,0.8
Victoria,Clients (number),Males,32265,36657,39438,39712,40238,41122,42033,43638,44965,40761,40469,41385,42432,43232,2.3
Victoria,Clients (number),Females,53885,55805,60454,63081,65049,68778,74839,69281,70341,64749,61206,56958,59532,61894,1.1
Victoria,Clients (number),All clients,86150,92462,99892,102793,105287,109901,116872,112919,115306,105510,101675,98343,101964,105126,1.5
Victoria,Support periods (number),Males,67688,73388,77424,77353,79572,81683,84264,88310,94489,94864,89249,86287,86039,86903,1.9
Victoria,Support periods (number),Females,97547,106509,114165,119606,125906,135150,152873,145722,153664,144606,133806,119875,123446,125887,2
Victoria,Support periods (number),All clients,165234,179897,191589,196959,205478,216833,237137,234032,248153,239470,223055,206162,209485,212790,2
Victoria,"Clients (per 10,000 ERP)",Males,117.7,131.1,138.1,136.2,135.2,134.8,134.9,137.3,138.9,124.5,125,126.6,126.3,125.9,0.5
Victoria,"Clients (per 10,000 ERP)",Females,192.7,195.5,207.3,211.7,213.6,220.3,234.9,213.5,213.1,193.8,184.9,170.2,173.1,175.9,-0.7
Victoria,"Clients (per 10,000 ERP)",All clients,155.6,163.6,173,174.4,174.8,178,185.4,175.8,176.4,159.5,155.3,148.7,150,151.2,-0.2
Queensland,Clients (number),Males,19544,19553,19772,20064,19090,18296,17806,18415,17429,17237,17047,18695,20003,22783,1.2
Queensland,Clients (number),Females,22944,23448,23979,24149,23453,23142,23312,24672,25665,23990,24540,26774,28815,31917,2.6
Queensland,Clients (number),All clients,42487,43001,43751,44213,42543,41438,41118,43087,43094,41227,41587,45469,48818,54700,2
Queensland,Support periods (number),Males,28249,28179,27979,28139,26644,25831,25156,25695,24421,24826,23905,25806,27146,31771,0.9
Queensland,Support periods (number),Females,31358,31967,33244,33462,32771,33076,34101,35904,36915,36077,36106,38935,41040,46483,3.1
Queensland,Support periods (number),All clients,59607,60147,61222,61600,59415,58907,59257,61599,61336,60903,60011,64741,68186,78254,2.1
Queensland,"Clients (per 10,000 ERP)",Males,87.5,85.8,85.2,85.4,80.4,76.1,72.9,74.2,69.1,67.4,65.9,71.1,74.1,82.6,-0.4
Queensland,"Clients (per 10,000 ERP)",Females,102.3,102.4,102.8,101.9,97.6,94.8,93.9,97.7,100,92,93.3,99.9,104.7,113.5,0.8
Queensland,"Clients (per 10,000 ERP)",All clients,94.9,94.1,94,93.7,89,85.5,83.5,86.1,84.7,79.8,79.7,85.6,89.6,98.2,0.3
Western Australia,Clients (number),Males,8596,8324,8235,8796,8971,9174,8896,9226,9490,8984,8769,8715,8526,8847,0.2
Western Australia,Clients (number),Females,12595,13093,13201,14225,15232,15452,14843,15645,15466,15486,15938,15751,16467,17065,2.4
Western Australia,Clients (number),All clients,21190,21417,21437,23021,24203,24626,23739,24871,24956,24470,24707,24466,24993,25912,1.6
Western Australia,Support periods (number),Males,12858,12510,12022,13001,13168,13386,13043,13596,13937,13302,13058,13018,12676,12410,-0.3
Western Australia,Support periods (number),Females,18615,19872,19814,21359,22942,23156,22540,24094,23977,24536,25680,25166,26249,26546,2.8
Western Australia,Support periods (number),All clients,31474,32381,31836,34360,36110,36542,35583,37690,37914,37838,38738,38184,38925,38956,1.7
Western Australia,"Clients (per 10,000 ERP)",Males,72.5,68,65.7,69.4,70.3,71.6,68.6,70.4,71.3,66.2,63.7,62.2,58.7,59.1,-1.6
Western Australia,"Clients (per 10,000 ERP)",Females,107.8,108.9,107.1,113.7,120.5,121.3,115.1,119.7,116.4,114.2,116.1,113,114.4,115.3,0.5
Western Australia,"Clients (per 10,000 ERP)",All clients,90,88.3,86.2,91.4,95.3,96.3,91.8,95,93.8,90.2,89.9,87.6,86.5,87,-0.3
South Australia,Clients (number),Males,8096,8865,9012,8506,8417,8180,7769,7920,7705,7521,7208,7890,7611,7001,-1.1
South Australia,Clients (number),Females,11400,12476,12643,12611,12482,12591,11872,11717,11513,11089,10822,11532,11106,10586,-0.6
South Australia,Clients (number),All clients,19497,21342,21655,21116,20898,20771,19641,19637,19218,18610,18030,19422,18717,17587,-0.8
South Australia,Support periods (number),Males,12418,13885,15560,14662,14358,14218,13006,13012,12483,12388,13760,14517,14672,13617,0.7
South Australia,Support periods (number),Females,19346,21573,23881,24595,24290,24151,22391,21892,20619,20047,21803,22476,22375,21174,0.7
South Australia,Support periods (number),All clients,31764,35458,39442,39257,38648,38369,35397,34904,33102,32435,35563,36993,37047,34791,0.7
South Australia,"Clients (per 10,000 ERP)",Males,99.7,108,108.8,101.8,100,96.6,90.9,91.8,88.2,85,80.9,87.4,82.8,75.2,-2.1
South Australia,"Clients (per 10,000 ERP)",Females,137.7,149.2,149.9,148.1,145.3,145.4,135.8,132.7,128.8,122.4,118.7,125,118.3,111.3,-1.6
South Australia,"Clients (per 10,000 ERP)",All clients,118.9,128.8,129.6,125.2,122.9,121.3,113.6,112.5,108.7,103.9,100,106.4,100.8,93.4,-1.8
Tasmania,Clients (number),Males,2932,2642,3127,3388,3782,3759,2970,2992,2824,2889,3001,2867,2975,2769,-0.4
Tasmania,Clients (number),Females,3216,2944,3488,3940,4077,4029,3538,3631,3620,3678,3976,3805,3697,3554,0.8
Tasmania,Clients (number),All clients,6148,5585,6614,7328,7859,7789,6508,6623,6444,6567,6977,6672,6672,6323,0.2
Tasmania,Support periods (number),Males,4179,3738,4805,5914,7417,7454,5938,5849,5594,5631,6075,6035,6217,4294,0.2
Tasmania,Support periods (number),Females,4606,4158,5331,7201,8043,8056,7034,7396,7284,7533,8313,8160,8104,5721,1.7
Tasmania,Support periods (number),All clients,8785,7896,10136,13115,15460,15510,12972,13245,12878,13164,14388,14195,14321,10015,1
Tasmania,"Clients (per 10,000 ERP)",Males,115.1,103.7,122.7,132.9,148.1,146.7,113.9,112.4,104.1,104.7,106.6,100.9,104.5,97.1,-1.3
Tasmania,"Clients (per 10,000 ERP)",Females,125.3,114.6,135.4,152.3,157,154.2,133,133.9,130.9,130.6,139.1,132,127.9,122.7,-0.2
