state_territory,data_type,sex,fy_2015-16,fy_2016-17,fy_2017-18,fy_2018-19,fy_2019-20,fy_2020-21,fy_2021-22,fy_2022-23,fy_2023-24,fy_2024-25,avg_annual_change_pct__average_annual_change_per_cent_2015_16_to_2024_25
National,Clients (number),Males,4605,4490,4241,4449,4274,3892,3737,3814,3982,4076,-1.3
National,Clients (number),Females,4700,4610,4428,4723,4517,4418,4136,4047,4303,4463,-0.6
National,Clients (number),All clients,9305,9100,8669,9172,8791,8310,7873,7861,8285,8539,-1
National,Support periods (number),Males,7620,7621,7321,7658,7521,6678,6410,6253,6464,6749,-1.3
National,Support periods (number),Females,8215,8383,8313,8479,7980,7787,7199,7082,7222,7748,-0.6
National,Support periods (number),All clients,15835,16003,15634,16137,15501,14465,13609,13335,13686,14497,-1
National,"Clients (per 10,000 ERP)",Males,16.7,16.1,15,15.6,14.8,13.4,12.9,13,13.5,13.7,-2.2
National,"Clients (per 10,000 ERP)",Females,18,17.4,16.5,17.5,16.6,16.1,15.1,14.6,15.4,15.9,-1.4
National,"Clients (per 10,000 ERP)",All clients,17.4,16.7,15.8,16.5,15.7,14.7,13.9,13.8,14.4,14.7,-1.9
National,Clients (proportion of male SHS clients),Males,4.1,3.9,3.7,3.8,3.7,3.5,3.5,3.4,3.5,3.5,. .
National,Clients (proportion of female SHS clients),Females,2.8,2.7,2.5,2.7,2.6,2.6,2.5,2.5,2.6,2.6,. .
National,Clients (proportion of all SHS clients),All clients,3.3,3.2,3,3.2,3,3,2.9,2.9,3,3,. .
New South Wales,Clients (number),Males,1163,1316,1292,1285,1121,1125,1126,1089,1001,799,-4.1
New South Wales,Clients (number),Females,1296,1367,1405,1467,1281,1333,1313,1173,1150,913,-3.8
New South Wales,Clients (number),All clients,2459,2683,2697,2752,2402,2458,2439,2262,2151,1712,-3.9
New South Wales,Support periods (number),Males,1584,1888,1900,1870,1661,1657,1584,1521,1399,1167,-3.3
New South Wales,Support periods (number),Females,1983,2337,2440,2330,1972,2093,1973,1892,1760,1389,-3.9
New South Wales,Support periods (number),All clients,3567,4226,4340,4200,3633,3750,3557,3413,3159,2556,-3.6
New South Wales,"Clients (per 10,000 ERP)",Males,13.3,14.8,14.4,14.2,12.3,12.3,12.3,11.8,10.8,8.6,-4.7
New South Wales,"Clients (per 10,000 ERP)",Females,15.6,16.3,16.6,17.2,15,15.5,15.3,13.5,13.2,10.4,-4.4
New South Wales,"Clients (per 10,000 ERP)",All clients,14.4,15.5,15.5,15.7,13.6,13.9,13.7,12.6,12,9.5,-4.5
Victoria,Clients (number),Males,1996,1758,1668,1878,1967,1701,1629,1634,1715,1820,-1
Victoria,Clients (number),Females,1924,1763,1677,1878,1927,1840,1740,1697,1835,1879,-0.3
Victoria,Clients (number),All clients,3920,3521,3345,3756,3894,3541,3369,3331,3550,3699,-0.6
Victoria,Support periods (number),Males,3781,3519,3398,3777,4005,3285,3221,3138,3187,3469,-1
Victoria,Support periods (number),Females,3873,3616,3632,3936,3927,3617,3419,3368,3525,3829,-0.1
Victoria,Support periods (number),All clients,7654,7135,7030,7713,7932,6902,6640,6506,6712,7298,-0.5
Victoria,"Clients (per 10,000 ERP)",Males,29.5,25.3,23.6,26.2,27.1,23.3,22.4,22.4,23.2,24.3,-2.1
Victoria,"Clients (per 10,000 ERP)",Females,30,26.8,25.1,27.7,28.1,26.7,25.3,24.5,26.1,26.4,-1.4
Victoria,"Clients (per 10,000 ERP)",All clients,29.7,26,24.3,26.9,27.6,25,23.8,23.4,24.6,25.3,-1.8
