state_territory,data_type,sex,fy_2013-14,fy_2014-15,fy_2015-16,fy_2016-17,fy_2017-18,fy_2018-19,fy_2019-20,fy_2020-21,fy_2021-22,fy_2022-23,fy_2023-24,fy_2024-25,avg_annual_change_pct__average_annual_change_per_cent_2013_14_to_2024_25
National,Clients (number),Males,3378,4383,4922,5452,3918,3699,3381,3495,3661,3815,4088,4441,2.5
National,Clients (number),Females,3601,4406,4890,5536,3984,3499,3336,3495,3659,3814,4174,4648,2.3
National,Clients (number),All clients,6979,8789,9812,10988,7902,7198,6717,6990,7320,7629,8262,9089,2.4
National,Support periods (number),Males,8240,9770,10992,12831,9567,8792,8012,8027,8380,8226,8861,8959,0.8
National,Support periods (number),Females,8142,9771,11253,12835,10461,8834,8178,8630,8612,9193,9688,10322,2.2
National,Support periods (number),All clients,16382,19541,22245,25666,20028,17626,16190,16657,16992,17419,18549,19281,1.5
National,"Clients (per 10,000 ERP)",Males,2.9,3.8,4.2,4.5,3.2,3,2.7,2.7,2.9,3,3.1,3.3,1.2
National,"Clients (per 10,000 ERP)",Females,3.1,3.7,4.1,4.5,3.2,2.8,2.6,2.7,2.8,2.9,3.1,3.4,0.8
National,"Clients (per 10,000 ERP)",All clients,3,3.7,4.1,4.5,3.2,2.9,2.7,2.7,2.8,2.9,3.1,3.3,0.9
National,Clients (proportion of male SHS clients),Males,3.2,4.2,4.3,4.7,3.5,3.2,2.9,3.2,3.4,3.4,3.6,3.9,. .
National,Clients (proportion of female SHS clients),Females,2.4,2.9,3,3.2,2.3,2,1.9,2.1,2.2,2.3,2.5,2.7,. .
National,Clients (proportion of all SHS clients),All clients,2.7,3.4,3.5,3.8,2.7,2.5,2.3,2.5,2.7,2.8,2.9,3.1,. .
New South Wales,Clients (number),Males,600,822,1150,1532,980,908,812,904,927,975,953,1072,5.4
New South Wales,Clients (number),Females,744,864,1357,1628,1002,819,804,872,860,869,930,1081,3.5
New South Wales,Clients (number),All clients,1344,1686,2507,3160,1982,1727,1616,1776,1787,1844,1883,2153,4.4
New South Wales,Support periods (number),Males,1190,1240,1885,2896,1789,1520,1238,1374,1393,1477,1374,1561,2.5
New South Wales,Support periods (number),Females,1169,1293,2632,3039,2022,1465,1309,1474,1419,1472,1502,1705,3.5
New South Wales,Support periods (number),All clients,2359,2533,4517,5935,3811,2985,2547,2848,2812,2949,2876,3266,3
New South Wales,"Clients (per 10,000 ERP)",Males,1.6,2.2,3,4,2.5,2.3,2,2.2,2.3,2.4,2.3,2.5,4.1
New South Wales,"Clients (per 10,000 ERP)",Females,2,2.3,3.5,4.2,2.5,2,2,2.1,2.1,2.1,2.2,2.5,2
New South Wales,"Clients (per 10,000 ERP)",All clients,1.8,2.2,3.3,4.1,2.5,2.2,2,2.2,2.2,2.3,2.3,2.5,3
Victoria,Clients (number),Males,1598,1848,1790,1932,1561,1485,1432,1456,1487,1448,1585,1746,0.8
Victoria,Clients (number),Females,1643,1920,1833,2011,1637,1371,1347,1480,1479,1523,1689,1886,1.3
Victoria,Clients (number),All clients,3241,3767,3622,3943,3198,2856,2779,2936,2966,2971,3274,3632,1
Victoria,Support periods (number),Males,4651,4921,4920,5792,5107,4812,4597,4566,4597,4232,4469,4418,-0.5
Victoria,Support periods (number),Females,4589,5208,4996,5865,5615,4675,4555,4866,4572,4877,5021,5302,1.3
Victoria,Support periods (number),All clients,9240,10129,9916,11657,10722,9487,9152,9432,9169,9109,9490,9720,0.5
Victoria,"Clients (per 10,000 ERP)",Males,5.6,6.3,6,6.3,5,4.7,4.4,4.4,4.6,4.4,4.7,5.1,-0.8
Victoria,"Clients (per 10,000 ERP)",Females,5.6,6.4,6,6.4,5.1,4.2,4.1,4.4,4.5,4.5,4.9,5.4,-0.3
Victoria,"Clients (per 10,000 ERP)",All clients,5.6,6.4,6,6.4,5.1,4.4,4.3,4.4,4.5,4.5,4.8,5.2,-0.7
Queensland,Clients (number),Males,597,653,679,674,412,381,356,435,477,611,648,791,2.6
Queensland,Clients (number),Females,588,646,620,617,422,423,435,442,482,603,569,732,2
Queensland,Clients (number),All clients,1186,1299,1298,1290,834,804,791,877,959,1214,1217,1523,2.3
Queensland,Support periods (number),Males,1140,1089,1120,1069,696,612,594,754,797,936,1030,1258,0.9
Queensland,Support periods (number),Females,988,1074,964,963,708,694,722,778,770,1008,966,1198,1.8
Queensland,Support periods (number),All clients,2128,2163,2084,2033,1404,1306,1316,1532,1567,1944,1996,2456,1.3
Queensland,"Clients (per 10,000 ERP)",Males,2.6,2.8,2.9,2.8,1.7,1.5,1.4,1.7,1.8,2.3,2.4,2.9,1
Queensland,"Clients (per 10,000 ERP)",Females,2.5,2.7,2.6,2.5,1.7,1.7,1.7,1.7,1.8,2.2,2.1,2.6,0.4
Queensland,"Clients (per 10,000 ERP)",All clients,2.5,2.8,2.7,2.7,1.7,1.6,1.6,1.7,1.8,2.3,2.2,2.7,0.7
Western Australia,Clients (number),Males,263,625,694,661,364,290,216,163,177,212,217,185,-3.1
Western Australia,Clients (number),Females,252,478,499,558,320,259,202,191,236,251,390,313,2
Western Australia,Clients (number),All clients,515,1103,1193,1219,684,549,418,354,413,463,607,498,-0.3
Western Australia,Support periods (number),Males,538,1494,1678,1528,814,634,403,301,303,348,415,305,-5
Western Australia,Support periods (number),Females,499,1074,1216,1212,732,601,430,358,446,474,698,558,1
Western Australia,Support periods (number),All clients,1037,2568,2893,2739,1546,1235,833,659,749,822,1113,863,-1.7
