state_territory,data_type,sex,fy_2011-12,fy_2012-13,fy_2013-14,fy_2014-15,fy_2015-16,fy_2016-17,fy_2017-18,fy_2018-19,fy_2019-20,fy_2020-21,fy_2021-22,fy_2022-23,fy_2023-24,fy_2024-25,avg_annual_change_pct__average_annual_change_per_cent_2011_12_to_2024_25
National,Clients (number),Males,17432,16426,18138,20583,24248,26351,27013,27691,27928,27273,25537,25989,27497,29562,4.1
National,Clients (number),Females,62179,61444,66636,71766,81370,88407,94103,88728,91254,88907,82146,78198,81990,86976,2.6
National,Clients (number),All clients,79611,77870,84774,92349,105619,114757,121116,116419,119182,116180,107683,104187,109487,116538,3
National,Support periods (number),Males,26426,27961,29864,34970,42042,46504,48682,50198,50780,52920,47790,47624,49576,52720,5.5
National,Support periods (number),Females,97557,109904,120315,133260,154533,170759,187974,178979,186609,184325,167857,156836,160717,168336,4.3
National,Support periods (number),All clients,123982,137865,150178,168231,196576,217263,236656,229177,237389,237245,215647,204460,210293,221056,4.5
National,"Clients (per 10,000 ERP)",Males,15.7,14.5,15.8,17.6,20.5,22,22.1,22.3,22.2,21.4,20,20.1,20.8,21.9,2.6
National,"Clients (per 10,000 ERP)",Females,55.4,53.8,57.3,60.8,67.9,72.5,76,70.6,71.5,68.8,63.5,59.7,61.1,63.5,1.1
National,"Clients (per 10,000 ERP)",All clients,35.6,34.3,36.7,39.3,44.3,47.4,49.2,46.6,47,45.3,41.9,40,41.1,42.8,1.4
National,Clients (proportion of male SHS clients),Males,18,16.2,17.3,19.8,21.4,22.8,23.9,23.7,24.1,24.6,23.6,23.4,24.4,25.6,. .
National,Clients (proportion of female SHS clients),Females,44.5,43,44.6,47.3,49.1,51.2,53.6,51.1,52.2,53.1,50,48.1,49,50.1,. .
National,Clients (proportion of all SHS clients),All clients,33.7,31.9,33.4,36.1,37.8,39.8,41.9,40.1,41,41.8,39.5,38.1,39.1,40.3,. .
New South Wales,Clients (number),Males,4682,4359,4538,4659,6378,7197,7372,7491,7332,7492,6754,6724,6610,6758,2.9
New South Wales,Clients (number),Females,13808,13329,13902,12692,16793,18514,19258,20375,20123,20721,19505,19350,19363,20304,3
New South Wales,Clients (number),All clients,18490,17689,18440,17350,23171,25711,26630,27866,27455,28213,26259,26074,25973,27062,3
New South Wales,Support periods (number),Males,6350,6072,5846,6391,9393,10892,11660,11753,10771,10950,9734,9824,9688,9849,3.4
New South Wales,Support periods (number),Females,19124,19036,18909,18133,26058,29566,32148,33279,31887,32786,30509,31216,30982,31738,4
New South Wales,Support periods (number),All clients,25474,25108,24755,24524,35451,40458,43808,45032,42658,43736,40243,41040,40670,41587,3.8
New South Wales,"Clients (per 10,000 ERP)",Males,13.1,12,12.4,12.5,16.9,18.8,18.9,19,18.3,18.6,16.8,16.5,15.9,16,1.6
New South Wales,"Clients (per 10,000 ERP)",Females,38,36.2,37.3,33.5,43.7,47.5,48.6,50.9,49.7,50.8,47.9,47,46.1,47.6,1.7
New South Wales,"Clients (per 10,000 ERP)",All clients,25.6,24.2,24.9,23.1,30.4,33.2,33.9,35,34.1,34.8,32.4,31.9,31.1,31.9,1.7
Victoria,Clients (number),Males,4962,4832,5884,7394,8509,9347,10380,11176,11878,11140,10745,10738,11969,12846,7.6
Victoria,Clients (number),Females,25775,25885,29795,33969,37167,40692,46344,39647,41324,39680,35254,30161,31919,33359,2
Victoria,Clients (number),All clients,30737,30717,35679,41363,45676,50038,56724,50823,53202,50820,45999,40899,43888,46205,3.2
Victoria,Support periods (number),Males,8489,10663,11987,15191,17569,19869,22195,23856,26128,28121,25039,24096,25863,27519,9.5
Victoria,Support periods (number),Females,41865,53314,60802,69195,78124,87112,102569,92185,101132,98228,85698,71741,74044,76135,4.7
Victoria,Support periods (number),All clients,50354,63978,72789,84386,95692,106981,124764,116041,127260,126349,110737,95837,99907,103654,5.7
Victoria,"Clients (per 10,000 ERP)",Males,18.1,17.3,20.6,25.4,28.6,30.6,33.3,35.2,36.7,34,33.2,32.9,35.6,37.4,5.7
Victoria,"Clients (per 10,000 ERP)",Females,92.2,90.7,102.2,114,122.1,130.3,145.5,122.2,125.2,118.8,106.5,90.1,92.8,94.8,0.2
Victoria,"Clients (per 10,000 ERP)",All clients,55.5,54.4,61.8,70.2,75.8,81.1,90,79.1,81.4,76.8,70.3,61.8,64.6,66.5,1.4
Queensland,Clients (number),Males,2893,3028,3278,3683,3968,4214,3907,3796,3691,3732,3449,3748,4058,4791,4
Queensland,Clients (number),Females,7689,8018,8272,8658,9431,10119,10101,10800,11858,10506,10062,10735,11631,13458,4.4
Queensland,Clients (number),All clients,10582,11047,11550,12341,13400,14332,14008,14596,15549,14238,13511,14483,15689,18249,4.3
Queensland,Support periods (number),Males,4028,4375,4646,5278,5732,6095,5665,5460,5247,5379,4876,5303,5696,6885,4.2
Queensland,Support periods (number),Females,11014,11697,12264,13222,14445,15968,16574,17360,18445,17321,16441,17343,18138,22063,5.5
Queensland,Support periods (number),All clients,15042,16072,16909,18500,20176,22063,22239,22820,23692,22700,21317,22646,23834,28948,5.2
Queensland,"Clients (per 10,000 ERP)",Males,12.9,13.3,14.1,15.7,16.7,17.5,16,15.3,14.6,14.6,13.3,14.2,15,17.4,2.3
Queensland,"Clients (per 10,000 ERP)",Females,34.3,35,35.4,36.5,39.2,41.4,40.7,42.8,46.2,40.3,38.3,40.1,42.3,47.9,2.6
Queensland,"Clients (per 10,000 ERP)",All clients,23.6,24.2,24.8,26.1,28,29.6,28.4,29.2,30.6,27.6,25.9,27.3,28.8,32.8,2.6
Western Australia,Clients (number),Males,2466,1767,2032,2236,2548,2491,2416,2516,2415,2141,2038,2310,2417,2643,0.5
Western Australia,Clients (number),Females,6684,5906,6390,7362,8332,8377,8284,8250,8012,7971,8090,8448,9293,9728,2.9
Western Australia,Clients (number),All clients,9150,7673,8422,9598,10880,10868,10700,10766,10427,10112,10128,10758,11710,12371,2.3
Western Australia,Support periods (number),Males,3341,2414,2767,3268,3630,3601,3525,3838,3574,3137,3067,3367,3481,3659,0.7
Western Australia,Support periods (number),Females,9701,9043,9699,11707,13571,13753,13645,14110,13553,13706,14409,14656,15939,16354,4.1
Western Australia,Support periods (number),All clients,13042,11457,12465,14975,17201,17354,17170,17948,17127,16843,17476,18023,19420,20013,3.3
Western Australia,"Clients (per 10,000 ERP)",Males,20.8,14.4,16.2,17.7,20,19.4,18.6,19.2,18.1,15.8,14.8,16.5,16.6,17.7,-1.2
Western Australia,"Clients (per 10,000 ERP)",Females,57.2,49.1,51.8,58.9,65.9,65.8,64.2,63.1,60.3,58.8,58.9,60.6,64.6,65.7,1.1
Western Australia,"Clients (per 10,000 ERP)",All clients,38.9,31.6,33.9,38.1,42.8,42.5,41.4,41.1,39.2,37.3,36.8,38.5,40.5,41.6,0.5
South Australia,Clients (number),Males,1344,1403,1247,1232,1263,1276,1287,1299,1155,1137,1020,1035,986,1032,-2
South Australia,Clients (number),Females,5291,5557,5388,5654,5997,6217,5715,5431,5314,4995,4218,4253,4231,4461,-1.3
South Australia,Clients (number),All clients,6635,6960,6634,6886,7259,7493,7002,6730,6469,6132,5238,5288,5217,5493,-1.4
South Australia,Support periods (number),Males,2169,2302,2261,2123,2193,2191,2187,2262,2081,2214,2108,2017,1941,2061,-0.4
South Australia,Support periods (number),Females,9606,10327,11322,12319,12665,12972,11837,11123,10485,10141,8923,8908,8626,9122,-0.4
South Australia,Support periods (number),All clients,11775,12628,13583,14441,14858,15163,14024,13385,12566,12355,11031,10925,10567,11183,-0.4
