state_territory,data_type,sex,fy_2011-12,fy_2012-13,fy_2013-14,fy_2014-15,fy_2015-16,fy_2016-17,fy_2017-18,fy_2018-19,fy_2019-20,fy_2020-21,fy_2021-22,fy_2022-23,fy_2023-24,fy_2024-25,avg_annual_change_pct__average_annual_change_per_cent_2011_12_to_2024_25
National,Clients (number),Males,13572,13544,13688,13810,14616,14769,14607,15046,14986,14288,11986,12133,12232,12556,-0.6
National,Clients (number),Females,9481,9024,9603,10440,11945,12460,12551,12928,13473,12956,11447,11374,11847,12004,1.8
National,Clients (number),All clients,23053,22568,23291,24251,26562,27229,27158,27974,28459,27244,23433,23507,24079,24560,0.5
National,Support periods (number),Males,32964,38955,36249,36536,41071,41590,41442,40694,42663,43088,34341,33900,32373,33205,0.1
National,Support periods (number),Females,21794,23498,25273,28464,34725,37105,38744,39794,41357,42545,35156,34657,34454,34253,3.5
National,Support periods (number),All clients,54758,62453,61521,65000,75796,78695,80186,80488,84020,85633,69497,68557,66827,67458,1.6
National,"Clients (per 10,000 ERP)",Males,14.1,13.8,13.7,13.7,14.3,14.2,13.8,14,13.7,12.9,10.8,10.7,10.5,10.5,-2.2
National,"Clients (per 10,000 ERP)",Females,9.6,9,9.4,10.1,11.4,11.7,11.6,11.7,12,11.4,10,9.8,10,9.9,0.2
National,"Clients (per 10,000 ERP)",All clients,11.8,11.4,11.6,11.9,12.8,12.9,12.7,12.8,12.8,12.1,10.4,10.3,10.2,10.2,-1.1
National,Clients (proportion of male SHS clients),Males,14,13.4,13.1,13.3,12.9,12.8,12.9,12.9,12.9,12.9,11.1,10.9,10.8,10.9,. .
National,Clients (proportion of female SHS clients),Females,6.8,6.3,6.4,6.9,7.2,7.2,7.1,7.4,7.7,7.7,7,7,7.1,6.9,. .
National,Clients (proportion of all SHS clients),All clients,9.8,9.2,9.2,9.5,9.5,9.4,9.4,9.6,9.8,9.8,8.6,8.6,8.6,8.5,. .
New South Wales,Clients (number),Males,4726,4756,4600,3913,4536,4864,4477,4597,3996,3682,3019,3099,3176,3170,-3
New South Wales,Clients (number),Females,2971,2845,2907,2855,3745,3932,3688,3736,3697,3558,3133,3110,3088,3291,0.8
New South Wales,Clients (number),All clients,7697,7601,7507,6768,8281,8797,8165,8333,7693,7240,6152,6209,6264,6461,-1.3
New South Wales,Support periods (number),Males,9862,11532,9124,7132,9845,10570,10764,9593,7867,6849,5542,5985,5979,5934,-3.8
New South Wales,Support periods (number),Females,5474,5246,4898,4836,7721,8137,8211,7993,7680,7250,6308,6676,6483,6597,1.4
New South Wales,Support periods (number),All clients,15335,16778,14022,11968,17565,18707,18975,17586,15547,14099,11850,12661,12462,12531,-1.5
New South Wales,"Clients (per 10,000 ERP)",Males,15.2,15.1,14.4,12.1,13.9,14.6,13.2,13.4,11.5,10.5,8.6,8.7,8.7,8.5,-4.4
New South Wales,"Clients (per 10,000 ERP)",Females,9.3,8.8,8.9,8.6,11.1,11.5,10.6,10.6,10.4,9.9,8.7,8.6,8.3,8.7,-0.5
New South Wales,"Clients (per 10,000 ERP)",All clients,12.2,11.9,11.6,10.4,12.5,13.1,11.9,12,10.9,10.2,8.7,8.6,8.5,8.6,-2.7
Victoria,Clients (number),Males,3706,4005,4128,4522,4825,4813,4961,5430,5929,5616,4614,4859,4841,4657,1.8
Victoria,Clients (number),Females,2750,2712,2992,3256,3683,3787,3990,4214,4592,4356,3907,3815,3779,3567,2
Victoria,Clients (number),All clients,6456,6717,7120,7778,8508,8600,8951,9644,10521,9972,8521,8674,8620,8224,1.9
Victoria,Support periods (number),Males,11514,15915,15982,17168,18913,18996,19017,20162,23938,25492,19114,18617,17089,17525,3.3
Victoria,Support periods (number),Females,8768,10944,12121,13761,16183,17178,18843,19747,21443,22778,17804,16737,16060,15392,4.4
Victoria,Support periods (number),All clients,20283,26859,28103,30929,35096,36174,37860,39909,45381,48270,36918,35354,33149,32917,3.8
Victoria,"Clients (per 10,000 ERP)",Males,15.5,16.4,16.6,17.9,18.7,18.2,18.3,19.6,21,19.6,16.3,17,16.4,15.4,0
Victoria,"Clients (per 10,000 ERP)",Females,11.2,10.8,11.7,12.4,13.8,13.8,14.3,14.8,15.8,14.8,13.4,12.9,12.4,11.4,0.1
Victoria,"Clients (per 10,000 ERP)",All clients,13.3,13.6,14.1,15.1,16.2,16,16.3,17.2,18.4,17.2,14.8,14.9,14.4,13.4,0.1
Queensland,Clients (number),Males,2709,2613,2521,2831,2586,2272,2405,2198,2099,1935,1619,1603,1805,2250,-1.4
Queensland,Clients (number),Females,1366,1295,1427,1793,1721,1674,1813,1731,1801,1712,1503,1534,1761,1900,2.6
