jurisdiction,category,change_2004_05_to_2023_24_pct,notation_key,notation_meaning
Australia,Total (net emissions),-0.23251558561622818,,
Australia,1. Energy,-0.010339290482144025,,
Australia,A. Fuel combustion (sectoral approach),-0.024511381964745428,,
Australia,1.  Energy industries,-0.13314856012162687,,
Australia,2.  Manufacturing industries and construction,-0.03175862777792575,,
Australia,3.  Transport,0.22696059925699863,,
Australia,4.  Other sectors,0.11071949221310748,,
Australia,5.  Other,0.6100205674130743,,
Australia,B. Fugitive emissions from fuels,0.10934745926974325,,
Australia,1.  Solid fuels,-0.19540406831431528,,
Australia,2.  Oil and natural gas and other emissions from energy production,0.9321060385582058,,
Australia,C. CO₂ transport and storage,,NA,Not applicable
Australia,2.  Industrial Processes,0.023770580767083993,,
Australia,A.  Mineral industry,-0.200474561478517,,
Australia,B.  Chemical industry,-0.2058990225144592,,
Australia,C.  Metal industry,-0.2950104625292648,,
Australia,D.  Non-energy products from fuels and solvent use,-0.31027472527472516,,
Australia,E.  Electronic industry,,NA,Not applicable
Australia,F.  Product uses as ODS substitutes,2.00368868945037,,
Australia,G.  Other product manufacture and use,-0.5237080652534415,,
Australia,H.  Other,0.18533378345301904,,
Australia,3.  Agriculture,-0.08532834856726164,,
Australia,A.  Enteric fermentation,-0.11383225550577884,,
Australia,B.  Manure management,-0.053719245009561295,,
Australia,C.  Rice cultivation,-0.15972840380206754,,
Australia,D.  Agricultural soils,-0.021297947209470095,,
Australia,E.  Prescribed burning of savannas,,NA,Not applicable
Australia,F.  Field burning of agricultural residues,0.2463373950030347,,
Australia,G. Liming,0.5026769485908533,,
Australia,H. Urea application,0.3934825562200587,,
Australia,I.  Other carbon-containing fertilizers,,NA,Not applicable
Australia,J.  Other,,NA,Not applicable
Australia,"4. Land Use, Land-Use Change and Forestry",-1.6786780683679299,,
Australia,A. Forest Land,-0.7617799983742611,,
Australia,1.  Forest land remaining forest land,-0.2572329063721883,,
Australia,2.  Land converted to forest land,-1.2206272309490938,,
Australia,B. Cropland,-1.6740104362681776,,
Australia,1.  Cropland remaining cropland,-2.3690784506853864,,
Australia,2.  Land converted to cropland,-0.6053464194758138,,
Australia,C. Grassland,-0.8596770194363017,,
Australia,1.  Grassland remaining grassland,-1.15440899833382,,
Australia,2.  Land converted to grassland,-0.7951090529422017,,
Australia,D. Wetland,-0.11973549198098886,,
Australia,1.  Wetland remaining wetland,-0.2326714364238081,,
Australia,2.  Land converted to wetland,0.014476631343516044,,
Australia,E. Settlements,-0.8319665596422643,,
