jurisdiction,category,financial_year,financial_year_start,emissions_gg_co2e,notation_key,notation_meaning
SA,Total (net emissions),1989-90,1989,36606.52060196303,,
SA,Total (net emissions),1990-91,1990,31319.44700708414,,
SA,Total (net emissions),1991-92,1991,31935.621479715162,,
SA,Total (net emissions),1992-93,1992,31703.391353394167,,
SA,Total (net emissions),1993-94,1993,29677.352981944965,,
SA,Total (net emissions),1994-95,1994,30139.046614202976,,
SA,Total (net emissions),1995-96,1995,29138.63583144595,,
SA,Total (net emissions),1996-97,1996,27787.801923065395,,
SA,Total (net emissions),1997-98,1997,29645.776465272374,,
SA,Total (net emissions),1998-99,1998,32574.105625748085,,
SA,Total (net emissions),1999-00,1999,30743.8895410828,,
SA,Total (net emissions),2000-01,2000,33421.53303601202,,
SA,Total (net emissions),2001-02,2001,34587.41176460671,,
SA,Total (net emissions),2002-03,2002,34669.53066957098,,
SA,Total (net emissions),2003-04,2003,34646.08134266027,,
SA,Total (net emissions),2004-05,2004,35858.25637086609,,
SA,Total (net emissions),2005-06,2005,34400.03887150477,,
SA,Total (net emissions),2006-07,2006,32796.32758111355,,
SA,Total (net emissions),2007-08,2007,33674.46397177161,,
SA,Total (net emissions),2008-09,2008,29817.7815212991,,
SA,Total (net emissions),2009-10,2009,28455.737689506437,,
SA,Total (net emissions),2010-11,2010,23758.65207836536,,
SA,Total (net emissions),2011-12,2011,25390.837829801916,,
SA,Total (net emissions),2012-13,2012,26086.821925087486,,
SA,Total (net emissions),2013-14,2013,24325.5283628005,,
SA,Total (net emissions),2014-15,2014,26289.584093726382,,
SA,Total (net emissions),2015-16,2015,21749.70199150679,,
SA,Total (net emissions),2016-17,2016,22299.61016863172,,
SA,Total (net emissions),2017-18,2017,24702.285946025546,,
SA,Total (net emissions),2018-19,2018,22336.664521947067,,
SA,Total (net emissions),2019-20,2019,23913.71592748166,,
SA,Total (net emissions),2020-21,2020,20785.5264694859,,
SA,Total (net emissions),2021-22,2021,17043.549664122664,,
SA,Total (net emissions),2022-23,2022,18806.183874098344,,
SA,Total (net emissions),2023-24,2023,21530.365972719996,,
SA,1. Energy,1989-90,1989,21173.89225769326,,
SA,1. Energy,1990-91,1990,19467.455618470118,,
SA,1. Energy,1991-92,1991,20678.10380574593,,
SA,1. Energy,1992-93,1992,20606.281550907035,,
SA,1. Energy,1993-94,1993,20487.924439228278,,
SA,1. Energy,1994-95,1994,20575.669150676313,,
SA,1. Energy,1995-96,1995,19591.04890087121,,
SA,1. Energy,1996-97,1996,20386.9560600314,,
SA,1. Energy,1997-98,1997,21528.13295496326,,
SA,1. Energy,1998-99,1998,21961.706711054,,
SA,1. Energy,1999-00,1999,22329.692989851734,,
SA,1. Energy,2000-01,2000,22711.087605475073,,
SA,1. Energy,2001-02,2001,23133.662465399597,,
SA,1. Energy,2002-03,2002,24117.62941911216,,
SA,1. Energy,2003-04,2003,23270.900914509035,,
SA,1. Energy,2004-05,2004,23695.297093719506,,
SA,1. Energy,2005-06,2005,23371.637532685076,,
SA,1. Energy,2006-07,2006,24378.28658311744,,
SA,1. Energy,2007-08,2007,24776.037484081564,,
SA,1. Energy,2008-09,2008,23300.469409992635,,
SA,1. Energy,2009-10,2009,23047.572801673094,,
SA,1. Energy,2010-11,2010,21644.338232597787,,
SA,1. Energy,2011-12,2011,20446.58105971304,,
SA,1. Energy,2012-13,2012,20327.726786637428,,
SA,1. Energy,2013-14,2013,19387.126494091306,,
SA,1. Energy,2014-15,2014,19343.364845830944,,
SA,1. Energy,2015-16,2015,19601.93337878946,,
SA,1. Energy,2016-17,2016,17653.21404634191,,
SA,1. Energy,2017-18,2017,17694.06108442303,,
SA,1. Energy,2018-19,2018,17160.006930743315,,
SA,1. Energy,2019-20,2019,16753.68914571401,,
SA,1. Energy,2020-21,2020,16263.846774341724,,
SA,1. Energy,2021-22,2021,15618.697901376821,,
SA,1. Energy,2022-23,2022,15463.447803384086,,
SA,1. Energy,2023-24,2023,15420.303726274404,,
SA,A. Fuel combustion (sectoral approach),1989-90,1989,16774.590571555786,,
SA,A. Fuel combustion (sectoral approach),1990-91,1990,15473.789415650213,,
SA,A. Fuel combustion (sectoral approach),1991-92,1991,16400.33676782154,,
SA,A. Fuel combustion (sectoral approach),1992-93,1992,16651.549437818703,,
SA,A. Fuel combustion (sectoral approach),1993-94,1993,16390.22875178218,,
SA,A. Fuel combustion (sectoral approach),1994-95,1994,16273.606516136928,,
SA,A. Fuel combustion (sectoral approach),1995-96,1995,15479.55652755938,,
SA,A. Fuel combustion (sectoral approach),1996-97,1996,16085.873811106327,,
SA,A. Fuel combustion (sectoral approach),1997-98,1997,16444.883325955732,,
SA,A. Fuel combustion (sectoral approach),1998-99,1998,17516.78680742754,,
SA,A. Fuel combustion (sectoral approach),1999-00,1999,17677.3195699089,,
SA,A. Fuel combustion (sectoral approach),2000-01,2000,18037.4186770638,,
SA,A. Fuel combustion (sectoral approach),2001-02,2001,18490.829312295056,,
SA,A. Fuel combustion (sectoral approach),2002-03,2002,19747.109425357285,,
SA,A. Fuel combustion (sectoral approach),2003-04,2003,19459.184231676925,,
SA,A. Fuel combustion (sectoral approach),2004-05,2004,19999.027326694384,,
SA,A. Fuel combustion (sectoral approach),2005-06,2005,19838.155178742083,,
SA,A. Fuel combustion (sectoral approach),2006-07,2006,20884.15321281934,,
SA,A. Fuel combustion (sectoral approach),2007-08,2007,21206.391701980145,,
SA,A. Fuel combustion (sectoral approach),2008-09,2008,21104.974982578315,,
SA,A. Fuel combustion (sectoral approach),2009-10,2009,20653.495800194443,,
SA,A. Fuel combustion (sectoral approach),2010-11,2010,19399.358984739014,,
SA,A. Fuel combustion (sectoral approach),2011-12,2011,18378.650388215097,,
SA,A. Fuel combustion (sectoral approach),2012-13,2012,17908.458594761985,,
SA,A. Fuel combustion (sectoral approach),2013-14,2013,16827.029954495363,,
SA,A. Fuel combustion (sectoral approach),2014-15,2014,16920.103323691266,,
SA,A. Fuel combustion (sectoral approach),2015-16,2015,17181.735604503592,,
SA,A. Fuel combustion (sectoral approach),2016-17,2016,15127.906230859531,,
SA,A. Fuel combustion (sectoral approach),2017-18,2017,15246.498795473939,,
SA,A. Fuel combustion (sectoral approach),2018-19,2018,14733.02137565632,,
SA,A. Fuel combustion (sectoral approach),2019-20,2019,14297.411921205285,,
SA,A. Fuel combustion (sectoral approach),2020-21,2020,13855.415422384373,,
SA,A. Fuel combustion (sectoral approach),2021-22,2021,13418.200514104778,,
SA,A. Fuel combustion (sectoral approach),2022-23,2022,13305.948940182172,,
SA,A. Fuel combustion (sectoral approach),2023-24,2023,13272.519774634124,,
SA,1.  Energy industries,1989-90,1989,8176.489419701722,,
SA,1.  Energy industries,1990-91,1990,7048.389031418609,,
SA,1.  Energy industries,1991-92,1991,7771.670519663888,,
SA,1.  Energy industries,1992-93,1992,7844.990977496696,,
SA,1.  Energy industries,1993-94,1993,7583.890789245619,,
SA,1.  Energy industries,1994-95,1994,7241.36825823004,,
SA,1.  Energy industries,1995-96,1995,6410.507164261704,,
SA,1.  Energy industries,1996-97,1996,6974.643598115367,,
SA,1.  Energy industries,1997-98,1997,7300.760927294731,,
SA,1.  Energy industries,1998-99,1998,8281.766399877017,,
SA,1.  Energy industries,1999-00,1999,8387.269560576176,,
SA,1.  Energy industries,2000-01,2000,8921.167854256611,,
SA,1.  Energy industries,2001-02,2001,9190.487817297131,,
SA,1.  Energy industries,2002-03,2002,10157.358992940512,,
SA,1.  Energy industries,2003-04,2003,9687.896757742055,,
SA,1.  Energy industries,2004-05,2004,9939.926350898842,,
SA,1.  Energy industries,2005-06,2005,9609.178051382449,,
SA,1.  Energy industries,2006-07,2006,10766.8152156823,,
SA,1.  Energy industries,2007-08,2007,10779.064855957222,,
SA,1.  Energy industries,2008-09,2008,10604.610892745302,,
SA,1.  Energy industries,2009-10,2009,10312.00790771431,,
SA,1.  Energy industries,2010-11,2010,9067.71661282285,,
SA,1.  Energy industries,2011-12,2011,7991.5830530985895,,
SA,1.  Energy industries,2012-13,2012,7158.514015191452,,
SA,1.  Energy industries,2013-14,2013,6433.718787093173,,
SA,1.  Energy industries,2014-15,2014,6687.146984533815,,
SA,1.  Energy industries,2015-16,2015,7025.723464562984,,
SA,1.  Energy industries,2016-17,2016,4886.107986502487,,
SA,1.  Energy industries,2017-18,2017,4732.164019009995,,
SA,1.  Energy industries,2018-19,2018,4530.52098063803,,
SA,1.  Energy industries,2019-20,2019,4386.069644735974,,
SA,1.  Energy industries,2020-21,2020,3852.0379652956512,,
SA,1.  Energy industries,2021-22,2021,3133.7237384327727,,
SA,1.  Energy industries,2022-23,2022,2947.778649037049,,
SA,1.  Energy industries,2023-24,2023,2850.2402632034286,,
SA,2.  Manufacturing industries and construction,1989-90,1989,2006.208270565906,,
SA,2.  Manufacturing industries and construction,1990-91,1990,1942.1454944099619,,
SA,2.  Manufacturing industries and construction,1991-92,1991,2063.7684550365375,,
SA,2.  Manufacturing industries and construction,1992-93,1992,2066.8319023676554,,
SA,2.  Manufacturing industries and construction,1993-94,1993,2021.7863864933886,,
SA,2.  Manufacturing industries and construction,1994-95,1994,2099.931086963118,,
SA,2.  Manufacturing industries and construction,1995-96,1995,2077.1988811059596,,
SA,2.  Manufacturing industries and construction,1996-97,1996,2015.98900888308,,
SA,2.  Manufacturing industries and construction,1997-98,1997,1976.001940230107,,
SA,2.  Manufacturing industries and construction,1998-99,1998,1970.6645508974066,,
SA,2.  Manufacturing industries and construction,1999-00,1999,1974.2080323230423,,
SA,2.  Manufacturing industries and construction,2000-01,2000,1966.8893190808478,,
SA,2.  Manufacturing industries and construction,2001-02,2001,2049.8554167155494,,
SA,2.  Manufacturing industries and construction,2002-03,2002,1961.3295845133684,,
SA,2.  Manufacturing industries and construction,2003-04,2003,2071.713585863271,,
SA,2.  Manufacturing industries and construction,2004-05,2004,2326.0208210914006,,
SA,2.  Manufacturing industries and construction,2005-06,2005,2340.8454522599254,,
SA,2.  Manufacturing industries and construction,2006-07,2006,2194.9310917816183,,
SA,2.  Manufacturing industries and construction,2007-08,2007,2384.44579726901,,
SA,2.  Manufacturing industries and construction,2008-09,2008,2511.612291104454,,
SA,2.  Manufacturing industries and construction,2009-10,2009,2340.0338746627685,,
SA,2.  Manufacturing industries and construction,2010-11,2010,2378.9272138203437,,
SA,2.  Manufacturing industries and construction,2011-12,2011,2544.726448420524,,
SA,2.  Manufacturing industries and construction,2012-13,2012,2752.6843902267547,,
SA,2.  Manufacturing industries and construction,2013-14,2013,2731.782423865765,,
SA,2.  Manufacturing industries and construction,2014-15,2014,2484.7034615686894,,
SA,2.  Manufacturing industries and construction,2015-16,2015,2311.15019728621,,
SA,2.  Manufacturing industries and construction,2016-17,2016,2295.9855532150395,,
SA,2.  Manufacturing industries and construction,2017-18,2017,2269.8559778569274,,
SA,2.  Manufacturing industries and construction,2018-19,2018,2327.626322211255,,
SA,2.  Manufacturing industries and construction,2019-20,2019,2181.4761344644394,,
SA,2.  Manufacturing industries and construction,2020-21,2020,2296.3873285448512,,
SA,2.  Manufacturing industries and construction,2021-22,2021,2384.8465190759334,,
SA,2.  Manufacturing industries and construction,2022-23,2022,2321.779790175591,,
SA,2.  Manufacturing industries and construction,2023-24,2023,2299.119368019078,,
SA,3.  Transport,1989-90,1989,5294.839357595304,,
SA,3.  Transport,1990-91,1990,5164.408060560148,,
SA,3.  Transport,1991-92,1991,5201.878554617698,,
SA,3.  Transport,1992-93,1992,5334.9061485223,,
SA,3.  Transport,1993-94,1993,5384.873157113665,,
SA,3.  Transport,1994-95,1994,5483.9599661620305,,
SA,3.  Transport,1995-96,1995,5522.142592832004,,
SA,3.  Transport,1996-97,1996,5606.19076577796,,
SA,3.  Transport,1997-98,1997,5662.413133668131,,
SA,3.  Transport,1998-99,1998,5737.681010445012,,
SA,3.  Transport,1999-00,1999,5770.701599007955,,
SA,3.  Transport,2000-01,2000,5557.340471012732,,
SA,3.  Transport,2001-02,2001,5625.641278372728,,
SA,3.  Transport,2002-03,2002,5916.399638803532,,
SA,3.  Transport,2003-04,2003,6069.580266024108,,
SA,3.  Transport,2004-05,2004,6013.152575416339,,
SA,3.  Transport,2005-06,2005,6129.066355083687,,
SA,3.  Transport,2006-07,2006,6177.457274747276,,
SA,3.  Transport,2007-08,2007,6245.371401881467,,
SA,3.  Transport,2008-09,2008,6280.428145381295,,
SA,3.  Transport,2009-10,2009,6348.260361974518,,
SA,3.  Transport,2010-11,2010,6426.477056725869,,
SA,3.  Transport,2011-12,2011,6259.409470012681,,
SA,3.  Transport,2012-13,2012,6405.191494228686,,
SA,3.  Transport,2013-14,2013,6305.93565013167,,
SA,3.  Transport,2014-15,2014,6373.743094195834,,
SA,3.  Transport,2015-16,2015,6446.675492981772,,
SA,3.  Transport,2016-17,2016,6481.281904181313,,
SA,3.  Transport,2017-18,2017,6793.650535315988,,
SA,3.  Transport,2018-19,2018,6491.808959598056,,
SA,3.  Transport,2019-20,2019,6311.820209482263,,
SA,3.  Transport,2020-21,2020,6078.199447120741,,
SA,3.  Transport,2021-22,2021,6258.624712985231,,
SA,3.  Transport,2022-23,2022,6525.999842828278,,
SA,3.  Transport,2023-24,2023,6602.584883970695,,
SA,4.  Other sectors,1989-90,1989,1297.0535236928474,,
SA,4.  Other sectors,1990-91,1990,1318.8468292614932,,
SA,4.  Other sectors,1991-92,1991,1363.0192385034159,,
SA,4.  Other sectors,1992-93,1992,1404.8204094320467,,
SA,4.  Other sectors,1993-94,1993,1399.6784189295067,,
SA,4.  Other sectors,1994-95,1994,1448.3472047817436,,
SA,4.  Other sectors,1995-96,1995,1469.7078893597063,,
SA,4.  Other sectors,1996-97,1996,1489.0504383299217,,
SA,4.  Other sectors,1997-98,1997,1505.7073247627636,,
SA,4.  Other sectors,1998-99,1998,1526.6748462081025,,
SA,4.  Other sectors,1999-00,1999,1545.1403780017233,,
SA,4.  Other sectors,2000-01,2000,1592.02103271361,,
SA,4.  Other sectors,2001-02,2001,1624.844799909647,,
SA,4.  Other sectors,2002-03,2002,1712.0212090998693,,
SA,4.  Other sectors,2003-04,2003,1629.9936220474885,,
