table,section,category,subcategory,unit,financial_year,state,measure,value
Table 1,,Gross value added,,$ million – basic prices,2016-17,NSW,LEVEL,12910.8985
Table 1,,Gross value added,,$ million – basic prices,2016-17,Vic,,9975.2992
Table 1,,Gross value added,,$ million – basic prices,2016-17,Qld,,9567.0472
Table 1,,Gross value added,,$ million – basic prices,2016-17,SA,,2574.0678
Table 1,,Gross value added,,$ million – basic prices,2016-17,WA,,4904.7644
Table 1,,Gross value added,,$ million – basic prices,2016-17,Tas,,1267.193
Table 1,,Gross value added,,$ million – basic prices,2016-17,NT,,935.1637
Table 1,,Gross value added,,$ million – basic prices,2016-17,ACT,,880.5671
Table 1,,Gross value added,,$ million – basic prices,2016-17,Total(a),,43015.0008
Table 1,,Gross value added,,$ million – basic prices,2017-18,NSW,LEVEL,14603.7979
Table 1,,Gross value added,,$ million – basic prices,2017-18,Vic,,10715.883
Table 1,,Gross value added,,$ million – basic prices,2017-18,Qld,,10765.7039
Table 1,,Gross value added,,$ million – basic prices,2017-18,SA,,2703.6086
Table 1,,Gross value added,,$ million – basic prices,2017-18,WA,,4316.0424
Table 1,,Gross value added,,$ million – basic prices,2017-18,Tas,,1288.6361
Table 1,,Gross value added,,$ million – basic prices,2017-18,NT,,849.8305
Table 1,,Gross value added,,$ million – basic prices,2017-18,ACT,,1063.4977
Table 1,,Gross value added,,$ million – basic prices,2017-18,Total(a),,46307.0001
Table 1,,Gross value added,,$ million – basic prices,2018-19,NSW,LEVEL,15676.0637
Table 1,,Gross value added,,$ million – basic prices,2018-19,Vic,,12373.9363
Table 1,,Gross value added,,$ million – basic prices,2018-19,Qld,,11660.6655
Table 1,,Gross value added,,$ million – basic prices,2018-19,SA,,3041.9602
Table 1,,Gross value added,,$ million – basic prices,2018-19,WA,,5125.0256
Table 1,,Gross value added,,$ million – basic prices,2018-19,Tas,,1493.4173
Table 1,,Gross value added,,$ million – basic prices,2018-19,NT,,960.3852
Table 1,,Gross value added,,$ million – basic prices,2018-19,ACT,,1056.5441
Table 1,,Gross value added,,$ million – basic prices,2018-19,Total(a),,51387.9979
Table 1,,Gross value added,,$ million – basic prices,2019-20,NSW,LEVEL,12517.7258
Table 1,,Gross value added,,$ million – basic prices,2019-20,Vic,,9857.9459
Table 1,,Gross value added,,$ million – basic prices,2019-20,Qld,,9423.9823
Table 1,,Gross value added,,$ million – basic prices,2019-20,SA,,2616.6021
Table 1,,Gross value added,,$ million – basic prices,2019-20,WA,,4456.1675
Table 1,,Gross value added,,$ million – basic prices,2019-20,Tas,,1257.9659
Table 1,,Gross value added,,$ million – basic prices,2019-20,NT,,703.8655
Table 1,,Gross value added,,$ million – basic prices,2019-20,ACT,,769.7457
Table 1,,Gross value added,,$ million – basic prices,2019-20,Total(a),,41604.0007
Table 1,,Gross value added,,$ million – basic prices,2020-21,NSW,LEVEL,8314.2508
Table 1,,Gross value added,,$ million – basic prices,2020-21,Vic,,4433.9504
Table 1,,Gross value added,,$ million – basic prices,2020-21,Qld,,6611.9879
Table 1,,Gross value added,,$ million – basic prices,2020-21,SA,,2020.7441
Table 1,,Gross value added,,$ million – basic prices,2020-21,WA,,2923.5639
Table 1,,Gross value added,,$ million – basic prices,2020-21,Tas,,898.4318
Table 1,,Gross value added,,$ million – basic prices,2020-21,NT,,491.4015
Table 1,,Gross value added,,$ million – basic prices,2020-21,ACT,,479.6703
Table 1,,Gross value added,,$ million – basic prices,2020-21,Total(a),,26174.0007
Table 1,,Gross value added,,$ million – basic prices,2021-22,NSW,LEVEL,8481.5146
Table 1,,Gross value added,,$ million – basic prices,2021-22,Vic,,6661.5669
Table 1,,Gross value added,,$ million – basic prices,2021-22,Qld,,8351.7172
Table 1,,Gross value added,,$ million – basic prices,2021-22,SA,,2060.9687
Table 1,,Gross value added,,$ million – basic prices,2021-22,WA,,3465.5228
Table 1,,Gross value added,,$ million – basic prices,2021-22,Tas,,1068.8793
Table 1,,Gross value added,,$ million – basic prices,2021-22,NT,,667.1468
Table 1,,Gross value added,,$ million – basic prices,2021-22,ACT,,585.6838
Table 1,,Gross value added,,$ million – basic prices,2021-22,Total(a),,31343.0001
Table 1,,Gross value added,,$ million – basic prices,2022-23,NSW,LEVEL,17746.2458
Table 1,,Gross value added,,$ million – basic prices,2022-23,Vic,,13230.3061
Table 1,,Gross value added,,$ million – basic prices,2022-23,Qld,,14680.2368
Table 1,,Gross value added,,$ million – basic prices,2022-23,SA,,3669.5313
Table 1,,Gross value added,,$ million – basic prices,2022-23,WA,,6133.7454
Table 1,,Gross value added,,$ million – basic prices,2022-23,Tas,,1648.2912
Table 1,,Gross value added,,$ million – basic prices,2022-23,NT,,1108.3204
Table 1,,Gross value added,,$ million – basic prices,2022-23,ACT,,1257.3218
Table 1,,Gross value added,,$ million – basic prices,2022-23,Total(a),,59473.9987
Table 1,,Gross value added,,$ million – basic prices,2023-24,NSW,LEVEL,20193.1932
Table 1,,Gross value added,,$ million – basic prices,2023-24,Vic,,15201.8666
Table 1,,Gross value added,,$ million – basic prices,2023-24,Qld,,15663.1675
Table 1,,Gross value added,,$ million – basic prices,2023-24,SA,,3771.941
Table 1,,Gross value added,,$ million – basic prices,2023-24,WA,,6602.6978
Table 1,,Gross value added,,$ million – basic prices,2023-24,Tas,,1892.9597
Table 1,,Gross value added,,$ million – basic prices,2023-24,NT,,1214.9593
Table 1,,Gross value added,,$ million – basic prices,2023-24,ACT,,1341.2159
Table 1,,Gross value added,,$ million – basic prices,2023-24,Total(a),,65882.001
Table 1,,Net taxes on products,,$ million – basic prices,2016-17,NSW,LEVEL,2179.6699
Table 1,,Net taxes on products,,$ million – basic prices,2016-17,Vic,,1668.642
Table 1,,Net taxes on products,,$ million – basic prices,2016-17,Qld,,1686.7983
Table 1,,Net taxes on products,,$ million – basic prices,2016-17,SA,,414.5801
Table 1,,Net taxes on products,,$ million – basic prices,2016-17,WA,,841.6028
Table 1,,Net taxes on products,,$ million – basic prices,2016-17,Tas,,224.1081
Table 1,,Net taxes on products,,$ million – basic prices,2016-17,NT,,171.9445
Table 1,,Net taxes on products,,$ million – basic prices,2016-17,ACT,,143.6548
Table 1,,Net taxes on products,,$ million – basic prices,2016-17,Total(a),,7331.0006
Table 1,,Net taxes on products,,$ million – basic prices,2017-18,NSW,LEVEL,2526.7722
Table 1,,Net taxes on products,,$ million – basic prices,2017-18,Vic,,1810.2664
Table 1,,Net taxes on products,,$ million – basic prices,2017-18,Qld,,1903.2666
Table 1,,Net taxes on products,,$ million – basic prices,2017-18,SA,,438.3766
Table 1,,Net taxes on products,,$ million – basic prices,2017-18,WA,,743.8843
Table 1,,Net taxes on products,,$ million – basic prices,2017-18,Tas,,232.2635
Table 1,,Net taxes on products,,$ million – basic prices,2017-18,NT,,157.4743
Table 1,,Net taxes on products,,$ million – basic prices,2017-18,ACT,,175.6964
Table 1,,Net taxes on products,,$ million – basic prices,2017-18,Total(a),,7988.0003
Table 1,,Net taxes on products,,$ million – basic prices,2018-19,NSW,LEVEL,2727.304
Table 1,,Net taxes on products,,$ million – basic prices,2018-19,Vic,,2100.615
Table 1,,Net taxes on products,,$ million – basic prices,2018-19,Qld,,2088.2888
Table 1,,Net taxes on products,,$ million – basic prices,2018-19,SA,,504.6684
Table 1,,Net taxes on products,,$ million – basic prices,2018-19,WA,,904.1414
Table 1,,Net taxes on products,,$ million – basic prices,2018-19,Tas,,280.6594
Table 1,,Net taxes on products,,$ million – basic prices,2018-19,NT,,172.9292
Table 1,,Net taxes on products,,$ million – basic prices,2018-19,ACT,,174.3941
Table 1,,Net taxes on products,,$ million – basic prices,2018-19,Total(a),,8953.0002
Table 1,,Net taxes on products,,$ million – basic prices,2019-20,NSW,LEVEL,2044.3687
Table 1,,Net taxes on products,,$ million – basic prices,2019-20,Vic,,1559.7261
Table 1,,Net taxes on products,,$ million – basic prices,2019-20,Qld,,1587.9736
Table 1,,Net taxes on products,,$ million – basic prices,2019-20,SA,,414.7673
Table 1,,Net taxes on products,,$ million – basic prices,2019-20,WA,,733.2806
Table 1,,Net taxes on products,,$ million – basic prices,2019-20,Tas,,211.7205
Table 1,,Net taxes on products,,$ million – basic prices,2019-20,NT,,128.9696
Table 1,,Net taxes on products,,$ million – basic prices,2019-20,ACT,,120.1935
Table 1,,Net taxes on products,,$ million – basic prices,2019-20,Total(a),,6800.9999
Table 1,,Net taxes on products,,$ million – basic prices,2020-21,NSW,LEVEL,1487.7004
Table 1,,Net taxes on products,,$ million – basic prices,2020-21,Vic,,750.031
Table 1,,Net taxes on products,,$ million – basic prices,2020-21,Qld,,1235.6372
Table 1,,Net taxes on products,,$ million – basic prices,2020-21,SA,,357.1576
Table 1,,Net taxes on products,,$ million – basic prices,2020-21,WA,,517.8698
Table 1,,Net taxes on products,,$ million – basic prices,2020-21,Tas,,168.0721
Table 1,,Net taxes on products,,$ million – basic prices,2020-21,NT,,95.1449
Table 1,,Net taxes on products,,$ million – basic prices,2020-21,ACT,,85.3869
Table 1,,Net taxes on products,,$ million – basic prices,2020-21,Total(a),,4696.9999
Table 1,,Net taxes on products,,$ million – basic prices,2021-22,NSW,LEVEL,1592.0199
Table 1,,Net taxes on products,,$ million – basic prices,2021-22,Vic,,1274.1501
Table 1,,Net taxes on products,,$ million – basic prices,2021-22,Qld,,1739.9612
Table 1,,Net taxes on products,,$ million – basic prices,2021-22,SA,,391.7195
Table 1,,Net taxes on products,,$ million – basic prices,2021-22,WA,,712.7643
Table 1,,Net taxes on products,,$ million – basic prices,2021-22,Tas,,222.047
Table 1,,Net taxes on products,,$ million – basic prices,2021-22,NT,,145.0129
Table 1,,Net taxes on products,,$ million – basic prices,2021-22,ACT,,107.3249
Table 1,,Net taxes on products,,$ million – basic prices,2021-22,Total(a),,6184.9998
Table 1,,Net taxes on products,,$ million – basic prices,2022-23,NSW,LEVEL,3534.2268
Table 1,,Net taxes on products,,$ million – basic prices,2022-23,Vic,,2711.6919
Table 1,,Net taxes on products,,$ million – basic prices,2022-23,Qld,,3102.9492
Table 1,,Net taxes on products,,$ million – basic prices,2022-23,SA,,712.4197
Table 1,,Net taxes on products,,$ million – basic prices,2022-23,WA,,1247.2142
Table 1,,Net taxes on products,,$ million – basic prices,2022-23,Tas,,350.4766
Table 1,,Net taxes on products,,$ million – basic prices,2022-23,NT,,243.8162
Table 1,,Net taxes on products,,$ million – basic prices,2022-23,ACT,,242.2052
Table 1,,Net taxes on products,,$ million – basic prices,2022-23,Total(a),,12144.9998
Table 1,,Net taxes on products,,$ million – basic prices,2023-24,NSW,LEVEL,3670.9771
Table 1,,Net taxes on products,,$ million – basic prices,2023-24,Vic,,2777.1846
Table 1,,Net taxes on products,,$ million – basic prices,2023-24,Qld,,3051.5667
Table 1,,Net taxes on products,,$ million – basic prices,2023-24,SA,,669.1869
Table 1,,Net taxes on products,,$ million – basic prices,2023-24,WA,,1207.5198
Table 1,,Net taxes on products,,$ million – basic prices,2023-24,Tas,,375.0426
Table 1,,Net taxes on products,,$ million – basic prices,2023-24,NT,,249.1796
Table 1,,Net taxes on products,,$ million – basic prices,2023-24,ACT,,230.3453
Table 1,,Net taxes on products,,$ million – basic prices,2023-24,Total(a),,12231.0025
Table 1,,Total gross state product,,$ million – basic prices,2016-17,NSW,LEVEL,15090.5684
Table 1,,Total gross state product,,$ million – basic prices,2016-17,Vic,,11643.9412
Table 1,,Total gross state product,,$ million – basic prices,2016-17,Qld,,11253.845500000001
Table 1,,Total gross state product,,$ million – basic prices,2016-17,SA,,2988.6479
Table 1,,Total gross state product,,$ million – basic prices,2016-17,WA,,5746.3672
Table 1,,Total gross state product,,$ million – basic prices,2016-17,Tas,,1491.3011
Table 1,,Total gross state product,,$ million – basic prices,2016-17,NT,,1107.1082
Table 1,,Total gross state product,,$ million – basic prices,2016-17,ACT,,1024.2219
Table 1,,Total gross state product,,$ million – basic prices,2016-17,Total(a),,50346.0014
Table 1,,Total gross state product,,$ million – basic prices,2017-18,NSW,LEVEL,17130.5701
Table 1,,Total gross state product,,$ million – basic prices,2017-18,Vic,,12526.1494
Table 1,,Total gross state product,,$ million – basic prices,2017-18,Qld,,12668.9705
Table 1,,Total gross state product,,$ million – basic prices,2017-18,SA,,3141.9852
Table 1,,Total gross state product,,$ million – basic prices,2017-18,WA,,5059.9267
Table 1,,Total gross state product,,$ million – basic prices,2017-18,Tas,,1520.8996
Table 1,,Total gross state product,,$ million – basic prices,2017-18,NT,,1007.3048
Table 1,,Total gross state product,,$ million – basic prices,2017-18,ACT,,1239.1941
Table 1,,Total gross state product,,$ million – basic prices,2017-18,Total(a),,54295.0004
Table 1,,Total gross state product,,$ million – basic prices,2018-19,NSW,LEVEL,18403.367700000003
Table 1,,Total gross state product,,$ million – basic prices,2018-19,Vic,,14474.5513
Table 1,,Total gross state product,,$ million – basic prices,2018-19,Qld,,13748.9543
Table 1,,Total gross state product,,$ million – basic prices,2018-19,SA,,3546.6286
Table 1,,Total gross state product,,$ million – basic prices,2018-19,WA,,6029.1669999999995
Table 1,,Total gross state product,,$ million – basic prices,2018-19,Tas,,1774.0767
Table 1,,Total gross state product,,$ million – basic prices,2018-19,NT,,1133.3144
Table 1,,Total gross state product,,$ million – basic prices,2018-19,ACT,,1230.9382
Table 1,,Total gross state product,,$ million – basic prices,2018-19,Total(a),,60340.998100000004
Table 1,,Total gross state product,,$ million – basic prices,2019-20,NSW,LEVEL,14562.0945
Table 1,,Total gross state product,,$ million – basic prices,2019-20,Vic,,11417.672
Table 1,,Total gross state product,,$ million – basic prices,2019-20,Qld,,11011.955899999999
Table 1,,Total gross state product,,$ million – basic prices,2019-20,SA,,3031.3694
Table 1,,Total gross state product,,$ million – basic prices,2019-20,WA,,5189.4481
Table 1,,Total gross state product,,$ million – basic prices,2019-20,Tas,,1469.6863999999998
Table 1,,Total gross state product,,$ million – basic prices,2019-20,NT,,832.8351
Table 1,,Total gross state product,,$ million – basic prices,2019-20,ACT,,889.9392
Table 1,,Total gross state product,,$ million – basic prices,2019-20,Total(a),,48405.0006
Table 1,,Total gross state product,,$ million – basic prices,2020-21,NSW,LEVEL,9801.9512
Table 1,,Total gross state product,,$ million – basic prices,2020-21,Vic,,5183.9814
Table 1,,Total gross state product,,$ million – basic prices,2020-21,Qld,,7847.6251
Table 1,,Total gross state product,,$ million – basic prices,2020-21,SA,,2377.9017
Table 1,,Total gross state product,,$ million – basic prices,2020-21,WA,,3441.4337
Table 1,,Total gross state product,,$ million – basic prices,2020-21,Tas,,1066.5039
Table 1,,Total gross state product,,$ million – basic prices,2020-21,NT,,586.5464
Table 1,,Total gross state product,,$ million – basic prices,2020-21,ACT,,565.0572
Table 1,,Total gross state product,,$ million – basic prices,2020-21,Total(a),,30871.0006
Table 1,,Total gross state product,,$ million – basic prices,2021-22,NSW,LEVEL,10073.5345
Table 1,,Total gross state product,,$ million – basic prices,2021-22,Vic,,7935.717
Table 1,,Total gross state product,,$ million – basic prices,2021-22,Qld,,10091.678399999999
Table 1,,Total gross state product,,$ million – basic prices,2021-22,SA,,2452.6882
Table 1,,Total gross state product,,$ million – basic prices,2021-22,WA,,4178.2871000000005
Table 1,,Total gross state product,,$ million – basic prices,2021-22,Tas,,1290.9263
Table 1,,Total gross state product,,$ million – basic prices,2021-22,NT,,812.1596999999999
Table 1,,Total gross state product,,$ million – basic prices,2021-22,ACT,,693.0087
Table 1,,Total gross state product,,$ million – basic prices,2021-22,Total(a),,37527.9999
Table 1,,Total gross state product,,$ million – basic prices,2022-23,NSW,LEVEL,21280.4726
Table 1,,Total gross state product,,$ million – basic prices,2022-23,Vic,,15941.998
Table 1,,Total gross state product,,$ million – basic prices,2022-23,Qld,,17783.186
Table 1,,Total gross state product,,$ million – basic prices,2022-23,SA,,4381.951
Table 1,,Total gross state product,,$ million – basic prices,2022-23,WA,,7380.9596
Table 1,,Total gross state product,,$ million – basic prices,2022-23,Tas,,1998.7677999999999
Table 1,,Total gross state product,,$ million – basic prices,2022-23,NT,,1352.1366
Table 1,,Total gross state product,,$ million – basic prices,2022-23,ACT,,1499.527
Table 1,,Total gross state product,,$ million – basic prices,2022-23,Total(a),,71618.9985
Table 1,,Total gross state product,,$ million – basic prices,2023-24,NSW,LEVEL,23864.1703
Table 1,,Total gross state product,,$ million – basic prices,2023-24,Vic,,17979.051199999998
Table 1,,Total gross state product,,$ million – basic prices,2023-24,Qld,,18714.7342
Table 1,,Total gross state product,,$ million – basic prices,2023-24,SA,,4441.1278999999995
Table 1,,Total gross state product,,$ million – basic prices,2023-24,WA,,7810.2176
Table 1,,Total gross state product,,$ million – basic prices,2023-24,Tas,,2268.0023
Table 1,,Total gross state product,,$ million – basic prices,2023-24,NT,,1464.1389
Table 1,,Total gross state product,,$ million – basic prices,2023-24,ACT,,1571.5611999999999
Table 1,,Total gross state product,,$ million – basic prices,2023-24,Total(a),,78113.0035
Table 1,,Filled jobs,,'000,2016-17,NSW,LEVEL,153.215
Table 1,,Filled jobs,,'000,2016-17,Vic,,146.6714
Table 1,,Filled jobs,,'000,2016-17,Qld,,116.8969
Table 1,,Filled jobs,,'000,2016-17,SA,,34.8701
Table 1,,Filled jobs,,'000,2016-17,WA,,63.4938
Table 1,,Filled jobs,,'000,2016-17,Tas,,18.6851
Table 1,,Filled jobs,,'000,2016-17,NT,,7.8503
Table 1,,Filled jobs,,'000,2016-17,ACT,,9.4174
Table 1,,Filled jobs,,'000,2016-17,Total(a),,551.1
Table 1,,Filled jobs,,'000,2017-18,NSW,LEVEL,173.2987
Table 1,,Filled jobs,,'000,2017-18,Vic,,159.6149
Table 1,,Filled jobs,,'000,2017-18,Qld,,130.2107
Table 1,,Filled jobs,,'000,2017-18,SA,,36.287
Table 1,,Filled jobs,,'000,2017-18,WA,,57.1339
Table 1,,Filled jobs,,'000,2017-18,Tas,,18.9156
Table 1,,Filled jobs,,'000,2017-18,NT,,7.0658
Table 1,,Filled jobs,,'000,2017-18,ACT,,10.4735
Table 1,,Filled jobs,,'000,2017-18,Total(a),,593
Table 1,,Filled jobs,,'000,2018-19,NSW,LEVEL,181.8961
Table 1,,Filled jobs,,'000,2018-19,Vic,,171.6289
Table 1,,Filled jobs,,'000,2018-19,Qld,,136.1519
Table 1,,Filled jobs,,'000,2018-19,SA,,38.5908
Table 1,,Filled jobs,,'000,2018-19,WA,,64.456
Table 1,,Filled jobs,,'000,2018-19,Tas,,21.2898
Table 1,,Filled jobs,,'000,2018-19,NT,,7.6239
Table 1,,Filled jobs,,'000,2018-19,ACT,,10.3625
Table 1,,Filled jobs,,'000,2018-19,Total(a),,632
Table 1,,Filled jobs,,'000,2019-20,NSW,LEVEL,152.985
Table 1,,Filled jobs,,'000,2019-20,Vic,,148.1679
Table 1,,Filled jobs,,'000,2019-20,Qld,,119.1188
Table 1,,Filled jobs,,'000,2019-20,SA,,35.9667
Table 1,,Filled jobs,,'000,2019-20,WA,,59.5348
Table 1,,Filled jobs,,'000,2019-20,Tas,,18.2627
Table 1,,Filled jobs,,'000,2019-20,NT,,6.2829
Table 1,,Filled jobs,,'000,2019-20,ACT,,8.2811
Table 1,,Filled jobs,,'000,2019-20,Total(a),,548.6
Table 1,,Filled jobs,,'000,2020-21,NSW,LEVEL,114.6501
Table 1,,Filled jobs,,'000,2020-21,Vic,,74.4876
Table 1,,Filled jobs,,'000,2020-21,Qld,,96.8843
Table 1,,Filled jobs,,'000,2020-21,SA,,33.0928
Table 1,,Filled jobs,,'000,2020-21,WA,,48.6804
Table 1,,Filled jobs,,'000,2020-21,Tas,,15.986
Table 1,,Filled jobs,,'000,2020-21,NT,,5.1337
Table 1,,Filled jobs,,'000,2020-21,ACT,,6.085
Table 1,,Filled jobs,,'000,2020-21,Total(a),,395
Table 1,,Filled jobs,,'000,2021-22,NSW,LEVEL,103.1862
Table 1,,Filled jobs,,'000,2021-22,Vic,,105.4787
Table 1,,Filled jobs,,'000,2021-22,Qld,,110.966
Table 1,,Filled jobs,,'000,2021-22,SA,,30.2111
Table 1,,Filled jobs,,'000,2021-22,WA,,52.3259
Table 1,,Filled jobs,,'000,2021-22,Tas,,17.138
Table 1,,Filled jobs,,'000,2021-22,NT,,6.0734
Table 1,,Filled jobs,,'000,2021-22,ACT,,6.3207
Table 1,,Filled jobs,,'000,2021-22,Total(a),,431.7
Table 1,,Filled jobs,,'000,2022-23,NSW,LEVEL,179.229
Table 1,,Filled jobs,,'000,2022-23,Vic,,171.1412
Table 1,,Filled jobs,,'000,2022-23,Qld,,152.6107
Table 1,,Filled jobs,,'000,2022-23,SA,,42.6442
Table 1,,Filled jobs,,'000,2022-23,WA,,69.8656
Table 1,,Filled jobs,,'000,2022-23,Tas,,20.0562
Table 1,,Filled jobs,,'000,2022-23,NT,,7.7573
Table 1,,Filled jobs,,'000,2022-23,ACT,,11.096
Table 1,,Filled jobs,,'000,2022-23,Total(a),,654.4
Table 1,,Filled jobs,,'000,2023-24,NSW,LEVEL,194.9597
Table 1,,Filled jobs,,'000,2023-24,Vic,,183.7883
Table 1,,Filled jobs,,'000,2023-24,Qld,,155.9906
Table 1,,Filled jobs,,'000,2023-24,SA,,41.5997
Table 1,,Filled jobs,,'000,2023-24,WA,,72.7047
Table 1,,Filled jobs,,'000,2023-24,Tas,,22.7789
Table 1,,Filled jobs,,'000,2023-24,NT,,7.9725
Table 1,,Filled jobs,,'000,2023-24,ACT,,11.7056
Table 1,,Filled jobs,,'000,2023-24,Total(a),,691.5
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2016-17,NSW,,3339.4899
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2016-17,Vic,,2696.5078
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2016-17,Qld,,2242.9422
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2016-17,SA,,792.501
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2016-17,WA,,1123.2512
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2016-17,Tas,,335.2726
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2016-17,NT,,79.6351
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2016-17,ACT,,162.8616
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2016-17,Total(a),,10772.4614
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2017-18,NSW,,3673.5809
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2017-18,Vic,,3047.8527
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2017-18,Qld,,2692.6776
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2017-18,SA,,830.7939
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2017-18,WA,,978.2968
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2017-18,Tas,,302.5077
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2017-18,NT,,64.4664
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2017-18,ACT,,171.1362
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2017-18,Total(a),,11761.3122
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2018-19,NSW,,4069.5864
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2018-19,Vic,,3387.8866
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2018-19,Qld,,2832.7106
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2018-19,SA,,947.1943
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2018-19,WA,,1206.1596
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2018-19,Tas,,356.5057
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2018-19,NT,,89.9545
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2018-19,ACT,,182.4408
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2018-19,Total(a),,13072.4385
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2019-20,NSW,,3774.0428
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2019-20,Vic,,3054.0173
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2019-20,Qld,,2758.6857
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2019-20,SA,,808.1598
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2019-20,WA,,1238.8163
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2019-20,Tas,,327.6064
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2019-20,NT,,68.9839
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2019-20,ACT,,180.1236
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2019-20,Total(a),,12210.4357
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2020-21,NSW,,3525.1697
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2020-21,Vic,,2272.2304
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2020-21,Qld,,2663.0727
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2020-21,SA,,836.7257
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2020-21,WA,,1332.0481
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2020-21,Tas,,325.6783
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2020-21,NT,,150.2212
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2020-21,ACT,,119.8186
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2020-21,Total(a),,11224.9646
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2021-22,NSW,,2877.5999
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2021-22,Vic,,3122.0605
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2021-22,Qld,,2864.3737
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2021-22,SA,,873.8661
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2021-22,WA,,1213.4926
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2021-22,Tas,,350.0856
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2021-22,NT,,69.4576
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2021-22,ACT,,173.3563
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2021-22,Total(a),,11544.2922
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2022-23,NSW,,5154.5864
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2022-23,Vic,,4869.8876
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2022-23,Qld,,3762.2421
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2022-23,SA,,1121.1719
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2022-23,WA,,1691.6124
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2022-23,Tas,,355.8635
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2022-23,NT,,115.2709
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2022-23,ACT,,313.8734
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2022-23,Total(a),,17384.5083
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2023-24,NSW,,5671.2948
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2023-24,Vic,,4706.3194
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2023-24,Qld,,3651.593
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2023-24,SA,,960.6002
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2023-24,WA,,1861.1203
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2023-24,Tas,,396.9987
Table 2,,Same-day travel,,LEVEL ($ million) – basic prices,2023-24,NT,,73.616
