section,category,subcategory,unit,financial_year,state,measure,value
Tourism characteristic industries,Tourism GVA,Accommodation,,2023-24,NSW,$m,3152.1755
Tourism characteristic industries,Tourism GVA,Accommodation,,2023-24,NSW,%,31.06203409974077
Tourism characteristic industries,Tourism GVA,Accommodation,,2023-24,Vic,$m,2109.7468
Tourism characteristic industries,Tourism GVA,Accommodation,,2023-24,Vic,%,20.789777423058762
Tourism characteristic industries,Tourism GVA,Accommodation,,2023-24,Qld,$m,2574.6021
Tourism characteristic industries,Tourism GVA,Accommodation,,2023-24,Qld,%,25.370534801588363
Tourism characteristic industries,Tourism GVA,Accommodation,,2023-24,SA,$m,532.2204
Tourism characteristic industries,Tourism GVA,Accommodation,,2023-24,SA,%,5.2445836893845765
Tourism characteristic industries,Tourism GVA,Accommodation,,2023-24,WA,$m,1038.8787
Tourism characteristic industries,Tourism GVA,Accommodation,,2023-24,WA,%,10.237274417269711
Tourism characteristic industries,Tourism GVA,Accommodation,,2023-24,Tas,$m,315.1707
Tourism characteristic industries,Tourism GVA,Accommodation,,2023-24,Tas,%,3.1057417426914107
Tourism characteristic industries,Tourism GVA,Accommodation,,2023-24,NT,$m,195.8721
Tourism characteristic industries,Tourism GVA,Accommodation,,2023-24,NT,%,1.9301545391073034
Tourism characteristic industries,Tourism GVA,Accommodation,,2023-24,ACT,$m,229.3346
Tourism characteristic industries,Tourism GVA,Accommodation,,2023-24,ACT,%,2.2598992871591093
Tourism characteristic industries,Tourism GVA,Accommodation,,2023-24,Total(a),$m,10148.0009
Tourism characteristic industries,Tourism GVA,Ownership of dwellings,,2023-24,NSW,$m,2688.3442
Tourism characteristic industries,Tourism GVA,Ownership of dwellings,,2023-24,NSW,%,32.59388829601122
Tourism characteristic industries,Tourism GVA,Ownership of dwellings,,2023-24,Vic,$m,2057.2908
Tourism characteristic industries,Tourism GVA,Ownership of dwellings,,2023-24,Vic,%,24.942902224950053
