table,title,rows,file
Table 1,"TABLE 1: KEY DIRECT TOURISM AGGREGATE RESULTS, 2016–17 to 2023-24",288,table-01.csv
Table 2,"TABLE 2: DIRECT TOURISM OUTPUT BY TOURISM CATEGORY, 2016–17 to 2023-24",360,table-02.csv
Table 3,"TABLE 3: DIRECT TOURISM GVA BY TOURISM CATEGORY, 2016–17 to 2023-24",360,table-03.csv
Table 4,"TABLE 4: TOURISM CONSUMPTION BY TOURISM CATEGORY, 2016–17 to 2023-24",360,table-04.csv
Table 5,"TABLE 5: DIRECT TOURISM OUTPUT BY INDUSTRY – BASIC PRICES AND STATE AND TERRITORY SHARE OF TOTAL, 2023-24",340,table-05.csv
Table 6,"TABLE 6: DIRECT TOURISM GROSS VALUE ADDED BY INDUSTRY – BASIC PRICES AND STATE AND TERRITORY SHARE OF TOTAL, 2023-24",340,table-06.csv
Table 7,"TABLE 7: DIRECT TOURISM FILLED JOBS BY INDUSTRY AND STATE AND TERRITORY SHARE, 2023-24",714,table-07.csv
Table 8,"TABLE 8: TOURISM CONSUMPTION BY PRODUCT – PURCHASER'S PRICES AND STATE AND TERRITORY SHARE OF TOTAL, 2023-24",357,table-08.csv
Table 9,"TABLE 9: INDIRECT CONTRIBUTION OF TOURISM, 2016–17 to 2023-24",360,table-09.csv
Table 10,"TABLE 10: TOTAL EFFECTS OF TOURISM CONSUMPTION, 2016–17 to 2023-24",504,table-10.csv
Table 11,"TABLE 11: STATE AND TERRITORY TOTALS OF KEY ECONOMIC AGGREGATES, 2016–17 to 2023-24",216,table-11.csv
Table 12,"TABLE 12: TOURISM SHARES IN STATE AND TERRITORY ECONOMY, 2016–17 to 2023-24",648,table-12.csv
Table 13,"TABLE 13: INDUSTRY SHARES OF KEY ECONOMIC AGGREGATES BY STATE, 2023-24",180,table-13.csv
