state,state_abbrev,snapshot_date,lga,net_total_dva_clients,total_veterans,total_dependants,disability_compensation_payment,war_widows,service_pensioners,ss_age_pensioners,gold_card_holders,white_card_holders
New South Wales,NSW,2026-01-02,Albury,1105,878,231,252,97,211,14,334,620
New South Wales,NSW,2026-01-02,Armidale,265,191,74,58,40,52,Under 5,91,127
New South Wales,NSW,2026-01-02,Ballina,880,587,299,251,154,241,29,410,305
New South Wales,NSW,2026-01-02,Balranald,17,14,Under 5,10,Under 5,Under 5,Under 5,10,5
New South Wales,NSW,2026-01-02,Bathurst,453,372,82,112,46,67,Under 5,160,244
New South Wales,NSW,2026-01-02,Bayside,1065,908,157,80,91,97,Under 5,194,758
New South Wales,NSW,2026-01-02,Bega Valley,746,593,156,221,64,159,Under 5,280,361
New South Wales,NSW,2026-01-02,Bellingen,185,133,52,52,25,53,Under 5,68,85
New South Wales,NSW,2026-01-02,Berrigan,153,111,42,52,10,63,0,64,54
New South Wales,NSW,2026-01-02,Blacktown,1874,1494,382,327,186,356,14,510,1063
New South Wales,NSW,2026-01-02,Bland,53,43,10,10,8,Under 5,0,18,30
New South Wales,NSW,2026-01-02,Blayney,96,70,26,24,12,26,Under 5,32,45
New South Wales,NSW,2026-01-02,Blue Mountains,992,787,208,232,108,159,9,352,514
New South Wales,NSW,2026-01-02,Bogan,9,7,Under 5,Under 5,Under 5,Under 5,0,Under 5,Under 5
New South Wales,NSW,2026-01-02,Bourke,16,11,5,Under 5,Under 5,Under 5,0,5,7
New South Wales,NSW,2026-01-02,Brewarrina,5,5,0,Under 5,0,Under 5,0,Under 5,Under 5
New South Wales,NSW,2026-01-02,Broken Hill,194,151,43,40,30,32,Under 5,64,99
New South Wales,NSW,2026-01-02,Burwood,143,108,35,16,13,50,Under 5,30,63
New South Wales,NSW,2026-01-02,Byron,310,223,90,76,51,73,Under 5,144,119
New South Wales,NSW,2026-01-02,Cabonne,160,125,37,32,18,25,Under 5,64,75
New South Wales,NSW,2026-01-02,Camden,989,801,189,153,78,123,5,273,581
New South Wales,NSW,2026-01-02,Campbelltown,1383,1041,345,331,163,311,11,462,639
New South Wales,NSW,2026-01-02,Canada Bay,595,492,104,61,57,76,Under 5,132,377
New South Wales,NSW,2026-01-02,Canterbury-Bankstown,1957,1210,747,136,165,1149,8,310,506
