year,jurisdiction,category,type,source_stream,management,fate,tonnes,headline_scope,core_waste,classification
2022–23,SA,Building and demolition materials,Asphalt,C&D,Recycling,Recycling,207720,Yes,Yes,Type
2022–23,SA,Building and demolition materials,"Bricks, concrete and pavers",C&D,Recycling,Recycling,1019716,Yes,Yes,Type
2022–23,SA,Building and demolition materials,"Bricks, concrete and pavers",C&I,Recycling,Recycling,2104,Yes,Yes,Type
2022–23,SA,Building and demolition materials,Plasterboard and cement sheeting,C&D,Recycling,Recycling,382,Yes,Yes,Type
2022–23,SA,Building and demolition materials,Plasterboard and cement sheeting,C&I,Recycling,Recycling,1370,Yes,Yes,Type
2022–23,SA,Building and demolition materials,"Soil, sand and rock",C&D,Recycling,Recycling,885304,Yes,Yes,Type
2022–23,SA,Building and demolition materials,"Soil, sand and rock",C&D,Waste reuse,Waste reuse,83978,Yes,Yes,Type
2022–23,SA,Building and demolition materials,"Soil, sand and rock",C&I,Recycling,Recycling,80665,Yes,Yes,Type
2022–23,SA,Building and demolition materials,"Soil, sand and rock",MSW,Recycling,Recycling,417,Yes,Yes,Type
2022–23,SA,Building and demolition materials,,C&D,Landfill,Disposal,26685.52105026564,Yes,Yes,Category
2022–23,SA,Building and demolition materials,,C&D,Recycling,Recycling,2113122,Yes,Yes,Category
2022–23,SA,Building and demolition materials,,C&D,Waste reuse,Waste reuse,83978,Yes,Yes,Category
2022–23,SA,Building and demolition materials,,C&I,Landfill,Disposal,6505.770689923094,Yes,Yes,Category
2022–23,SA,Building and demolition materials,,C&I,Recycling,Recycling,84139,Yes,Yes,Category
2022–23,SA,Building and demolition materials,,MSW,Landfill,Disposal,3822.710000000003,Yes,Yes,Category
2022–23,SA,Building and demolition materials,,MSW,Recycling,Recycling,417,Yes,Yes,Category
2022–23,SA,Glass,Glass from food and beverage containers,C&I,Recycling,Recycling,46040,Yes,Yes,Type
2022–23,SA,Glass,Glass from food and beverage containers,MSW,Recycling,Recycling,14084,Yes,Yes,Type
2022–23,SA,Glass,Other glass,C&D,Recycling,Recycling,7514,Yes,Yes,Type
2022–23,SA,Glass,Other glass,C&I,Recycling,Recycling,1011,Yes,Yes,Type
2022–23,SA,Glass,Other glass,MSW,Recycling,Recycling,4923,Yes,Yes,Type
2022–23,SA,Glass,,C&D,Landfill,Disposal,71.2462557179449,Yes,Yes,Category
2022–23,SA,Glass,,C&D,Recycling,Recycling,7514,Yes,Yes,Category
2022–23,SA,Glass,,C&I,Landfill,Disposal,10018.886862481566,Yes,Yes,Category
2022–23,SA,Glass,,C&I,Recycling,Recycling,47051,Yes,Yes,Category
2022–23,SA,Glass,,MSW,Landfill,Disposal,17068.400149999998,Yes,Yes,Category
2022–23,SA,Glass,,MSW,Recycling,Recycling,19007,Yes,Yes,Category
2022–23,SA,Hazardous wastes,Acids (B),C&I,Treatment,Disposal,703.9221952799999,Yes,Yes,Type
2022–23,SA,Hazardous wastes,Acids (B),C&I,Treatment,Recycling,1055.8832929199998,Yes,Yes,Type
2022–23,SA,Hazardous wastes,Alkalis (C),C&I,Landfill,Disposal,0.33548114502244575,Yes,Yes,Type
2022–23,SA,Hazardous wastes,Alkalis (C),C&I,Treatment,Disposal,1133.051349677489,Yes,Yes,Type
2022–23,SA,Hazardous wastes,Alkalis (C),C&I,Treatment,Recycling,1133.051349677489,Yes,Yes,Type
2022–23,SA,Hazardous wastes,Asbestos (N220),C&D,Landfill,Disposal,13414.142718584595,Yes,Yes,Type
2022–23,SA,Hazardous wastes,Asbestos (N220),C&D,Other disposal,Disposal,6.235566556161733,Yes,Yes,Type
2022–23,SA,Hazardous wastes,Asbestos (N220),C&D,Treatment,Disposal,209.58565325925036,Yes,Yes,Type
2022–23,SA,Hazardous wastes,Asbestos (N220),C&I,Landfill,Disposal,11426.862315831318,Yes,Yes,Type
2022–23,SA,Hazardous wastes,Asbestos (N220),C&I,Other disposal,Disposal,5.311778918211846,Yes,Yes,Type
2022–23,SA,Hazardous wastes,Asbestos (N220),C&I,Treatment,Disposal,178.5359268504725,Yes,Yes,Type
