category,jurisdiction,financial_year,value
,NSW,2019-20,8800000
,NSW,2020-21,12657000
,NSW,2021-22,7738000
,NSW,2022-23,16578000
,NSW,2023-24,15607000
,VIC,2019-20,6463000
,VIC,2020-21,3171000
,VIC,2021-22,7677000
,VIC,2022-23,12255000
,VIC,2023-24,10779000
,QLD,2019-20,5501000
,QLD,2020-21,8126000
,QLD,2021-22,3545000
,QLD,2022-23,2911000
,QLD,2023-24,6027000
,SA,2019-20,234000
,SA,2020-21,1337000
,SA,2021-22,883000
,SA,2022-23,2318000
,SA,2023-24,1912000
,WA,2019-20,257000
,WA,2020-21,1331000
,WA,2021-22,3975000
,WA,2022-23,3871000
,WA,2023-24,1379000
,TAS,2019-20,321000
,TAS,2020-21,247000
,TAS,2021-22,721000
,TAS,2022-23,426000
,TAS,2023-24,390000
,NT,2019-20,229000
,NT,2020-21,154000
,NT,2021-22,155000
,NT,2022-23,1570000
,NT,2023-24,525000
,ACT,2019-20,180000
,ACT,2020-21,8000
,ACT,2021-22,131000
,ACT,2022-23,367000
,ACT,2023-24,646000
,Aus Gov,2019-20,375000
,Aus Gov,2020-21,350000
,Aus Gov,2021-22,0
,Aus Gov,2022-23,550000
,Aus Gov,2023-24,0
,Seacare,2019-20,0
,Seacare,2020-21,0
,Seacare,2021-22,0
,Seacare,2022-23,0
,Seacare,2023-24,0
,AUST,2019-20,22360000
,AUST,2020-21,27381000
,AUST,2021-22,24825000
,AUST,2022-23,40846000
,AUST,2023-24,37264000
