legal_status,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,aus
Police—referred pre—court detention,First Nations,258,—,78,368,157,—,29,—,890
Police—referred pre—court detention,Non—Indigenous,235,—,45,203,120,—,53,—,656
Police—referred pre—court detention,Not stated,16,—,—,—,1,—,—,—,17
Police—referred pre—court detention,Total,509,—,123,571,278,—,82,—,1563
Remand,First Nations,690,49,712,375,132,22,17,316,2313
Remand,Non—Indigenous,569,297,318,190,109,44,27,10,1564
Remand,Not stated,40,2,3,—,2,—,—,3,50
Remand,Total,1299,348,1033,565,243,66,44,329,3927
Unsentenced,First Nations,762,49,720,527,182,n.p.,n.p.,316,2612
Unsentenced,Non—Indigenous,644,297,327,257,152,n.p.,n.p.,10,1796
Unsentenced,Not stated,48,2,3,—,3,—,—,3,59
Unsentenced,Total,1454,348,1050,784,337,66,99,329,4467
Sentenced,First Nations,111,7,136,60,16,n.p.,n.p.,149,486
Sentenced,Non—Indigenous,52,29,29,41,14,n.p.,n.p.,6,184
Sentenced,Not stated,2,—,—,—,—,—,—,2,4
Sentenced,Total,165,36,165,101,30,n.p.,n.p.,157,674
Total,First Nations,770,49,724,537,183,24,34,317,2638
Total,Non—Indigenous,651,300,328,272,153,46,65,10,1825
Total,Not stated,49,2,3,—,3,—,—,3,60
Total,Total,1470,351,1055,809,339,70,99,330,4523
