section,month,nsw,vic,qld,wa,sa,tas,act,nt,australia
Unsentenced,July,179.1,66.5,266.2,36.5,31.5,5.4,16.2,42.9,644.3
Unsentenced,August,164.1,71.1,264.6,35.8,28.7,9.1,10.6,37.7,621.7
Unsentenced,September,153.9,73.1,275.3,40.9,30.9,11.4,12.9,30.4,628.8
Unsentenced,October,146.1,75.4,272.5,50.8,39.7,13.8,16.2,40.9,655.5
Unsentenced,November,154.1,73.7,276.8,48.2,36.8,15,15.4,45.7,665.8
Unsentenced,December,164.3,63.1,248.5,40,39.9,15.7,15,41.5,628
Unsentenced,January,192.6,77.1,287.4,42.6,49.6,19.1,15.9,53.7,738
Unsentenced,February,182.5,73.3,293.7,65.3,49.7,15.4,15.3,47.4,742.5
Unsentenced,March,174.7,73.2,292,60.7,47.8,15.9,22.9,41.1,728.3
Unsentenced,April,165.2,96.2,285.7,71.8,40.3,14.1,26.3,52.6,752.3
Unsentenced,May,170,96.9,270.3,64,35.9,10.7,24,60.9,732.7
Unsentenced,June,172.5,90.1,279.1,57.7,27.7,14.9,25.1,63.9,730.9
Sentenced,July,63.9,39.8,37.8,32.8,3.2,6.3,2,23.7,209.4
Sentenced,August,66.9,41.5,34.8,26.9,3.6,5,2,23.4,204.1
Sentenced,September,69.9,45.5,30.7,26.1,4.3,2.4,1.4,20.1,200.3
Sentenced,October,61.7,44.1,26.6,22.6,4.2,3,0.6,24.8,187.8
Sentenced,November,57.7,42.4,32.2,21,3.3,1.1,1,27.4,186
Sentenced,December,57.2,43.2,39.4,25.6,4,0.5,1,27.6,198.5
Sentenced,January,54.7,38.6,36.6,25.2,4.6,0.3,1,31.9,192.9
Sentenced,February,62.3,42.6,31.7,22.1,4.9,1.2,1,26.8,192.6
Sentenced,March,67,44.3,31.2,20.9,6.7,1.2,1,24.9,197.2
Sentenced,April,71,43.2,29.6,20.8,5.4,3.3,1,30.2,204.7
Sentenced,May,68,47.4,30.1,23.2,5.7,4.8,1,35.7,215.9
Sentenced,June,66.7,53.2,30.2,28.8,3.6,2.7,1,41.4,227.6
