indigenous_status,legal_status,year,nsw,vic,qld,wa,sa,tas,act,nt,australia
First Nations,Unsentenced,2020-21,49.9,9.7,140.9,49.9,14,2.7,2.3,26.5,296.1
First Nations,Unsentenced,2021-22,66.2,10.6,167.5,59.2,14,3.3,2.1,40.4,363.3
First Nations,Unsentenced,2022-23,81.9,10,196.8,46.9,16.1,4,1.7,46.3,403.6
First Nations,Unsentenced,2023-24,104.1,9.8,200.7,36.9,17,4.2,5.3,42.8,420.8
First Nations,Unsentenced,2024-25,103.2,11.8,192.5,33.6,19.9,4.9,6.7,43.1,415.7
First Nations,Sentenced,2020-21,34.1,10.4,20.3,31.1,2.2,1.1,1.8,16,116.9
First Nations,Sentenced,2021-22,21.5,7.4,30.1,31.5,3.9,1.1,1.1,22.9,119.5
First Nations,Sentenced,2022-23,26.8,5.2,29.8,25.2,2.7,1.5,2.7,29.9,123.7
First Nations,Sentenced,2023-24,28.4,4.3,36.1,23,1.1,1.9,—,28.8,123.5
First Nations,Sentenced,2024-25,36.9,6.4,27.5,13.1,1.7,1,—,27.3,113.9
First Nations,Total,2020-21,83.6,20.1,156.4,80.8,16.2,3.7,2.6,30.6,393.9
First Nations,Total,2021-22,87.5,18,190.6,90.3,17.5,4.1,2.9,49.7,460.7
First Nations,Total,2022-23,108.4,15.1,218.3,71.8,18.3,4.5,4.4,49.5,490.3
First Nations,Total,2023-24,132.2,14,227.1,59.7,17.7,5.6,5.3,43.2,504.8
First Nations,Total,2024-25,139.7,19,214.5,46.6,21.5,5.9,6.7,43.1,496.9
Non-Indigenous,Unsentenced,2020-21,81.3,83.4,75.1,12.2,9.6,4,6.3,0.8,272.6
Non-Indigenous,Unsentenced,2021-22,68.2,62.5,91.5,14.6,15.2,3.6,6.1,2,263.8
Non-Indigenous,Unsentenced,2022-23,59.9,62.8,88.3,14.4,13.9,7.6,7.9,1.1,255.9
Non-Indigenous,Unsentenced,2023-24,59.7,49.8,86.3,15.2,13.5,9,7.4,1.6,242.6
Non-Indigenous,Unsentenced,2024-25,64.3,65.4,82.9,17.4,17.8,8.5,11.3,2,269.6
Non-Indigenous,Sentenced,2020-21,40.1,60,7.1,12.9,2.5,3.2,3.8,0.5,130.2
Non-Indigenous,Sentenced,2021-22,32.3,38.8,8.6,13.2,1.8,1.5,3.9,0.8,100.9
Non-Indigenous,Sentenced,2022-23,30.7,26.9,7.7,12.5,1.3,1.9,5.4,1.3,87.7
Non-Indigenous,Sentenced,2023-24,24.9,25.6,6.6,12.4,2.7,2,3,1,78.3
Non-Indigenous,Sentenced,2024-25,25.9,37.3,5.1,11.5,2.8,1.6,1.2,0.5,86
Non-Indigenous,Total,2020-21,121,143.3,80.8,25,12.1,5.7,6.8,1.3,396.1
Non-Indigenous,Total,2021-22,100.2,102.5,98.7,27.7,17,5,8.7,2,361.9
Non-Indigenous,Total,2022-23,90.4,92.6,93,26.8,15.2,9.1,12.7,1.6,341.4
Non-Indigenous,Total,2023-24,84.5,79.1,92.4,27.5,16.1,10.7,10.4,1.6,322.4
Non-Indigenous,Total,2024-25,90,109.4,85.9,28.9,20.1,9.9,12.5,2,358.8
Not stated,Unsentenced,2020-21,1,—,—,—,—,—,—,0.3,1.4
Not stated,Unsentenced,2021-22,2.1,—,0.1,—,—,—,—,0.4,2.5
Not stated,Unsentenced,2022-23,0.6,—,—,—,—,—,0.2,1.7,2.5
Not stated,Unsentenced,2023-24,0.4,—,—,—,—,—,—,1.3,1.7
Not stated,Unsentenced,2024-25,0.6,0.2,—,—,0.4,—,—,1.4,2.8
Not stated,Sentenced,2020-21,0.3,—,0.4,—,—,—,—,—,0.7
Not stated,Sentenced,2021-22,0.2,—,—,—,—,—,—,0.3,0.5
Not stated,Sentenced,2022-23,0.4,—,—,—,—,—,0.4,0.5,1.3
Not stated,Sentenced,2023-24,—,—,—,—,—,—,—,0.2,0.2
Not stated,Sentenced,2024-25,1,—,—,—,—,—,—,0.4,1.4
Not stated,Total,2020-21,1.3,—,0.5,—,—,—,—,0.4,2.2
Not stated,Total,2021-22,2.3,—,—,—,—,—,—,0.6,3
Not stated,Total,2022-23,1,—,—,—,—,—,0.6,1.8,3.5
Not stated,Total,2023-24,0.4,—,—,—,—,—,—,1.3,1.7
Not stated,Total,2024-25,1.6,0.2,0.3,—,0.4,—,—,1.4,3.8
Total,Unsentenced,2020-21,132.1,93.1,216.1,62.1,23.6,6.7,8.6,27.6,570.1
