indigenous_status,age,nsw,vic,qld,wa,sa,tas,act,nt,australia
First Nations,10-13 years,4.8,—,17.3,4.1,1.8,0.4,0.8,2.1,31.3
First Nations,14-17 years,89.1,10.2,169.8,29.3,17.7,3.4,4.9,37.8,362.2
First Nations,18+ years,9.2,1.6,5.5,0.2,0.4,1.1,1,3.1,22.1
First Nations,Total,103.2,11.8,192.5,33.6,19.9,4.9,6.7,43.1,415.7
Non-Indigenous,10-13 years,1.9,0.3,4.9,0.9,0.5,0.3,0.1,0.1,9
Non-Indigenous,14-17 years,53.9,52.9,73.8,16.1,15.1,7.8,10.7,1.9,232.3
Non-Indigenous,18+ years,8.5,12.2,4.1,0.4,2.2,0.4,0.6,—,28.3
Non-Indigenous,Total,64.3,65.4,82.9,17.4,17.8,8.5,11.3,2,269.6
Not stated,10-13 years,0.1,—,—,—,—,—,—,—,0.1
Not stated,14-17 years,0.5,0.2,0.3,—,0.3,—,—,0.4,1.7
Not stated,18+ years,—,—,—,—,—,—,—,1,1
Not stated,Total,0.6,0.2,0.3,—,0.4,—,—,1.4,2.8
Total,10-13 years,6.9,0.3,22.2,5,2.3,0.7,0.8,2.3,40.4
Total,14-17 years,143.5,63.3,243.9,45.4,33.2,11.2,15.6,40.1,596.2
Total,18+ years,17.7,13.8,9.5,0.6,2.7,1.5,1.6,4.1,51.5
Total,Total,168.1,77.4,275.6,51,38.1,13.4,18,46.5,688.1
