section,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
Median length of completed periods (number of days in 2024–25),First Nations,45,56,44,39,10,19,—,6,27
Median length of completed periods (number of days in 2024–25),Non-Indigenous,46,92,37,50,8,23,91,5,52
Median length of completed periods (number of days in 2024–25),Not stated,17,—,—,—,—,—,—,6,9
Median length of completed periods (number of days in 2024–25),Total,45,89,44,41,9,22,91,6,32
Median length of completed periods (days for total period),First Nations,50,105,53,51,10,56,-,7,33
Median length of completed periods (days for total period),Non-Indigenous,60,125,37,78,23,23,785,5,74
Median length of completed periods (days for total period),Not stated,17,—,—,—,—,—,-,6,9
Median length of completed periods (days for total period),Total,52,112,52,55,11,23,785,7,40
Number of completed periods of supervision,First Nations,131,17,159,74,20,n.p.,n.p.,253,661
Number of completed periods of supervision,Non-Indigenous,74,74,30,41,15,n.p.,n.p.,6,254
Number of completed periods of supervision,Not stated,1,—,—,—,—,—,—,3,4
Number of completed periods of supervision,Total,206,91,189,115,35,n.p.,n.p.,262,919
Number of young people who completed a period during the year,First Nations,108,16,126,49,19,n.p.,n.p.,133,457
Number of young people who completed a period during the year,Non-Indigenous,66,60,27,30,14,n.p.,n.p.,4,215
Number of young people who completed a period during the year,Not stated,1,—,—,—,—,—,—,2,3
Number of young people who completed a period during the year,Total,175,76,153,79,33,n.p.,n.p.,139,675
