indigenous_status,detention_end_reason,nsw,vic,qld,wa,sa,tas,act,nt,australia
First Nations,Completed,22,7,14,18,9,n.p.,n.p.,212,288
First Nations,Released on bail,—,—,—,—,—,—,—,—,—
First Nations,Released on parole,86,8,143,51,11,n.p.,n.p.,n.p.,304
First Nations,Escaped or absconded,—,—,—,—,—,n.a.,—,—,—
First Nations,Death,—,—,—,—,—,—,—,—,—
First Nations,Other,23,2,2,5,—,—,—,37,69
First Nations,Total,131,17,159,74,20,n.p.,n.p.,n.p.,661
Non-Indigenous,Completed,11,19,6,10,9,n.p.,n.p.,n.p.,69
Non-Indigenous,Released on bail,—,—,—,—,—,—,—,—,—
Non-Indigenous,Released on parole,39,44,24,29,6,n.p.,n.p.,—,144
Non-Indigenous,Escaped or absconded,—,—,—,—,—,n.a.,—,—,—
Non-Indigenous,Death,—,—,—,—,—,—,—,—,—
Non-Indigenous,Other,24,11,—,2,—,n.p.,n.p.,n.p.,41
Non-Indigenous,Total,74,74,30,41,15,n.p.,n.p.,6,254
Not stated,Completed,1,—,—,—,—,—,—,3,4
Not stated,Released on bail,—,—,—,—,—,—,—,—,—
Not stated,Released on parole,—,—,—,—,—,—,—,—,—
Not stated,Escaped or absconded,—,—,—,—,—,n.a.,—,—,—
Not stated,Death,—,—,—,—,—,—,—,—,—
Not stated,Other,—,—,—,—,—,—,—,—,—
Not stated,Total,1,—,—,—,—,—,—,3,4
Total,Completed,34,26,20,28,18,n.p.,n.p.,n.p.,361
Total,Released on bail,—,—,—,—,—,—,—,—,—
Total,Released on parole,125,52,167,80,17,n.p.,n.p.,n.p.,448
Total,Escaped or absconded,—,—,—,—,—,n.a.,—,—,—
Total,Death,—,—,—,—,—,—,—,—,—
Total,Other,47,13,2,7,—,n.p.,n.p.,n.p.,110
Total,Total,206,91,189,115,35,n.p.,n.p.,262,919
