year,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
2020–21,First Nations,93.5,122.3,67.9,120.8,60.8,81,110.8,142.8,98.9
2020–21,Non-Indigenous,100.3,129.7,74.3,102.8,100.8,117.6,139.9,64.3,111.1
2020–21,Not stated,49.5,—,151,—,—,—,—,13,65.8
2020–21,Total,96.7,128.5,70.1,114.9,77.1,105.4,129,134.7,104.8
2021–22,First Nations,74.9,104,80.3,107.4,75.1,102.3,99.5,122.9,92.9
2021–22,Non-Indigenous,98.4,113.4,84.4,100.4,74.1,67.1,140.8,101,102.3
2021–22,Not stated,76,—,—,—,—,—,—,101,88.5
2021–22,Total,87.4,111.8,81.1,105.3,74.8,78.8,129,121.7,97
2022–23,First Nations,101,126.3,86.4,109.4,58.4,66.5,163.8,86.6,94.4
2022–23,Non-Indigenous,116.8,109.1,69.9,123.5,69,58.2,131.4,159.7,106.8
2022–23,Not stated,54.3,—,—,—,—,—,137,91,80.3
2022–23,Total,108,111.6,82.5,113.7,61.5,61.5,140.5,88.3,99
2023–24,First Nations,88.7,103.7,78.9,93.3,38.8,76.9,n.p.,83.6,84.5
2023–24,Non-Indigenous,111,119.8,59.2,89.1,111.4,55,n.p.,184,101.1
2023–24,Not stated,—,—,—,—,—,—,—,79,79
2023–24,Total,97.9,117.2,75,91.8,73.2,64,157.7,85.1,90.2
2024–25,First Nations,100.7,117.6,70.1,80,32.2,53.7,n.p.,66.8,78.2
2024–25,Non-Indigenous,110,145.1,62.6,102.8,63.4,46,n.p.,31.8,108.7
2024–25,Not stated,186.5,—,—,—,—,—,—,64.5,125.5
2024–25,Total,105,140.3,68.8,89.2,46.5,48.7,142,65.5,89.1
