year,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia_excl_nt,australia
2016–17,First Nations,107.635,106.492,180.237,251.557,189.618,41.574,113.395,115.107,147.295,150.073
2016–17,Non-Indigenous,8.519,9.127,11.286,9.722,7.55,13.363,13.402,4.246,9.467,9.499
2016–17,Total,16.314,11.087,25.721,27.27,16.41,17.071,17.269,60.313,18.72,18.262
2017–18,First Nations,100.002,92.595,196.79,244.575,144.741,56.501,167.294,108.649,145.705,148.802
2017–18,Non-Indigenous,8.31,8.979,12.284,9.688,6.965,15.059,17.341,2.998,9.623,9.663
2017–18,Total,15.797,10.695,28.397,26.884,13.894,20.508,23.016,54.49,18.924,18.535
2018–19,First Nations,94.678,84.094,210.669,219.867,116.306,63.554,101.556,112.312,142.854,145.324
2018–19,Non-Indigenous,8.638,8.325,11.281,10.429,6.172,16.507,12.728,3.728,9.33,9.365
2018–19,Total,15.548,9.881,28.901,25.891,11.86,23.395,16.037,55.01,18.47,18.073
2019–20,First Nations,89.079,68.265,176.789,184.181,114.445,67.109,103.855,103.099,125.41,127.157
2019–20,Non-Indigenous,8.026,7.827,9.045,9.709,6.48,14.61,12.594,4.324,8.45,8.475
2019–20,Total,14.654,9.074,23.996,22.607,12.21,21.969,15.916,50.183,16.526,16.166
2020–21,First Nations,76.2,58.382,153.142,139.471,86.314,45.054,62.715,80.501,103.983,105.765
2020–21,Non-Indigenous,7.649,6.228,7.946,6.867,5.319,10.955,11.848,3.572,7.213,7.236
2020–21,Total,13.341,7.321,20.997,16.63,9.664,15.173,13.634,38.733,13.934,13.669
2021–22,First Nations,73.43,46.562,156.016,154.122,92.503,38.75,52.343,120.2,107.539,106.609
2021–22,Non-Indigenous,6.577,4.952,8.002,6.581,5.836,8.787,9.978,5.125,6.504,6.512
2021–22,Total,12.05,5.832,21.341,17.407,10.538,12.252,11.42,57.501,13.492,13.029
2022–23,First Nations,77.614,34.813,155.167,167.657,109.827,39.534,78.646,176.054,114.315,109.912
2022–23,Non-Indigenous,5.145,4.101,7.354,6.941,6.675,11.355,10.19,4.25,5.847,5.858
2022–23,Total,10.982,4.752,20.641,18.547,12.348,14.7,12.59,80.67,13.293,12.589
2023–24,First Nations,80.677,34.505,159.458,151.677,140.123,54.393,159.576,n.a.,107.54,113.178
2023–24,Non-Indigenous,4.837,3.431,6.992,7.124,6.572,12.478,15.406,n.a.,5.565,5.59
2023–24,Total,10.847,4.088,20.547,17.317,13.794,17.319,20.208,n.a.,12.369,12.463
2024–25,First Nations,82.316,38.006,154.587,124.672,121.593,70.117,193.563,n.a.,101.866,108.911
2024–25,Non-Indigenous,4.959,3.768,6.568,6.38,5.113,13.996,12.977,n.a.,5.405,5.44
2024–25,Total,11.041,4.493,19.644,14.572,11.514,20.398,18.816,n.a.,11.879,12.002
