year,sex,indigenous_status,10,11,12,13,10_13,14,15,16,17,14_17,10_17,18plus,total
2020-21,Male,First Nations,0.8,5,9.1,24.1,39.1,53.5,84.6,112.6,129.2,379.9,419,175.3,594.3
2020-21,Male,Non-Indigenous,—,—,1.2,5,6.3,22.7,49.5,69.8,97.8,239.8,246,197.7,443.7
2020-21,Male,Not stated,—,—,—,—,—,—,1,0.2,1.9,3.2,3.2,2.8,6
2020-21,Male,Total,0.8,5,10.4,29.1,45.3,76.2,135.2,182.6,228.9,622.9,668.2,375.8,1044
2020-21,Female,First Nations,—,0.9,4.7,12.9,18.5,27.2,37.1,52.4,45.1,161.8,180.3,42.5,222.8
2020-21,Female,Non-Indigenous,—,—,—,1.4,1.4,9.3,14.8,22.1,24.5,70.7,72.1,38,110.1
2020-21,Female,Not stated,—,—,—,—,—,—,—,—,—,—,—,0.4,0.4
2020-21,Female,Total,—,0.9,4.7,14.3,19.9,36.4,51.9,74.5,69.7,232.5,252.4,80.9,333.3
2020-21,Total,First Nations,0.8,5.8,13.9,37,57.6,80.7,121.7,165,174.3,541.7,599.3,217.8,817.1
2020-21,Total,Non-Indigenous,—,—,1.2,6.5,7.7,31.9,64.3,91.9,122.3,310.4,318.1,235.7,553.8
2020-21,Total,Not stated,—,—,—,—,—,—,1,0.2,1.9,3.2,3.2,3.3,6.5
2020-21,Total,Total,0.8,5.8,15.1,43.5,65.3,112.7,187,257.1,298.5,855.3,920.6,456.8,1377.4
2021-22,Male,First Nations,0.2,1.3,10.5,27.3,39.3,54.5,85.4,108.9,122.3,371,410.3,164.5,574.8
2021-22,Male,Non-Indigenous,—,—,0.8,5.7,6.6,21.1,45.2,75.4,94.1,235.7,242.3,184.4,426.7
2021-22,Male,Not stated,—,—,—,—,—,0.1,—,0.5,0.9,1.5,1.5,2.3,3.8
2021-22,Male,Total,0.2,1.3,11.3,33,45.9,75.6,130.5,184.8,217.3,608.2,654.1,351.3,1005.4
2021-22,Female,First Nations,—,0.1,4.5,14.2,18.8,28.1,45,42.9,53.5,169.6,188.4,40.9,229.3
2021-22,Female,Non-Indigenous,—,—,0.1,2.2,2.2,8.8,16.4,20.4,25.3,70.9,73.1,32.5,105.6
2021-22,Female,Not stated,—,—,—,—,—,—,—,—,—,—,—,1,1
2021-22,Female,Total,—,0.1,4.6,16.4,21.1,37,61.4,63.3,78.8,240.5,261.5,74.4,335.9
2021-22,Total,First Nations,0.2,1.4,15,41.5,58.2,82.6,130.4,152.7,175.8,541.4,599.6,205.4,805
2021-22,Total,Non-Indigenous,—,—,0.9,7.9,8.8,29.9,61.6,95.8,119.3,306.6,315.4,216.9,532.3
2021-22,Total,Not stated,—,—,—,—,—,0.1,—,0.5,0.9,1.5,1.5,3.3,4.8
2021-22,Total,Total,0.2,1.4,15.9,49.4,67,112.6,191.9,249,296.1,849.5,916.5,425.6,1342.1
2022-23,Male,First Nations,0.7,2.2,5.2,28.6,36.7,61.4,91,111.4,114.7,378.5,415.3,151.3,566.5
2022-23,Male,Non-Indigenous,—,0.6,0.7,8.6,9.9,21.6,43.9,70.2,84.1,219.9,229.8,171.3,401.1
2022-23,Male,Not stated,—,—,—,—,—,0.1,0.2,0.4,0.9,1.6,1.6,1.1,2.7
2022-23,Male,Total,0.7,2.8,6,37.2,46.6,83,135.1,182.1,199.8,600,646.6,323.7,970.3
2022-23,Female,First Nations,—,0.7,2.6,16.7,20,28.5,40.4,44.9,37.4,151.2,171.3,41.6,212.9
2022-23,Female,Non-Indigenous,—,—,0.4,1.3,1.7,9.1,17.4,21.4,18.4,66.3,68,35.1,103.2
2022-23,Female,Not stated,—,—,—,—,—,—,—,—,0.1,0.1,0.1,0.1,0.2
2022-23,Female,Total,—,0.7,3,18.1,21.8,37.6,57.8,66.3,55.9,217.6,239.4,76.8,316.3
