year,sex,indigenous_status,10,11,12,13,10_13,14,15,16,17,14_17,10_17,18plus,total
2020-21,Male,First Nations,—,—,—,0.2,0.2,1.1,2.1,5.6,12.4,21.2,21.4,11,32.4
2020-21,Male,Non-Indigenous,—,—,—,0.9,0.9,3.6,9.5,7.9,14.4,35.4,36.3,18.2,54.5
2020-21,Male,Not stated,—,—,—,—,—,—,0.1,0.8,0.8,1.7,1.7,2.8,4.5
2020-21,Male,Total,—,—,—,1.1,1.1,4.6,11.7,14.3,27.6,58.2,59.3,32.1,91.4
2020-21,Female,First Nations,—,—,—,0.4,0.4,0.5,0.4,2.2,2.2,5.3,5.7,2,7.8
2020-21,Female,Non-Indigenous,—,—,—,0.7,0.7,3.1,3.8,4.6,2.7,14.3,15,4,19
2020-21,Female,Not stated,—,—,—,—,—,—,—,—,0.1,0.1,0.1,0.2,0.2
2020-21,Female,Total,—,—,—,1.2,1.2,3.6,4.3,6.8,5,19.6,20.8,6.2,27
2020-21,Total,First Nations,—,—,—,0.7,0.7,1.5,2.5,7.8,14.5,26.4,27.1,13,40.2
2020-21,Total,Non-Indigenous,—,—,—,1.6,1.6,6.7,13.4,12.5,17.1,49.7,51.3,22.2,73.5
2020-21,Total,Not stated,—,—,—,—,—,—,0.1,0.8,0.9,1.8,1.8,3,4.8
2020-21,Total,Total,—,—,—,2.3,2.3,8.2,16,21.1,32.6,77.9,80.1,38.3,118.4
2021-22,Male,First Nations,—,—,0.4,1.1,1.6,1,3,5.1,8,17.1,18.6,10.1,28.7
2021-22,Male,Non-Indigenous,—,—,—,0.4,0.4,2.7,4.6,9.1,9.2,25.6,26,15.6,41.6
2021-22,Male,Not stated,—,—,—,—,—,—,0.1,—,—,0.1,0.1,0.1,0.3
2021-22,Male,Total,—,—,0.5,1.5,2,3.7,7.7,14.2,17.1,42.8,44.8,25.8,70.6
2021-22,Female,First Nations,—,—,—,—,—,1.3,1.3,0.9,1.6,5.1,5.1,2.4,7.5
2021-22,Female,Non-Indigenous,—,—,0.3,—,0.3,2.2,5.3,3.1,4.7,15.3,15.6,3.2,18.8
2021-22,Female,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2021-22,Female,Total,—,—,0.3,—,0.3,3.5,6.6,4.1,6.3,20.4,20.8,5.5,26.3
2021-22,Total,First Nations,—,—,0.4,1.2,1.6,2.3,4.3,6.1,9.5,22.1,23.7,12.5,36.2
2021-22,Total,Non-Indigenous,—,—,0.3,0.4,0.7,4.9,9.9,12.2,13.9,40.9,41.6,18.7,60.4
2021-22,Total,Not stated,—,—,—,—,—,—,0.1,—,—,0.2,0.2,0.1,0.3
2021-22,Total,Total,—,—,0.7,1.6,2.3,7.2,14.3,18.3,23.5,63.2,65.5,31.4,96.9
2022-23,Male,First Nations,—,0.1,0.1,1.3,1.4,1.6,4,5.1,6.3,17,18.5,7.3,25.8
2022-23,Male,Non-Indigenous,—,—,—,0.8,0.8,3.6,5.8,10,16.4,35.7,36.5,15.2,51.7
2022-23,Male,Not stated,—,—,—,—,—,—,—,0.1,—,0.1,0.1,—,0.1
2022-23,Male,Total,—,0.1,0.1,2.1,2.2,5.2,9.8,15.1,22.7,52.9,55.1,22.5,77.6
2022-23,Female,First Nations,—,—,—,0.4,0.4,0.8,1.2,1.6,2,5.6,6,2,8
2022-23,Female,Non-Indigenous,—,—,0.7,0.3,1,0.9,5.2,7.4,3.3,16.8,17.8,4.2,21.9
2022-23,Female,Not stated,—,—,—,—,—,—,0.5,0.1,—,0.6,0.6,—,0.6
2022-23,Female,Total,—,—,0.7,0.7,1.4,1.7,6.9,9.1,5.3,22.9,24.3,6.1,30.5
2022-23,Total,First Nations,—,0.1,0.1,1.7,1.8,2.4,5.2,6.7,8.3,22.6,24.5,9.3,33.7
2022-23,Total,Non-Indigenous,—,—,0.7,1.1,1.8,4.5,10.9,17.4,19.7,52.5,54.3,20.1,74.4
2022-23,Total,Not stated,—,—,—,—,—,—,0.5,0.2,—,0.6,0.6,—,0.6
2022-23,Total,Total,—,0.1,0.8,2.7,3.6,6.9,16.6,24.2,28.1,75.8,79.4,29.4,108.8
2023-24,Male,First Nations,—,—,—,0.4,0.4,1.7,5.5,7.8,6.6,21.5,22,6.6,28.6
2023-24,Male,Non-Indigenous,—,—,—,0.5,0.5,4.1,8.7,12.4,18.2,43.5,44,17.8,61.8
2023-24,Male,Not stated,—,—,—,—,—,—,0.4,—,—,0.4,0.4,—,0.4
2023-24,Male,Total,—,—,—,0.9,0.9,5.8,14.6,20.2,24.8,65.4,66.3,24.4,90.7
2023-24,Female,First Nations,—,—,—,0.3,0.3,0.8,3.5,4.5,2.5,11.2,11.6,2.7,14.3
2023-24,Female,Non-Indigenous,—,—,—,0.8,0.8,0.6,2.8,7.4,4.1,14.9,15.7,2.1,17.7
2023-24,Female,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2023-24,Female,Total,—,—,—,1.1,1.1,1.4,6.3,11.9,6.6,26.2,27.2,4.8,32
2023-24,Total,First Nations,—,—,—,0.7,0.7,2.5,9,12.3,9.1,32.8,33.5,9.3,42.8
2023-24,Total,Non-Indigenous,—,—,—,1.3,1.3,4.7,11.5,19.8,22.5,58.6,59.8,19.9,79.7
2023-24,Total,Not stated,—,—,—,—,—,—,0.4,—,—,0.4,0.4,—,0.4
2023-24,Total,Total,—,—,—,2,2,7.2,20.9,32.1,31.6,91.7,93.7,29.2,122.9
2024-25,Male,First Nations,—,—,0.4,0.8,1.2,2.3,4.5,9.9,9.3,26,27.2,10.7,37.9
2024-25,Male,Non-Indigenous,0.1,—,—,0.8,0.9,2.4,11.6,13.4,21.1,48.6,49.5,26.5,76
2024-25,Male,Not stated,—,—,—,—,—,0.1,—,0.1,—,0.2,0.2,0.3,0.5
2024-25,Male,Total,0.1,—,0.4,1.6,2.1,4.7,16.2,23.4,30.4,74.8,76.9,37.5,114.4
2024-25,Female,First Nations,—,—,0.3,0.4,0.8,1.4,2.1,4.5,6.6,14.7,15.5,5.9,21.4
2024-25,Female,Non-Indigenous,—,—,—,0.7,0.7,2.4,2.8,4.5,6.5,16.2,16.9,7.7,24.6
2024-25,Female,Not stated,—,—,0.1,—,0.1,—,—,—,—,—,0.1,—,0.1
2024-25,Female,Total,—,—,0.5,1.1,1.6,3.8,4.9,9,13.1,30.9,32.5,13.6,46.1
2024-25,Total,First Nations,—,—,0.8,1.2,2,3.7,6.7,14.4,15.9,40.7,42.7,16.6,59.3
2024-25,Total,Non-Indigenous,0.1,—,—,1.5,1.6,4.8,14.4,17.9,28.3,65.5,67.1,35.3,102.5
2024-25,Total,Not stated,—,—,0.1,—,0.1,0.1,—,0.1,0.1,0.3,0.4,0.3,0.7
2024-25,Total,Total,0.1,—,0.9,2.7,3.7,8.6,21.1,32.5,44.4,106.5,110.2,52.3,162.5
