year,sex,nsw,vic,qld,wa,sa,tas,act,nt,australia_excl_nt,australia
2015-16,Male,1067.6,565.7,1006.8,578.4,212.7,69.5,46.1,124.3,3546.7,3671
2015-16,Female,243.6,110.8,292.5,101.3,45.7,14.3,15.8,27.8,824,851.9
2015-16,Not stated,—,—,1,0.1,—,—,—,—,1,1
2015-16,Total,1311.2,676.5,1300.3,679.8,258.4,83.8,61.8,152.1,4371.8,4523.9
2016-17,Male,965.9,522.9,966.6,575.7,207.6,65.6,48.4,122.3,3352.8,3475.1
2016-17,Female,232,111.3,307.6,99.3,53.5,20,14.2,30.1,838,868.1
2016-17,Not stated,—,—,—,—,—,—,—,—,—,—
2016-17,Total,1197.9,634.2,1274.3,675,261.1,85.6,62.7,152.3,4190.8,4343.2
2017-18,Male,936.2,517,1101,580,186.7,75,62.6,117.8,3458.5,3576.4
2017-18,Female,241.5,107.4,335.1,98.6,36.4,28.6,23.8,21.5,871.5,893
2017-18,Not stated,—,—,0.2,—,—,—,—,—,0.2,0.2
2017-18,Total,1177.7,624.4,1436.4,678.6,223.1,103.6,86.5,139.3,4330.3,4469.5
2018-19,Male,911,483.4,1128.9,546.1,163.5,90.1,47.2,122.4,3370.2,3492.6
2018-19,Female,266.2,105.3,363.8,121.7,29.3,29.7,15,20,931,951
2018-19,Not stated,—,0.3,0.1,0.3,—,—,—,—,0.7,0.7
2018-19,Total,1177.1,589,1492.8,668.1,192.8,119.8,62.2,142.4,4301.9,4444.2
2019-20,Male,887.5,444.5,938.4,480.4,168.4,85.1,47.3,113,3051.5,3164.5
2019-20,Female,241,107.8,328.6,118.2,33.3,29.3,16.2,17.5,874.5,892
2019-20,Not stated,0.6,0.1,0.4,0.6,—,—,—,—,1.7,1.7
2019-20,Total,1129.1,552.4,1267.4,599.2,201.7,114.4,63.5,130.5,3927.7,4058.2
2020-21,Male,840.6,377.8,858.6,375.8,127.8,59.3,40.8,88.9,2680.8,2769.7
2020-21,Female,202.6,73.3,274.3,77.7,34.1,20.8,15.2,13.2,698.1,711.3
2020-21,Not stated,1,—,—,—,—,—,—,—,1,1
2020-21,Total,1044.2,451,1133,453.5,161.9,80.1,56.1,102.1,3379.9,3482
2021-22,Male,778.8,304.5,885.2,394.6,145.1,44.8,31.4,129.2,2584.4,2713.6
2021-22,Female,178.8,58.9,289.8,91.6,33.8,20.8,16.9,23.1,690.7,713.7
2021-22,Not stated,1.4,0.5,0.9,—,—,—,—,—,2.8,2.8
2021-22,Total,959,364,1175.9,486.2,178.9,65.5,48.4,152.2,3277.9,3430.1
2022-23,Male,731.5,264.5,888.6,422,160.2,55.1,37.4,178.5,2559.2,2737.8
2022-23,Female,159.1,39.3,273.4,110.2,53.5,24.3,17.3,38,677,714.9
2022-23,Not stated,0.8,0.2,1,—,0.2,—,—,0.3,2.3,2.6
2022-23,Total,891.3,304,1163,532.2,213.8,79.4,54.7,216.8,3238.5,3455.3
2023-24,Male,719.6,234.2,892.7,399.7,172.6,66.3,45,n.a.,2530,n.a.
2023-24,Female,174.1,34.1,287.4,110.9,70.7,27.2,21.6,n.a.,726.1,n.a.
2023-24,Not stated,0.6,—,0.5,—,—,0.2,—,n.a.,1.2,n.a.
2023-24,Total,894.3,268.2,1180.6,510.6,243.3,93.7,66.6,n.a.,3257.3,n.a.
2024-25,Male,737.5,268.9,854.1,351.1,154.5,76.9,47.5,n.a.,2490.5,n.a.
2024-25,Female,179.7,31,287.2,86.4,50,32.5,16.2,n.a.,683,n.a.
2024-25,Not stated,1,—,0.9,—,0.5,0.8,—,n.a.,3.3,n.a.
2024-25,Total,918.2,299.9,1142.2,437.5,205,110.2,63.7,n.a.,3176.8,n.a.
