year,sex,indigenous_status,10,11,12,13,10_13,14,15,16,17,14_17,10_17,18plus,total
2020-21,Male,First Nations,—,—,0.4,1.6,2,3.3,4.6,9.1,8.8,25.8,27.7,0.1,27.8
2020-21,Male,Non-Indigenous,—,—,—,—,—,0.2,0.2,0.5,0.4,1.3,1.3,—,1.3
2020-21,Male,Not stated,—,—,—,—,—,—,—,0.2,0.2,0.4,0.4,—,0.4
2020-21,Male,Total,—,—,0.4,1.6,2,3.5,4.8,9.8,9.4,27.4,29.3,0.1,29.5
2020-21,Female,First Nations,—,—,—,0.1,0.1,0.5,1.5,0.4,0.2,2.6,2.8,—,2.8
2020-21,Female,Non-Indigenous,—,—,—,—,—,—,—,—,—,—,—,—,—
2020-21,Female,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2020-21,Female,Total,—,—,—,0.1,0.1,0.6,1.5,0.5,0.2,2.7,2.8,—,2.8
2020-21,Total,First Nations,—,—,0.4,1.7,2.1,3.8,6.1,9.5,8.9,28.4,30.5,0.1,30.6
2020-21,Total,Non-Indigenous,—,—,—,—,—,0.2,0.2,0.5,0.4,1.3,1.3,—,1.3
2020-21,Total,Not stated,—,—,—,—,—,—,—,0.2,0.2,0.4,0.4,—,0.4
2020-21,Total,Total,—,—,0.4,1.7,2.1,4,6.3,10.2,9.5,30.1,32.2,0.1,32.3
2021-22,Male,First Nations,0.1,0.3,0.1,2.7,3.1,5.9,8.3,10.9,15.8,40.9,44,0.1,44.1
2021-22,Male,Non-Indigenous,—,—,0.2,—,0.2,0.2,1,0.4,0.1,1.6,1.8,—,1.8
2021-22,Male,Not stated,—,—,—,—,—,—,—,—,0.3,0.3,0.3,—,0.3
2021-22,Male,Total,0.1,0.3,0.3,2.7,3.3,6,9.3,11.3,16.1,42.8,46.1,0.1,46.2
2021-22,Female,First Nations,—,—,0.1,0.5,0.6,0.9,1.3,1.7,1.1,5,5.6,—,5.6
2021-22,Female,Non-Indigenous,—,—,—,—,—,—,0.2,—,—,0.2,0.2,—,0.2
2021-22,Female,Not stated,—,—,—,—,—,—,—,0.2,0.1,0.3,0.3,—,0.3
2021-22,Female,Total,—,—,0.1,0.5,0.7,0.9,1.5,1.9,1.3,5.5,6.2,—,6.2
2021-22,Total,First Nations,0.1,0.3,0.2,3.1,3.8,6.7,9.7,12.6,16.9,45.9,49.7,0.1,49.7
2021-22,Total,Non-Indigenous,—,—,0.2,—,0.2,0.2,1.2,0.4,0.1,1.9,2,—,2
2021-22,Total,Not stated,—,—,—,—,—,—,—,0.2,0.4,0.6,0.6,—,0.6
2021-22,Total,Total,0.1,0.3,0.4,3.1,4,6.9,10.9,13.2,17.4,48.4,52.3,0.1,52.4
2022-23,Male,First Nations,—,0.2,0.6,1.8,2.7,4.5,9,11.8,13.6,38.9,41.6,1,42.6
2022-23,Male,Non-Indigenous,—,—,—,—,—,—,—,0.9,0.7,1.6,1.6,—,1.6
2022-23,Male,Not stated,—,—,—,—,—,—,0.3,—,1,1.3,1.3,—,1.3
2022-23,Male,Total,—,0.2,0.6,1.8,2.7,4.5,9.3,12.7,15.3,41.8,44.5,1,45.5
2022-23,Female,First Nations,—,—,—,0.1,0.1,1,1.8,1.9,2.1,6.8,6.9,—,6.9
2022-23,Female,Non-Indigenous,—,—,—,—,—,—,—,—,—,—,—,—,—
2022-23,Female,Not stated,—,—,—,—,—,—,—,—,0.5,0.5,0.5,—,0.5
2022-23,Female,Total,—,—,—,0.1,0.1,1,1.8,1.9,2.7,7.3,7.4,—,7.4
2022-23,Total,First Nations,—,0.2,0.7,1.8,2.8,5.5,10.8,13.7,15.7,45.7,48.5,1,49.5
2022-23,Total,Non-Indigenous,—,—,—,—,—,—,—,0.9,0.7,1.6,1.6,—,1.6
2022-23,Total,Not stated,—,—,—,—,—,—,0.3,—,1.5,1.8,1.8,—,1.8
2022-23,Total,Total,—,0.2,0.7,1.9,2.8,5.5,11.1,14.6,18,49.1,51.9,1,52.9
2023-24,Male,First Nations,—,—,1.2,2.6,3.8,5.3,4.4,8.5,16.4,34.6,38.4,1.6,39.9
2023-24,Male,Non-Indigenous,—,—,—,0.1,0.1,0.2,0.1,—,1.2,1.5,1.6,—,1.6
2023-24,Male,Not stated,—,—,—,—,—,—,0.2,0.1,—,0.3,0.3,1,1.3
2023-24,Male,Total,—,—,1.2,2.8,3.9,5.5,4.7,8.6,17.7,36.4,40.3,2.6,42.9
2023-24,Female,First Nations,—,—,—,0.2,0.3,0.6,0.9,0.6,1,3,3.3,—,3.3
2023-24,Female,Non-Indigenous,—,—,—,—,—,—,—,—,—,—,—,—,—
2023-24,Female,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2023-24,Female,Total,—,—,—,0.2,0.3,0.6,0.9,0.6,1,3,3.3,—,3.3
2023-24,Total,First Nations,—,—,1.2,2.9,4,5.9,5.3,9,17.4,37.6,41.6,1.6,43.2
2023-24,Total,Non-Indigenous,—,—,—,0.1,0.1,0.2,0.1,—,1.2,1.5,1.6,—,1.6
2023-24,Total,Not stated,—,—,—,—,—,—,0.2,0.1,—,0.3,0.3,1,1.3
2023-24,Total,Total,—,—,1.2,3,4.2,6,5.5,9.2,18.7,39.4,43.6,2.6,46.2
2024-25,Male,First Nations,—,—,0.2,1.9,2.1,4.3,8,8.4,14.3,35.1,37.1,3.1,40.2
2024-25,Male,Non-Indigenous,—,—,—,0.1,0.1,0.4,0.5,0.2,0.8,1.9,2,—,2
2024-25,Male,Not stated,—,—,—,—,—,—,—,—,0.3,0.4,0.4,1,1.4
2024-25,Male,Total,—,—,0.2,2,2.2,4.7,8.5,8.7,15.4,37.3,39.5,4.1,43.6
2024-25,Female,First Nations,—,—,—,0.1,0.1,0.6,0.9,0.8,0.5,2.8,2.9,—,2.9
2024-25,Female,Non-Indigenous,—,—,—,—,—,—,—,—,—,—,—,—,—
2024-25,Female,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2024-25,Female,Total,—,—,—,0.1,0.1,0.6,0.9,0.8,0.5,2.8,2.9,—,2.9
2024-25,Total,First Nations,—,—,0.2,1.9,2.1,4.9,8.9,9.2,14.8,37.8,40,3.1,43.1
2024-25,Total,Non-Indigenous,—,—,—,0.1,0.1,0.4,0.5,0.2,0.8,1.9,2,—,2
2024-25,Total,Not stated,—,—,—,—,—,—,—,—,0.3,0.4,0.4,1,1.4
2024-25,Total,Total,—,—,0.2,2.1,2.3,5.3,9.4,9.5,15.9,40.1,42.4,4.1,46.5
