year,sex,nsw,vic,qld,wa,sa,tas,act,nt,australia_excl_nt,australia
Dec 2015,Males,372744,287509,249354,125107,81010,25830,18123,13061,1159677,1172738
Dec 2015,Females,352113,273346,236687,119567,77153,24102,17362,12093,1100330,1112423
Dec 2015,Persons,724857,560855,486041,244674,158163,49932,35485,25154,2260007,2285161
Dec 2016,Males,378037,293273,254425,126643,81468,25987,18557,13093,1178390,1191483
Dec 2016,Females,356261,278749,240996,120896,77651,24172,17742,12162,1116467,1128629
Dec 2016,Persons,734298,572022,495421,247539,159119,50159,36299,25255,2294857,2320112
Dec 2017,Males,383997,299803,260266,129329,82168,26144,19270,13208,1200977,1214185
Dec 2017,Females,361524,284018,245562,123075,78405,24383,18300,12354,1135267,1147621
Dec 2017,Persons,745521,583821,505828,252404,160573,50527,37570,25562,2336244,2361806
Dec 2018,Males,390101,306326,265962,132475,83087,26458,19924,13315,1224333,1237648
Dec 2018,Females,366975,289711,250569,125577,79458,24770,18863,12565,1155923,1168488
Dec 2018,Persons,757076,596037,516531,258052,162545,51228,38787,25880,2380256,2406136
Dec 2019,Males,396985,312862,272100,136265,84603,26908,20550,13407,1250273,1263680
Dec 2019,Females,373517,295908,256093,128772,80624,25147,19343,12598,1179404,1192002
Dec 2019,Persons,770502,608770,528193,265037,165227,52055,39893,26005,2429677,2455682
Dec 2020,Males,403437,316629,278005,140424,85921,27365,21162,13634,1272943,1286577
Dec 2020,Females,379261,299461,261591,132308,81651,25453,19953,12724,1199678,1212402
Dec 2020,Persons,782698,616090,539596,272732,167572,52818,41115,26358,2472621,2498979
Dec 2021,Males,410324,320674,283719,143870,86987,27743,21838,13703,1295155,1308858
Dec 2021,Females,385556,303488,267308,135423,82738,25743,20519,12769,1220775,1233544
Dec 2021,Persons,795880,624162,551027,279293,169725,53486,42357,26472,2515930,2542402
Dec 2022,Males,418315,328531,289915,147638,88713,28004,22340,13854,1323456,1337310
Dec 2022,Females,393282,311281,273527,139319,84451,26004,21087,13023,1248951,1261974
Dec 2022,Persons,811597,639812,563442,286957,173164,54008,43427,26877,2572407,2599284
Dec 2023,Males,424838,336833,295545,151552,90417,28010,16975,10348,1344170,1354518
Dec 2023,Females,399651,319311,279034,143298,85974,26113,15976,9629,1269357,1278986
Dec 2023,Persons,824489,656144,574579,294850,176391,54123,32951,19977,2613527,2633504
Dec 2024,Males,428464,342546,298999,154197,91311,27931,17332,14294,1360780,1375074
Dec 2024,Females,403182,325020,282455,146046,86694,26113,16515,13285,1286025,1299310
Dec 2024,Persons,831646,667566,581454,300243,178005,54044,33847,27579,2646805,2674384
