year,sex,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia_excl_nt,australia
Dec 2016,Females,First Nations,26067,5635,20721,8707,3752,2487,721,5870,68089,73959
Dec 2016,Females,Non-Indigenous,330194,273114,220276,112189,73900,21685,17022,6292,1048379,1054671
Dec 2016,Females,Total,356261,278749,240996,120896,77651,24172,17742,12162,1116467,1128629
Dec 2016,Males,First Nations,27649,5817,21401,9255,3958,2749,684,6178,71512,77690
Dec 2016,Males,Non-Indigenous,350388,287456,233024,117388,77511,23239,17874,6915,1106879,1113794
Dec 2016,Males,Total,378037,293273,254425,126643,81468,25987,18557,13093,1178390,1191483
Dec 2016,Persons,First Nations,53716,11452,42122,17962,7709,5236,1404,12048,139600,151648
Dec 2016,Persons,Non-Indigenous,680582,560570,453300,229577,151410,44924,34895,13207,2155257,2168464
Dec 2016,Persons,Total,734298,572022,495421,247539,159119,50159,36299,25255,2294857,2320112
Dec 2017,Females,First Nations,26829,5817,21547,9055,3876,2605,716,5873,70443,76316
Dec 2017,Females,Non-Indigenous,334695,278202,224015,114021,74529,21779,17585,6482,1064824,1071306
Dec 2017,Females,Total,361524,284018,245562,123075,78405,24383,18300,12354,1135267,1147621
Dec 2017,Males,First Nations,28418,6042,22279,9424,4105,2858,707,6185,73832,80016
Dec 2017,Males,Non-Indigenous,355579,293761,237987,119906,78063,23287,18564,7024,1127146,1134169
Dec 2017,Males,Total,383997,299803,260266,129329,82168,26144,19270,13208,1200977,1214185
Dec 2017,Persons,First Nations,55247,11859,43826,18478,7981,5462,1422,12057,144275,156332
Dec 2017,Persons,Non-Indigenous,690274,571963,462002,233926,152592,45065,36148,13505,2191970,2205475
Dec 2017,Persons,Total,745521,583821,505828,252404,160573,50527,37570,25562,2336244,2361806
Dec 208,Females,First Nations,27514,6007,22281,9382,4031,2709,712,5868,72634,78502
Dec 208,Females,Non-Indigenous,339462,283704,228289,116196,75428,22061,18151,6698,1083289,1089987
Dec 208,Females,Total,366975,289711,250569,125577,79458,24770,18863,12565,1155923,1168488
Dec 208,Males,First Nations,29129,6235,23121,9670,4273,2971,733,6160,76130,82290
Dec 208,Males,Non-Indigenous,360973,300092,242842,122806,78814,23487,19191,7155,1148203,1155358
Dec 208,Males,Total,390101,306326,265962,132475,83087,26458,19924,13315,1224333,1237648
Dec 208,Persons,First Nations,56642,12242,45401,19051,8304,5680,1445,12028,148764,160792
