sex,year,10,11,12,13,14,15,16,17,total
Males,Dec 2020,167275,167470,166769,165989,161936,155976,151892,149270,1286577
Males,Dec 2021,167414,167864,168172,167468,166661,162540,156477,152262,1308858
Males,Dec 2022,169724,168936,169328,169543,168929,168227,164101,158522,1337310
Males,Dec 2023,166281,166994,170868,171085,171316,170844,170280,166850,1354518
Males,Dec 2024,168083,169844,173524,172558,172708,173065,172678,172614,1375074
Females,Dec 2020,158583,158389,157391,156257,152166,146378,142338,140900,1212402
Females,Dec 2021,158646,159095,159008,157946,156728,152605,146810,142706,1233544
Females,Dec 2022,160448,160082,160478,160372,159322,158235,154187,148850,1261974
Females,Dec 2023,156719,157689,161898,162135,162071,161287,160315,156872,1278986
Females,Dec 2024,158563,160198,163985,163492,163675,163734,163113,162550,1299310
Persons,Dec 2020,325858,325859,324160,322246,314102,302354,294230,290170,2498979
Persons,Dec 2021,326060,326959,327180,325414,323389,315145,303287,294968,2542402
Persons,Dec 2022,330172,329018,329806,329915,328251,326462,318288,307372,2599284
Persons,Dec 2023,323000,324683,332766,333220,333387,332131,330595,323722,2633504
Persons,Dec 2024,326646,330042,337509,336050,336383,336799,335791,335164,2674384
