indigenous_status,age,nsw,vic,qld,wa,sa,tas,act,nt,australia_excl_nt,australia
First Nations,10,7655,1721,6135,2619,1170,721,—,1442,20019,21461
First Nations,11,7724,1764,6211,2580,1173,713,—,1446,20164,21609
First Nations,12,7840,1730,6405,2539,1151,735,185,1427,20584,22011
First Nations,13,7774,1718,6404,2592,1166,725,177,1405,20554,21959
First Nations,14,7747,1751,6422,2609,1216,729,186,1409,20659,22068
First Nations,15,7809,1744,6505,2621,1238,798,181,1415,20894,22309
First Nations,16,7745,1759,6561,2625,1239,839,178,1419,20944,22363
First Nations,17,7727,1775,6459,2610,1203,831,189,1425,20793,22217
Non-Indigenous,10,94833,82259,64455,35092,20602,5749,—,2198,302988,305186
Non-Indigenous,11,96119,82787,65439,35217,20875,5836,—,2162,306272,308433
Non-Indigenous,12,97023,82736,65829,35174,21123,5833,5599,2183,313316,315499
Non-Indigenous,13,96795,81472,66137,35090,21020,5959,5523,2098,311994,314092
Non-Indigenous,14,96667,81202,66814,35035,20971,6044,5577,2007,312309,314316
Non-Indigenous,15,96491,81199,67441,34643,21164,6151,5492,1912,312579,314491
Non-Indigenous,16,95969,80827,67367,34600,21305,6241,5265,1857,311572,313429
Non-Indigenous,17,95732,81126,66875,34600,21394,6144,5298,1780,311168,312947
Total,10,102487,83979,70590,37711,21771,6469,—,3639,323007,326646
Total,11,103843,84550,71649,37797,22047,6549,—,3607,326435,330042
Total,12,104862,84466,72234,37713,22274,6567,5784,3609,333900,337509
Total,13,104568,83190,72540,37682,22185,6684,5699,3502,332548,336050
Total,14,104414,82952,73235,37643,22187,6773,5763,3416,332967,336383
Total,15,104299,82943,73946,37263,22402,6948,5672,3326,333473,336799
Total,16,103714,82585,73927,37225,22543,7079,5442,3276,332515,335791
Total,17,103459,82901,73333,37209,22596,6975,5487,3204,331960,335164
