year,supervision,first_nations,non_indigenous,not_stated,total
2020-21,First year of supervision,1213,1772,118,3103
2020-21,Previously supervised,3044,3217,73,6334
2020-21,Total,4257,4989,191,9437
2021-22,First year of supervision,1445,1538,68,3051
2021-22,Previously supervised,2943,2983,71,5997
2021-22,Total,4388,4521,139,9048
2022-23,First year of supervision,1648,1694,111,3453
2022-23,Previously supervised,3099,2599,47,5745
2022-23,Total,4747,4293,158,9198
2023-24,First year of supervision,1646,1596,84,3326
2023-24,Previously supervised,3371,2480,65,5916
2023-24,Total,5017,4076,149,9242
2024-25,First year of supervision,1652,1704,125,3481
2024-25,Previously supervised,3658,2380,60,6098
2024-25,Total,5310,4084,185,9579
