sex,indigenous_status,10,11,12,13,14,15,16,17,10_17,18plus,total
Male,First Nations,55,158,356,647,829,804,620,445,3914,131,4046
Male,Non-Indigenous,7,23,93,281,571,777,684,606,3042,267,3309
Male,Not stated,—,1,2,4,21,34,32,48,142,9,151
Male,Total,62,182,451,932,1421,1615,1336,1099,7098,407,7506
Female,First Nations,7,25,119,216,316,256,188,106,1233,28,1261
Female,Non-Indigenous,1,3,34,96,167,205,113,123,742,27,769
Female,Not stated,—,—,4,3,5,5,10,2,29,1,30
Female,Total,8,28,157,315,488,466,311,231,2004,56,2060
Not stated,First Nations,—,—,—,—,—,1,2,—,3,—,3
Not stated,Non-Indigenous,—,—,—,1,—,—,1,4,6,—,6
Not stated,Not stated,—,1,—,—,—,1,1,1,4,—,4
Not stated,Total,—,1,—,1,—,2,4,5,13,—,13
Total,First Nations,62,183,475,863,1145,1061,810,551,5150,159,5310
Total,Non-Indigenous,8,26,127,378,738,982,798,733,3790,294,4084
Total,Not stated,—,2,6,7,26,40,43,51,175,10,185
Total,Total,70,211,608,1248,1909,2083,1651,1335,9115,463,9579
