first_supervision_type,10_13_years,14_17_years,18plus_years,total
Probation and similar,333,1872,139,2344
Remand,835,2635,24,3494
Police-referred detention,508,1060,5,1573
Detention other,1,2,—,3
Supervised or conditional bail and other unsentenced,455,1348,246,2050
Suspended detention and home detention,5,75,17,97
Sentenced detention,3,28,12,43
Parole or supervised release,—,—,2,2
Community service,68,258,21,347
Other,1,41,12,54
Total young people under supervision,2137,6978,463,9579
