year,indigenous_status,sex,nsw,vic,qld,wa,sa,tas,act,nt,australia_excl_nt,australia
2020-21,First Nations,Male,181.1,212,232.8,169.8,160.7,190.8,164.7,178.9,199.5,197.6
2020-21,First Nations,Female,154.4,167.1,212.3,132.9,163.3,177.3,88.3,163.3,177.1,176.5
2020-21,First Nations,Total,175.1,203.6,227.4,162.2,161.4,188,140.8,177.1,194.2,192.8
2020-21,Non-Indigenous,Male,165,203.4,206.2,158,152,199,221,173.7,185.1,185
2020-21,Non-Indigenous,Female,144.1,184.9,188.7,103.4,121.7,182.7,165.5,177,160.6,160.6
2020-21,Non-Indigenous,Total,161,200.4,202.6,147,147,194.5,204,174.3,180.4,180.4
2020-21,Total,Male,168.7,204.6,220.2,164.7,155.5,194.1,203.1,179.4,189.8,189.3
2020-21,Total,Female,146.2,181.4,203.4,120.6,141.9,173.1,146.7,161.1,167.1,167
2020-21,Total,Total,164.1,200.7,216.3,155.7,152.7,188.9,186,177.3,185,184.7
2021-22,First Nations,Male,172.3,209,237.9,168.9,171,214.1,177.5,203.1,198.9,199.3
2021-22,First Nations,Female,144,176.5,217.7,122.2,143.4,210.5,132.9,156.2,173.5,172.4
2021-22,First Nations,Total,166.1,203.1,232.5,157.7,163.8,213.4,164.7,195.4,192.8,193
2021-22,Non-Indigenous,Male,168.3,199.3,225.6,136.8,166.2,165.1,196.9,228.8,185.8,186
2021-22,Non-Indigenous,Female,164.6,180.8,200.1,134.9,145.9,207.8,171.5,133.3,174.4,174.2
2021-22,Non-Indigenous,Total,167.6,196.5,220.5,136.4,162.5,176.4,188.6,216.3,183.7,183.9
2021-22,Total,Male,168,200.6,232.1,155.3,167.7,179,190.3,205.2,190.6,191.4
2021-22,Total,Female,152.4,180.1,212.1,126.5,145.4,204.5,164,158.1,173.3,172.7
2021-22,Total,Total,164.9,197.4,227.3,149.1,162.9,185.3,182,197.7,187,187.5
2022-23,First Nations,Male,167.2,200.8,239.3,171.8,163.2,184.5,141.8,230.6,195.4,199.6
2022-23,First Nations,Female,127,150.6,206.5,140.1,135.6,171.4,98.7,217.9,164.3,168.2
2022-23,First Nations,Total,158.8,192.8,230.3,164.2,154,181.3,132.1,228.6,187.8,192.2
2022-23,Non-Indigenous,Male,148.2,191,224.4,132.5,161.9,205.3,188.9,287.9,177.2,177.7
2022-23,Non-Indigenous,Female,123.9,163.6,213.8,119.8,137.3,222.7,160.9,277,157.6,157.8
2022-23,Non-Indigenous,Total,143.3,187.6,222.3,129.9,156.3,210.7,180.1,287.4,173.4,173.9
2022-23,Total,Male,156.3,192.6,232.5,155.3,162.3,196.7,170.9,231.4,184.9,187.9
2022-23,Total,Female,124,161.1,208.2,132.6,136.4,206.2,136.5,216.2,160,162.5
2022-23,Total,Total,149.6,188.5,226.6,150.2,155.2,199.7,160.7,228.5,179.5,182.4
2023-24,First Nations,Male,173.3,189.9,238.2,161.3,191.4,217.3,165,n.a.,196.6,n.a.
2023-24,First Nations,Female,132.6,143,212,121.5,160.5,227,129.1,n.a.,166.6,n.a.
2023-24,First Nations,Total,164.1,184.3,230.9,151.2,180.4,220.4,155.3,n.a.,188.9,n.a.
2023-24,Non-Indigenous,Male,149.8,195.4,227.9,144.4,160.1,196.3,201.3,n.a.,181.3,n.a.
2023-24,Non-Indigenous,Female,120.5,187.3,196.1,123.8,177.8,175.2,173.3,n.a.,157.1,n.a.
2023-24,Non-Indigenous,Total,142.9,194.4,221.4,139.6,163.7,189.1,192.5,n.a.,176.2,n.a.
2023-24,Total,Male,159.9,194.5,233.4,154.4,173.4,202,186.3,n.a.,187.7,n.a.
2023-24,Total,Female,125.7,180,207,122.4,166.9,195.1,155.9,n.a.,161.6,n.a.
2023-24,Total,Total,152.1,192.7,226.8,146.6,171.6,198.7,177.2,n.a.,181.6,n.a.
2024-25,First Nations,Male,173.8,185.3,228.3,137.3,164.8,216.5,184.6,n.a.,187,n.a.
2024-25,First Nations,Female,146.3,145.1,222,98.6,124.4,251.9,186.1,n.a.,168,n.a.
2024-25,First Nations,Total,167.5,179.2,226.5,128,151.6,228.1,185,n.a.,182.2,n.a.
2024-25,Non-Indigenous,Male,150,197.3,217.4,141.3,141.8,229.4,193.4,n.a.,178.9,n.a.
2024-25,Non-Indigenous,Female,125.4,150,209,114.5,131.6,214,164.9,n.a.,154.2,n.a.
2024-25,Non-Indigenous,Total,145.3,191.8,215.7,135.2,139.4,226.8,185.4,n.a.,174.3,n.a.
2024-25,Total,Male,158.6,194.5,223.3,139,153.3,221.1,190.6,n.a.,181.3,n.a.
2024-25,Total,Female,135.6,148.8,217.4,104.6,126.5,227.6,171.1,n.a.,161.3,n.a.
2024-25,Total,Total,153.9,188.9,221.8,130.8,145.8,223.1,185.3,n.a.,176.9,n.a.
