year,no_completed_supervision_periods,nsw,vic,qld,wa,sa,tas,act,nt,australia_excl_nt,australia
2020-21,1,1503,832,1236,749,305,133,61,163,4819,4982
2020-21,2,208,68,114,141,34,n.p,n.p,53,597,650
2020-21,3,74,10,24,55,10,n.p,n.p,8,187,195
2020-21,4,24,2,9,23,n.p,—,n.p,3,61,64
2020-21,5,11,—,—,9,n.p,—,n.p,5,28,33
2020-21,6+,16,—,1,19,n.p,—,n.p,—,41,41
2020-21,Total,1836,912,1384,996,362,146,97,232,5733,5965
2021-22,1,1354,788,1225,772,316,97,55,164,4607,4771
2021-22,2,213,60,100,158,45,8,21,48,605,653
2021-22,3,77,6,9,51,6,n.p,n.p,22,156,178
2021-22,4,21,1,2,27,3,n.p,n.p,13,60,73
2021-22,5,15,—,—,11,n.p,—,n.p,6,31,37
2021-22,6+,16,—,—,22,n.p,—,n.p,6,42,48
2021-22,Total,1696,855,1336,1041,374,107,92,259,5501,5760
2022-23,1,1381,652,1162,864,327,109,82,117,4577,4694
2022-23,2,253,59,99,186,39,12,23,36,671,707
2022-23,3,90,12,15,47,8,n.p,n.p,18,179,197
2022-23,4,34,1,6,27,n.p,n.p,n.p,3,74,77
2022-23,5,15,—,2,13,2,—,6,3,38,41
2022-23,6+,35,1,—,17,n.p,—,n.p,1,56,57
2022-23,Total,1808,725,1284,1154,378,125,121,178,5595,5773
2023-24,1,1369,525,1171,850,401,112,75,n.a.,4503,n.a.
2023-24,2,250,47,93,233,44,11,37,n.a.,715,n.a.
2023-24,3,90,7,13,57,10,n.p,n.p,n.a.,190,n.a.
2023-24,4,38,2,6,28,n.p,n.p,n.p,n.a.,83,n.a.
2023-24,5,15,—,2,14,n.p,—,n.p,n.a.,34,n.a.
2023-24,6+,27,—,—,23,1,—,6,n.a.,57,n.a.
2023-24,Total,1789,581,1285,1205,459,127,136,n.a.,5582,n.a.
2024-25,1,1382,525,1156,829,364,118,89,n.a.,4463,n.a.
2024-25,2,266,54,96,209,38,n.p,n.p,n.a.,687,n.a.
2024-25,3,69,7,10,66,n.p,n.p,n.p,n.a.,174,n.a.
2024-25,4,44,2,2,43,n.p,n.p,—,n.a.,95,n.a.
2024-25,5,21,1,1,14,4,—,—,n.a.,41,n.a.
2024-25,6+,27,—,—,34,—,—,—,n.a.,61,n.a.
2024-25,Total,1809,589,1265,1195,424,129,110,n.a.,5521,n.a.
