sex,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
Male,First Nations,418,—,265,389,160,—,32,—,1264
Male,Non-Indigenous,336,—,142,255,143,—,68,—,944
Male,Not stated,17,—,—,—,—,—,—,—,17
Male,Total,771,—,407,644,303,—,100,—,2225
Female,First Nations,98,—,93,147,76,—,11,—,425
Female,Non-Indigenous,74,—,48,65,34,—,26,—,247
Female,Not stated,2,—,—,—,1,—,—,—,3
Female,Total,174,—,141,212,111,—,37,—,675
Total,First Nations,516,—,358,536,236,—,43,—,1689
Total,Non-Indigenous,410,—,190,320,177,—,94,—,1191
Total,Not stated,19,—,—,—,1,—,—,—,20
Total,Total,945,—,548,856,414,—,137,—,2900
