sex,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
Male,First Nations,178,26,222,109,25,n.p,n.p,249,819
Male,Non-Indigenous,110,121,59,61,18,n.p,n.p,10,413
Male,Not stated,1,—,—,—,—,—,—,5,6
Male,Total,289,147,281,170,43,n.p,n.p,264,1238
Female,First Nations,12,2,28,12,4,n.p,n.p,39,103
Female,Non-Indigenous,3,7,7,10,2,n.p,n.p,—,33
Female,Not stated,1,—,—,—,—,—,—,1,2
Female,Total,16,9,35,22,6,n.p,n.p,40,138
Total,First Nations,190,28,250,121,29,n.p,n.p,288,922
Total,Non-Indigenous,113,128,66,71,20,n.p,n.p,10,446
Total,Not stated,2,—,—,—,—,—,—,6,8
Total,Total,305,156,316,192,49,36,18,304,1376
