sex,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
Male,First Nations,109,n.p,30,17,2,n.p,n.p,n.p,171
Male,Non-Indigenous,162,n.p,27,5,3,n.p,n.p,n.p,216
Male,Not stated,20,—,1,—,—,—,—,1,22
Male,Total,291,17,58,22,5,n.p,n.p,6,409
Female,First Nations,35,n.p,8,10,1,n.p,n.p,n.p,56
Female,Non-Indigenous,44,n.p,1,6,4,n.p,n.p,n.p,61
Female,Not stated,6,—,1,—,—,—,—,—,7
Female,Total,85,4,10,16,5,n.p,n.p,1,124
Total,First Nations,144,2,38,27,3,n.p,n.p,n.p,227
Total,Non-Indigenous,206,19,28,11,7,n.p,n.p,n.p,277
Total,Not stated,26,—,2,—,—,—,—,1,29
Total,Total,376,21,68,38,10,n.p,n.p,7,533
