sex,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
Male,First Nations,n.p,n.p,n.p,n.p,n.p,—,—,—,1
Male,Non-Indigenous,n.p,n.p,n.p,n.p,n.p,—,n.p,—,9
Male,Not stated,1,—,—,—,—,—,—,—,1
Male,Total,5,2,1,n.p,n.p,—,n.p,—,11
Female,First Nations,—,—,—,—,—,—,—,—,—
Female,Non-Indigenous,—,—,—,—,—,—,—,—,—
Female,Not stated,—,—,—,—,—,—,—,—,—
Female,Total,—,—,—,—,—,—,—,—,—
Total,First Nations,n.p,n.p,n.p,n.p,n.p,—,—,—,1
Total,Non-Indigenous,n.p,n.p,n.p,n.p,n.p,—,n.p,—,9
Total,Not stated,1,—,—,—,—,—,—,—,1
Total,Total,5,2,1,1,n.p,—,n.p,—,11
