sex,indigenous_status,10,11,12,13,14,15,16,17,10_17,18plus,total
Male,First Nations,0.5,2.6,15.1,38.6,112.8,229,284.9,326,1009.5,280.5,1290.1
Male,Non-Indigenous,0.1,—,1.2,18.7,65.7,174,280.6,319.5,859.9,423.2,1283.1
Male,Not stated,—,—,—,0.2,1.1,5.4,9.1,10.1,25.9,3,28.8
Male,Total,0.6,2.6,16.4,57.5,179.6,408.3,574.6,655.6,1895.2,706.8,2602.1
Female,First Nations,—,0.1,4.7,16.5,49,101.5,111.3,100.3,383.5,68.6,452.1
Female,Non-Indigenous,0.1,0.3,1.1,5.7,20.9,55.9,67.6,69.6,221.3,72.5,293.8
Female,Not stated,—,—,0.1,—,0.7,0.7,1.9,2.1,5.6,—,5.6
Female,Total,0.1,0.4,6,22.1,70.6,158.2,180.8,172,610.3,141.1,751.5
Not stated,First Nations,—,—,—,—,—,—,0.4,—,0.4,0.1,0.5
Not stated,Non-Indigenous,—,—,—,—,—,0.2,1,1.1,2.3,1.4,3.7
Not stated,Not stated,—,—,—,—,—,0.5,—,0.1,0.6,—,0.6
Not stated,Total,—,—,—,—,—,0.7,1.3,1.3,3.3,1.6,4.8
Total,First Nations,0.5,2.7,19.9,55.1,161.9,330.5,396.6,426.3,1393.3,349.3,1742.7
Total,Non-Indigenous,0.2,0.3,2.4,24.4,86.6,230.1,349.2,390.3,1083.4,497.2,1580.6
Total,Not stated,—,—,0.1,0.2,1.8,6.7,11,12.4,32.1,3,35.1
Total,Total,0.7,3,22.3,79.7,250.2,567.2,756.8,828.9,2508.8,849.5,3358.4
