indigenous_status,age_group,nsw,vic,qld,wa,sa,tas,act,nt,australia
First Nations,10–13 years,16,4,147,83,29,n.p.,n.p.,83,371
First Nations,14–17 years,876,109,1129,536,222,72,38,508,3490
First Nations,18+ years,42,81,267,59,28,n.p.,n.p.,326,822
First Nations,Total,934,194,1543,679,279,90,48,917,4684
Non-Indigenous,10–13 years,11,8,55,25,11,n.p.,n.p.,1,119
Non-Indigenous,14–17 years,692,476,590,431,190,122,87,23,2611
Non-Indigenous,18+ years,29,317,255,42,34,n.p.,n.p.,20,747
Non-Indigenous,Total,732,801,900,498,235,161,106,44,3477
Not stated,10–13 years,1,—,—,—,—,1,—,3,5
Not stated,14–17 years,72,4,12,—,7,4,—,14,113
Not stated,18+ years,2,—,1,—,1,1,—,17,22
Not stated,Total,75,4,13,—,8,6,—,34,140
Total,10–13 years,28,12,202,108,40,10,8,87,495
Total,14–17 years,1640,589,1731,967,419,198,125,545,6214
Total,18+ years,73,398,523,101,63,49,21,363,1591
Total,Total,1741,999,2456,1177,522,257,154,995,8301
