sex,year,10,11,12,13,14,15,16,17,10_17
Male,2020-21,0.057,0.374,1.265,4.221,12.531,29.192,41.253,53.119,16.915
Male,2021-22,—,0.191,1.296,3.973,11.638,23.591,39.485,49.928,15.645
Male,2022-23,0.068,0.256,0.848,4.499,12.022,25.064,34.804,45.334,15.041
Male,2023-24,—,0.263,1.03,4.047,10.991,25.319,33.336,41.726,14.558
Male,2024-25,—,0.154,0.953,3.369,10.509,23.834,33.606,38.353,13.927
Female,2020-21,—,0.055,0.407,1.548,5.655,10.043,13.511,13.433,5.329
Female,2021-22,—,—,0.471,2.247,5.171,9.681,12.332,12.551,5.129
Female,2022-23,—,0.078,0.483,2.236,5.433,9.452,11.12,10.985,4.882
Female,2023-24,—,0.081,0.337,1.856,5.082,10.108,12.709,11.211,5.163
Female,2024-25,—,—,0.369,1.369,4.358,9.758,11.195,10.684,4.746
Total,2020-21,—,0.218,0.848,2.925,9.201,19.932,27.846,33.846,11.297
Total,2021-22,—,0.116,0.895,3.135,8.504,16.873,26.411,31.851,10.553
Total,2022-23,—,0.169,0.67,3.399,8.843,17.497,23.344,28.739,10.117
Total,2023-24,—,0.174,0.693,2.981,8.127,17.934,23.352,26.946,10
Total,2024-25,—,0.091,0.669,2.396,7.516,17.01,22.759,24.97,9.479
